N	2gram	Propp_Morf_1	OGranits
1	и в	13	13
2	прежде всего	9	9
3	не может	14	8
4	и не	12	8
5	может быть	52	8
6	и их	2	7
7	точки зрения	2	7
8	и пр	37	7
9	таким образом	21	6
10	не только	4	6
11	то что	8	6
12	только в	2	6
13	мы должны	3	6
14	как бы	3	6
15	все же	7	5
16	с точки	2	5
17	хотя бы	4	5
18	то же	7	4
19	не является	3	4
20	но мы	3	4
21	мы не	8	4
22	мы можем	2	4
23	было бы	3	4
24	но в	2	4
25	связана с	3	3
26	отношению к	4	3
27	что в	8	3
28	но и	4	3
29	так и	6	3
30	что же	2	3
31	по отношению	4	3
32	вряд ли	2	3
33	здесь мы	3	3
34	самом деле	4	3
35	как и	3	3
36	не в	3	3
37	в которой	3	3
38	в пределах	3	3
39	поставить вопрос	2	3
40	говорить о	3	3
41	с этим	11	3
42	и для	2	3
43	так как	16	3
44	но для	2	3
45	не менее	5	2
46	и др	10	2
47	не сумеем	2	2
48	и тем	2	2
49	в целом	3	2
50	а не	11	2
51	что эта	2	2
52	другой стороны	4	2
53	с другой	8	2
54	не на	2	2
55	в связи	9	2
56	входит в	2	2
57	а в	7	2
58	все эти	2	2
59	вовсе не	4	2
60	но такое	2	2
61	в тех	6	2
62	к тому	4	2
63	и к	4	2
64	как в	3	2
65	если бы	2	2
66	не имеет	2	2
67	в том	6	2
68	так же	3	2
69	том что	4	2
70	мы видим	13	2
71	что они	2	2
72	которое может	2	2
73	в этом	14	2
74	учение о	3	2
75	тем что	4	2
76	между тем	5	2
77	могут быть	16	2
78	смысле слова	4	2
79	и ее	3	2
80	в другом	2	2
81	несмотря на	4	2
82	вслед за	5	2
83	там где	5	2
84	между собою	2	2
85	а также	4	2
