N	2gram	Losev_Prob_2	RusskieA
1	и в	35	29
2	что в	11	22
3	том что	19	22
4	в том	12	22
5	как бы	4	18
6	может быть	18	13
7	так как	7	13
8	как и	5	11
9	одна из	3	11
10	в этом	17	11
11	все это	4	10
12	и с	10	10
13	не только	24	10
14	о том	18	9
15	а в	4	9
16	во многих	2	9
17	но и	16	8
18	а а	6	8
19	его в	3	8
20	данном случае	5	7
21	или в	2	7
22	с тем	3	6
23	мы не	7	6
24	этом случае	7	6
25	еще не	10	6
26	для того	3	6
27	для нас	9	6
28	вместе с	2	6
29	таким образом	4	6
30	при этом	3	6
31	того чтобы	2	6
32	и на	5	6
33	в данном	10	6
34	представление о	5	5
35	потому что	13	5
36	то что	38	5
37	и что	13	5
38	но не	4	5
39	для этого	3	5
40	и т	6	5
41	не может	13	5
42	т д	6	5
43	будто бы	5	5
44	но в	6	5
45	о чем	6	4
46	в них	2	4
47	эта теория	4	4
48	и все	5	4
49	не все	4	4
50	тогда когда	3	4
51	вопрос о	3	4
52	уже не	8	4
53	так что	11	4
54	не в	2	4
55	к нему	2	4
56	а также	2	4
57	или вообще	4	4
58	так же	5	4
59	то и	4	4
60	то же	5	4
61	у нас	18	4
62	а не	10	4
63	в таком	11	4
64	их в	4	4
65	в виде	6	4
66	далеко не	4	4
67	тем что	4	3
68	в этих	4	3
69	в качестве	2	3
70	и от	3	3
71	на первый	4	3
72	она не	3	3
73	того что	12	3
74	было бы	8	3
75	и о	4	3
76	что она	4	3
77	но если	4	3
78	в и	2	3
79	с другими	5	3
80	не имеет	7	3
81	во всех	2	3
82	не будем	4	3
83	только тогда	3	3
84	а именно	6	3
85	в свете	3	3
86	что для	3	3
87	все эти	7	3
88	и по	3	3
89	или даже	3	3
90	как мы	5	3
91	тому как	3	3
92	подобно тому	2	3
93	в этой	9	3
94	в таких	3	3
95	не менее	13	2
96	и многие	2	2
97	связи с	5	2
98	об этом	2	2
99	по этому	3	2
100	в разные	2	2
101	между собой	5	2
102	в советской	2	2
103	о них	2	2
104	с другой	6	2
105	из этих	3	2
106	это в	2	2
107	прежде всего	11	2
108	не был	4	2
109	не что	3	2
110	что и	2	2
111	что с	2	2
112	нас не	3	2
113	это и	3	2
114	кроме того	5	2
115	и как	4	2
116	и при	2	2
117	совсем не	7	2
118	для них	3	2
119	одной стороны	5	2
120	только как	3	2
121	на эту	2	2
122	совершенно не	2	2
123	что на	4	2
124	тем не	12	2
125	из этого	2	2
126	в него	2	2
127	в виду	8	2
128	еще в	2	2
129	один из	3	2
130	все же	8	2
131	что при	4	2
132	многие другие	2	2
133	в их	3	2
134	но можно	2	2
135	этому поводу	2	2
136	не было	3	2
137	должны были	3	2
138	с одной	5	2
139	на самом	4	2
140	здесь мы	3	2
141	эта связь	2	2
142	мы здесь	3	2
143	из которых	2	2
144	и для	6	2
145	должно быть	2	2
146	можно было	5	2
147	каждый из	2	2
148	быть только	3	2
149	в своих	3	2
150	и то	10	2
151	пока еще	9	2
152	с этим	5	2
153	и ее	2	2
154	что иное	3	2
155	в то	6	2
156	представляет собой	2	2
157	когда мы	6	2
158	есть в	4	2
159	иное как	3	2
160	не можем	4	2
