N	2gram	Medvedev_F_1	VeschiIm
1	не есть	2	49
2	т е	34	42
3	не может	16	33
4	не только	7	31
5	может быть	14	29
6	и не	20	28
7	и в	24	26
8	то что	8	24
9	и т	12	21
10	т д	8	20
11	а не	10	20
12	только в	2	14
13	и что	2	13
14	того что	5	13
15	по себе	5	13
16	было бы	6	12
17	но и	7	12
18	все же	3	12
19	и ее	10	12
20	таким образом	13	11
21	то же	10	10
22	уже не	2	10
23	в ней	10	10
24	как бы	6	10
25	что такое	2	10
26	вещей и	3	9
27	в том	6	9
28	в самом	5	9
29	бы то	3	9
30	и с	8	9
31	ни было	2	9
32	прежде всего	22	9
33	то ни	3	9
34	она есть	2	8
35	но это	3	8
36	с ее	7	8
37	в себе	3	8
38	и это	2	8
39	ничего не	2	8
40	в то	9	7
41	его в	3	7
42	и их	10	7
43	как раз	2	7
44	и пр	17	7
45	с другими	4	7
46	в этом	15	7
47	как с	2	7
48	и как	3	6
49	что в	4	6
50	для него	3	6
51	жизни и	7	6
52	со стороны	5	6
53	отличается от	3	6
54	должно быть	11	6
55	в результате	2	6
56	точки зрения	16	6
57	но в	5	6
58	ясно что	3	6
59	она не	6	6
60	если мы	2	6
61	с ним	2	6
62	не менее	11	5
63	должна быть	7	5
64	в отношении	3	5
65	это не	2	5
66	с этой	4	5
67	не в	8	5
68	свою очередь	6	5
69	еще не	6	5
70	и до	5	5
71	для этого	4	5
72	только и	4	5
73	должны быть	5	5
74	а в	6	5
75	как к	3	5
76	чем же	2	5
77	ни на	3	5
78	с тем	2	5
79	если бы	4	5
80	отнюдь не	6	5
81	в свою	8	5
82	в ее	8	5
83	у нас	5	5
84	это и	3	5
85	одна из	2	5
86	но не	3	5
87	в своем	11	4
88	с другой	5	4
89	независимо от	4	4
90	же время	8	4
91	точка зрения	2	4
92	в их	11	4
93	от того	2	4
94	и даже	3	4
95	с этим	2	4
96	и более	2	4
97	для всякого	2	4
98	и все	6	4
99	как и	11	4
100	во всех	5	4
101	и потому	9	4
102	однако не	2	4
103	на почве	13	4
104	нет и	2	4
105	оно не	4	4
106	должен быть	5	4
107	что и	2	4
108	быть и	4	4
109	между ними	3	4
110	с точки	13	4
111	со всем	3	4
112	мы не	3	4
113	вещей в	2	3
114	сама по	2	3
115	она должна	3	3
116	никогда не	4	3
117	она является	2	3
118	вопрос о	2	3
119	к тому	3	3
120	и чисто	2	3
121	более или	6	3
122	как о	4	3
123	в нем	14	3
124	отношение к	3	3
125	все это	9	3
126	отношения к	6	3
127	нисколько не	2	3
128	и позитивизма	3	3
129	перестает быть	3	3
130	даже и	2	3
131	в одном	2	3
132	в жизни	3	3
133	один из	3	3
134	что он	3	3
135	могла бы	2	3
136	к ней	2	3
137	в своей	11	3
138	вместе с	2	3
139	так и	18	3
140	или менее	6	3
141	только на	5	3
142	самом деле	6	3
143	бы в	3	3
144	хотя бы	5	3
145	вещах и	2	3
146	в основе	3	3
147	подходит к	3	2
148	в частности	4	2
149	его и	2	2
150	же они	2	2
151	была бы	2	2
152	на все	3	2
153	а только	2	2
154	ни в	2	2
155	в самой	2	2
156	но все	2	2
157	и если	2	2
158	исходить из	4	2
159	уже предполагает	2	2
160	и вот	2	2
161	так же	4	2
162	не из	4	2
163	жизнь и	3	2
164	от всех	3	2
165	в своих	2	2
166	как ее	2	2
167	но ведь	2	2
168	как это	6	2
169	как она	3	2
170	ничем не	3	2
171	на него	2	2
172	от этого	2	2
173	на их	2	2
174	жизни в	2	2
175	от чего	2	2
176	если он	3	2
177	не с	2	2
178	бы ни	5	2
179	остановиться на	2	2
180	и может	4	2
181	он не	3	2
182	когда он	3	2
183	как в	8	2
184	приводит к	2	2
185	может и	2	2
186	как мы	5	2
187	и его	10	2
188	или иначе	2	2
189	во всяком	4	2
190	отношении к	2	2
191	если же	2	2
192	и всякий	2	2
193	в науке	2	2
194	в особенности	3	2
