N	2gram	Losev_Vlad_2	EvropaiC
1	таким образом	3	32
2	в том	18	31
3	и в	30	24
4	том что	12	20
5	все эти	5	19
6	не может	9	18
7	то что	20	17
8	может быть	7	15
9	все же	9	15
10	точки зрения	7	13
11	в своем	8	12
12	в этом	20	12
13	все это	5	11
14	с этим	5	11
15	мы знаем	4	10
16	как бы	5	10
17	во всех	3	10
18	так и	5	10
19	на то	2	9
20	при этом	5	9
21	в результате	5	9
22	как и	5	9
23	того же	5	9
24	что в	12	9
25	не в	9	8
26	в самом	2	8
27	так же	4	8
28	и все	7	8
29	с точки	3	8
30	не менее	7	7
31	к тому	2	7
32	но и	8	7
33	и не	18	7
34	и что	5	7
35	из этих	3	7
36	о том	4	7
37	что он	13	7
38	по существу	3	7
39	или менее	3	7
40	того чтобы	2	7
41	для того	2	7
42	из этого	5	7
43	более или	3	7
44	так что	5	6
45	в этой	4	6
46	в общем	2	6
47	несмотря на	4	6
48	того что	5	6
49	и на	4	6
50	что касается	3	6
51	так как	5	6
52	с ним	5	6
53	и при	2	6
54	что и	3	6
55	только в	6	6
56	вместе с	8	6
57	именно в	4	5
58	что это	4	5
59	и от	2	5
60	на все	2	5
61	у него	19	5
62	в целом	4	5
63	как к	2	5
64	и с	14	5
65	потому что	9	5
66	его в	4	5
67	но в	8	5
68	к этому	6	5
69	и к	6	5
70	в то	9	5
71	по своему	2	5
72	и если	4	5
73	в его	11	5
74	не только	12	5
75	и для	3	5
76	но все	2	5
77	в себе	6	5
78	как будто	2	5
79	в которой	4	5
80	никогда не	7	4
81	в конце	13	4
82	тем не	6	4
83	что его	4	4
84	в дальнейшем	5	4
85	хотя и	6	4
86	отношение к	4	4
87	в их	2	4
88	должно быть	3	4
89	и то	5	4
90	всех этих	3	4
91	связи с	8	4
92	мы должны	4	4
93	мы уже	2	4
94	том же	3	4
95	он не	4	4
96	конце концов	3	4
97	не есть	4	4
98	то же	4	4
99	в течение	5	4
100	хотя бы	3	4
101	в таком	3	4
102	в виде	3	4
103	в области	3	4
104	мы будем	3	3
105	в этих	4	3
106	с в	4	3
107	для нас	7	3
108	как у	2	3
109	уже и	2	3
110	не вполне	2	3
111	в настоящее	2	3
112	так или	3	3
113	в нем	4	3
114	данном случае	2	3
115	заключается в	2	3
116	и наконец	4	3
117	и по	2	3
118	а в	11	3
119	это не	2	3
120	всему этому	2	3
121	в начале	4	3
122	настоящее время	2	3
123	и потому	2	3
124	в эти	7	3
125	с тем	2	3
126	можно назвать	2	3
127	но по	2	3
128	прежде всего	6	3
129	у нас	6	3
130	мы сказали	2	3
131	тот же	5	3
132	и может	2	3
133	конечно не	4	3
134	что если	2	3
135	даже в	2	3
136	на земле	2	3
137	в с	10	3
138	или иначе	3	3
139	в данном	3	3
140	очень много	2	3
141	тем более	3	3
142	в связи	8	3
143	и вообще	10	3
144	и это	3	3
145	отличие от	3	3
146	не то	3	3
147	свою очередь	2	2
148	в частности	2	2
149	с этой	4	2
150	что эти	2	2
151	он все	2	2
152	как мы	11	2
153	для него	9	2
154	к такому	3	2
155	на этом	2	2
156	же время	3	2
157	в свою	3	2
158	и сам	2	2
159	к нему	2	2
160	том чтобы	2	2
161	в ней	4	2
162	в виду	2	2
163	всяком случае	6	2
164	в котором	5	2
165	мы видели	2	2
166	другими словами	5	2
167	и до	2	2
168	что для	2	2
169	те же	3	2
170	к той	2	2
171	не было	10	2
172	также и	6	2
173	а это	3	2
174	во всяком	6	2
175	то есть	7	2
176	в них	3	2
177	же касается	5	2
178	гораздо более	2	2
179	тогда когда	2	2
180	вовсе не	4	2
181	этого последнего	2	2
182	на первый	2	2
183	только тогда	2	2
184	а к	2	2
185	то в	5	2
186	но не	3	2
187	не очень	4	2
188	она не	2	2
189	было бы	9	2
190	со своей	2	2
191	жизни и	6	2
192	и из	2	2
193	в сущности	2	2
194	между прочим	7	2
195	только одно	3	2
196	которую он	7	2
197	и особенно	3	2
198	него в	4	2
199	что же	8	2
200	ко всему	4	2
201	которой мы	2	2
202	то с	2	2
203	невозможно но	2	2
