N	2gram	Bakhtin_Fr_4	Psycholo
1	в том	7	37
2	и в	29	32
3	том что	3	21
4	то что	4	21
5	таким образом	20	21
6	то есть	21	21
7	так же	7	18
8	может быть	2	18
9	не может	2	17
10	точки зрения	4	17
11	того чтобы	3	14
12	что он	4	13
13	при этом	3	13
14	то же	10	13
15	для того	3	13
16	в этом	11	13
17	не только	10	12
18	так как	7	12
19	в основе	2	11
20	как и	12	10
21	но и	9	10
22	и не	16	10
23	с точки	2	10
24	никогда не	2	9
25	как в	2	9
26	в своих	2	9
27	тем что	4	9
28	что это	5	8
29	с таким	2	8
30	той же	3	8
31	того что	3	8
32	к тому	2	7
33	и как	3	7
34	такой же	3	7
35	в сущности	6	7
36	все эти	9	7
37	и его	8	7
38	сказать что	5	7
39	как будто	2	7
40	только в	2	7
41	что они	2	7
42	все время	3	6
43	в этой	13	6
44	тот же	3	6
45	и мы	2	6
46	он не	3	6
47	как бы	8	6
48	формы и	2	6
49	о том	2	6
50	что у	3	5
51	в ней	3	5
52	далеко не	5	5
53	все это	4	5
54	как раз	2	5
55	на самом	4	5
56	и даже	3	5
57	как на	2	5
58	и на	11	5
59	в то	10	5
60	в жизни	2	4
61	в чем	3	4
62	и сам	3	4
63	из этого	2	4
64	и по	5	4
65	в нем	5	4
66	все же	3	4
67	из них	6	4
68	жизни и	4	4
69	и до	5	4
70	образом и	3	4
71	но только	2	4
72	и все	13	4
73	мы видим	3	4
74	и для	2	4
75	и с	9	4
76	если же	2	4
77	и это	2	4
78	по своему	4	3
79	в частности	3	3
80	но он	6	3
81	с другой	4	3
82	в конце	9	3
83	и к	2	3
84	но как	3	3
85	до конца	5	3
86	в своей	5	3
87	ссылается на	2	3
88	конце концов	4	3
89	один из	4	3
90	с ее	3	3
91	так и	11	3
92	и их	3	3
93	и так	3	3
94	в их	2	3
95	на этом	2	3
96	и других	3	3
97	образом в	3	3
98	и вот	3	3
99	жизнь и	4	3
100	тому как	3	3
101	то время	2	3
102	как к	3	3
103	и то	2	3
104	но в	12	3
105	в виду	2	3
106	мы можем	3	3
107	в узком	3	2
108	место в	2	2
109	с его	4	2
110	их с	2	2
111	в них	7	2
112	что такие	2	2
113	это не	5	2
114	это в	2	2
115	и здесь	3	2
116	ни в	2	2
117	в романе	10	2
118	образом все	2	2
119	же время	8	2
120	и при	2	2
121	еще не	4	2
122	но не	2	2
123	того же	5	2
124	и тот	2	2
125	вовсе не	9	2
126	на его	2	2
127	к нему	3	2
128	том же	2	2
129	что каждая	2	2
130	в его	8	2
131	все те	2	2
132	их как	2	2
133	если в	2	2
134	в ее	3	2
135	как он	2	2
136	начала и	3	2
137	в этих	2	2
138	не на	2	2
139	бы не	2	2
140	другой стороны	3	2
141	в особенности	2	2
142	форм и	2	2
143	роль в	3	2
144	в игре	2	2
145	и у	2	2
146	в других	2	2
147	у них	3	2
148	принадлежат к	2	2
149	но это	4	2
150	также и	4	2
151	их в	2	2
152	подобно тому	3	2
153	в себе	3	2
154	два момента	2	2
155	там где	3	2
156	в которой	4	2
157	учения о	2	2
158	к которому	2	2
