N	2gram	Medvedev_U_1	Psycholo
1	то что	7	44
2	и в	14	33
3	в этом	7	28
4	может быть	6	22
5	том что	2	22
6	в том	2	21
7	что он	2	20
8	таким образом	2	13
9	и не	8	13
10	все это	5	13
11	в самом	2	12
12	было бы	3	12
13	самом деле	2	12
14	что все	2	11
15	что она	2	10
16	не может	7	10
17	в его	2	10
18	если бы	2	10
19	в этой	4	9
20	по себе	2	9
21	как раз	2	9
22	то же	5	9
23	в конце	2	8
24	для этого	3	8
25	и только	5	7
26	не только	10	7
27	это не	3	6
28	что мы	2	6
29	же самое	2	6
30	а не	10	6
31	в себе	2	6
32	мы не	2	5
33	как и	3	5
34	все же	3	5
35	художественной формы	2	4
36	в частности	3	4
37	у нас	3	4
38	в своей	3	4
39	только в	2	4
40	это было	2	4
41	в сторону	2	3
42	но и	4	3
43	конечно не	4	3
44	в то	3	3
45	всех этих	2	3
46	смысле этого	2	3
47	при таком	2	3
48	но не	2	3
49	до сих	2	3
50	конце концов	2	3
51	что и	2	3
52	сих пор	2	3
53	и для	2	3
54	тем что	2	3
55	бы и	2	2
56	материала и	2	2
57	его и	2	2
58	с другой	4	2
59	прежде всего	8	2
60	же время	3	2
61	и является	2	2
62	все они	2	2
63	в их	4	2
64	другой стороны	3	2
65	и формы	3	2
66	и с	2	2
67	именно как	2	2
68	могли бы	2	2
69	не в	2	2
70	в художественном	5	2
71	но в	3	2
72	а как	2	2
73	с его	2	2
74	надо было	2	2
75	в искусстве	6	2
76	по существу	2	2
77	литературы и	2	2
78	бы то	3	2
79	не все	2	2
80	сводится к	2	2
81	хотя бы	5	2
82	и то	3	2
83	ничего не	2	2
