N	2gram	Propp_Russ_2	NovoeSre
1	а не	4	17
2	не может	5	16
3	и в	29	16
4	совсем не	2	12
5	что в	22	9
6	в том	22	8
7	в новой	2	7
8	как и	11	7
9	в этом	11	7
10	может быть	13	7
11	никогда не	2	6
12	не в	4	6
13	должен быть	2	5
14	все это	10	5
15	не только	10	5
16	не менее	2	4
17	то что	5	4
18	в них	4	4
19	это не	5	4
20	и все	4	4
21	не было	2	4
22	не имеет	3	4
23	и для	2	4
24	должно быть	2	4
25	потому что	5	4
26	прежде всего	2	4
27	о том	9	4
28	к жизни	5	3
29	но и	8	3
30	в своей	2	3
31	жизни в	2	3
32	с другой	2	3
33	вопрос о	4	3
34	во всех	3	3
35	и пр	2	3
36	в ее	3	3
37	с тем	6	3
38	подобно тому	3	3
39	как в	7	3
40	она не	3	3
41	еще не	6	3
42	тому как	3	3
43	вместе с	6	2
44	но она	2	2
45	в природе	3	2
46	что она	3	2
47	для этого	5	2
48	и от	3	2
49	а в	9	2
50	с одной	2	2
51	все эти	3	2
52	уже не	4	2
53	того чтобы	6	2
54	одной стороны	2	2
55	но не	5	2
56	так же	4	2
57	по существу	4	2
58	это и	2	2
59	мы не	6	2
60	том что	22	2
61	можно было	2	2
62	связаны с	3	2
63	есть в	2	2
64	же как	4	2
65	одна из	11	2
66	и с	10	2
67	и что	5	2
68	могут быть	2	2
69	с этим	2	2
70	и на	6	2
71	не к	2	2
72	в то	2	2
73	когда мы	2	2
74	том чтобы	2	2
75	как это	4	2
76	должно было	3	2
77	но в	5	2
