N	2gram	Tiupa_Disk_2	Tvorches
1	и в	16	20
2	не только	10	13
3	никогда не	2	11
4	как бы	4	11
5	в его	3	10
6	в то	5	10
7	там же	2	9
8	и его	3	9
9	и не	15	9
10	прежде всего	7	8
11	в том	8	8
12	при этом	17	8
13	но и	11	8
14	может быть	16	8
15	в этом	16	8
16	и с	2	8
17	это не	3	7
18	же время	5	7
19	что в	5	7
20	не может	9	7
21	то же	6	7
22	потому что	4	7
23	что он	2	6
24	как и	16	6
25	в целом	2	6
26	в своей	6	6
27	так и	9	6
28	все это	2	6
29	именно в	2	6
30	а не	14	6
31	в мире	11	5
32	но это	3	5
33	еще не	6	5
34	но не	7	5
35	например в	3	5
36	все же	6	5
37	и на	5	5
38	в этой	4	5
39	о том	4	5
40	в творчестве	3	5
41	то есть	12	5
42	в соответствии	2	4
43	том что	10	4
44	соответствии с	3	4
45	отнюдь не	6	4
46	как в	8	4
47	все эти	3	4
48	тем самым	6	4
49	героя в	5	4
50	в принципе	2	4
51	не в	3	4
52	а в	2	4
53	но в	11	4
54	место в	2	3
55	а с	5	3
56	же как	2	3
57	жизни в	3	3
58	к этому	4	3
59	отношению к	4	3
60	для него	5	3
61	своего рода	10	3
62	он не	3	3
63	в котором	3	3
64	не является	4	3
65	по сути	2	3
66	в нем	7	3
67	то что	5	3
68	но уже	2	3
69	и это	2	3
70	вместе с	2	3
71	по отношению	4	3
72	тогда как	11	3
73	человека в	4	3
74	уже не	3	3
75	романа и	2	3
76	в рассказе	4	3
77	в своих	6	3
78	в себе	19	3
79	у пушкина	2	3
80	его в	3	3
81	в записках	2	3
82	между тем	2	3
83	ни к	5	2
84	не менее	7	2
85	по словам	2	2
86	личности в	2	2
87	восходит к	3	2
88	с другой	5	2
89	в одном	4	2
90	такой же	2	2
91	и ее	3	2
92	что на	2	2
93	в частности	12	2
94	к жизни	3	2
95	себя в	6	2
96	наше время	2	2
97	по преимуществу	2	2
98	приводит к	3	2
99	в наше	2	2
100	в отличие	12	2
101	не было	3	2
102	сводится к	2	2
103	образ человека	2	2
104	и наконец	3	2
105	другой стороны	2	2
106	роль в	4	2
107	тут же	2	2
108	не столько	3	2
109	х гг	2	2
110	в основе	4	2
111	из них	3	2
112	могут быть	3	2
113	говорить о	2	2
114	только в	3	2
115	в русской	3	2
116	их в	2	2
117	отличие от	12	2
118	одном из	3	2
