N	2gram	Tiupa_Anal_1	Narrotol
1	не только	15	26
2	а не	17	17
3	представляет собой	16	16
4	но и	17	15
5	тогда как	14	15
6	в том	27	14
7	при этом	12	14
8	в качестве	31	14
9	и не	21	14
10	том что	12	13
11	и в	18	13
12	в этом	13	13
13	состоит в	11	12
14	такого рода	5	12
15	в частности	19	11
16	только в	6	11
17	может быть	29	10
18	в данном	2	10
19	своего рода	3	9
20	к тому	7	9
21	так и	4	9
22	сводится к	5	9
23	а в	9	9
24	то есть	11	9
25	то что	6	8
26	в себе	11	8
27	в тексте	5	8
28	не может	22	8
29	не в	14	8
30	коммуникативного события	14	8
31	не сводится	2	7
32	иначе говоря	9	7
33	в рамках	3	6
34	никогда не	2	6
35	прежде всего	6	6
36	можно сказать	2	6
37	и к	3	6
38	того что	4	6
39	в его	13	6
40	и т.п	5	6
41	коммуникативное событие	6	6
42	данном случае	2	6
43	со стороны	2	6
44	героя в	2	6
45	все же	4	6
46	как бы	5	6
47	а также	3	6
48	всего лишь	4	6
49	но в	8	6
50	место в	3	5
51	по мысли	3	5
52	точки зрения	6	5
53	не столько	2	5
54	человеческого я	2	5
55	что он	3	5
56	одной стороны	3	5
57	он не	3	5
58	в котором	3	5
59	в нем	3	5
60	отношению к	5	5
61	по отношению	6	5
62	в отличие	6	5
63	таким образом	3	5
64	с одной	3	5
65	в той	8	5
66	тем самым	7	5
67	с другой	4	5
68	отличие от	6	5
69	в то	9	5
70	я в	3	5
71	далеко не	6	5
72	о том	5	5
73	если бы	3	4
74	отнюдь не	15	4
75	в литературе	4	4
76	тому же	4	4
77	как и	13	4
78	времени и	6	4
79	что в	5	4
80	для него	2	4
81	читателя в	2	4
82	при всей	2	4
83	не является	2	4
84	встрече с	3	4
85	не к	2	4
86	в своей	6	4
87	то же	9	4
88	в какой	2	4
89	уже не	4	4
90	в мире	8	4
91	свидетельствует о	2	4
92	в силу	3	4
93	в другом	4	4
94	в этой	5	4
95	и все	3	4
96	с ним	4	4
97	в себя	6	4
98	мира в	2	4
99	а как	2	3
100	с его	3	3
101	человек в	3	3
102	конечном счете	4	3
103	мы имеем	6	3
104	это не	6	3
105	или иного	3	3
106	или иной	6	3
107	и представляет	3	3
108	и того	5	3
109	соответствии с	2	3
110	но не	10	3
111	же время	6	3
112	и сам	2	3
113	того или	3	3
114	от которого	2	3
115	той или	6	3
116	в конечном	4	3
117	о нем	3	3
118	за пределами	2	3
119	для себя	2	3
120	один из	2	3
121	в целом	5	3
122	внутренней речи	5	3
123	между собой	2	3
124	как к	2	3
125	все эти	2	3
126	самом деле	2	3
127	при встрече	3	3
128	того чтобы	3	3
129	и по	2	3
130	и его	5	3
131	в таком	3	3
132	самим собой	2	3
133	этом отношении	2	3
134	не следует	4	3
135	между тем	5	3
136	по своей	6	3
137	как правило	4	3
138	едва ли	2	3
139	в состав	3	3
140	дело с	4	2
141	встречи с	2	2
142	в принципе	8	2
143	дискурс в	2	2
144	только не	2	2
145	личности в	3	2
146	однако в	3	2
147	в нашем	3	2
148	хотя бы	3	2
149	столь же	4	2
150	из этих	2	2
151	и другого	4	2
152	обратиться к	3	2
153	как уже	2	2
154	на фоне	2	2
155	в случае	6	2
156	вовсе не	2	2
157	вследствие этого	3	2
158	художественного письма	2	2
159	той мере	2	2
160	равной степени	2	2
161	не должен	2	2
162	и т	3	2
163	в начале	2	2
164	тем более	2	2
165	с другим	4	2
166	и более	4	2
167	и адресата	2	2
168	присутствия в	2	2
169	имеем дело	4	2
170	еще не	3	2
171	было бы	2	2
172	мысль о	2	2
173	иного рода	2	2
174	в самом	6	2
175	несмотря на	2	2
176	не могу	2	2
177	может служить	2	2
178	имеет место	5	2
179	текста и	8	2
180	не являются	2	2
181	однако не	3	2
182	не все	2	2
183	что и	3	2
184	он может	2	2
185	себя в	6	2
186	не будет	3	2
187	в процессе	2	2
188	в культуре	3	2
189	в составе	2	2
190	собственно говоря	4	2
191	и читателя	2	2
192	а с	3	2
193	именно в	4	2
194	и состоит	5	2
195	на самом	2	2
196	быть может	2	2
197	личность по	2	2
198	более чем	4	2
199	с точки	4	2
200	всякий раз	3	2
201	той же	2	2
202	роль в	2	2
203	ведет к	3	2
204	тому как	3	2
205	самого рассказывания	2	2
206	не случайно	3	2
207	вступает в	3	2
208	мере в	3	2
209	подобно тому	3	2
210	в категориях	2	2
211	т п	3	2
212	могли бы	2	2
213	дискурса как	2	2
214	в равной	3	2
215	представляют собой	2	2
216	как он	3	2
217	здесь не	2	2
218	потому что	2	2
219	в области	4	2
220	в сознании	2	2
221	другого сознания	2	2
