N	2gram	Nazirov_Vr_1	Literetu
1	и в	8	19
2	может быть	4	17
3	то же	5	12
4	и не	5	11
5	и т.п	2	10
6	в том	3	10
7	как и	6	10
8	но и	7	10
9	же время	5	9
10	не может	2	9
11	тогда как	2	9
12	в мире	2	9
13	в этом	8	9
14	в то	5	9
15	не только	9	8
16	и даже	6	8
17	том что	3	7
18	то что	7	7
19	не менее	2	6
20	в себе	2	6
21	при этом	4	6
22	столь же	2	5
23	я не	3	5
24	одна из	2	5
25	он не	3	5
26	вместе с	2	5
27	так в	2	5
28	в году	18	5
29	что в	7	4
30	отнюдь не	2	4
31	для него	2	4
32	в ней	4	4
33	в его	3	4
34	человека в	3	4
35	тем что	3	4
36	точки зрения	2	4
37	в русской	3	4
38	никогда не	2	3
39	врага в	2	3
40	о себе	3	3
41	что он	4	3
42	в нем	6	3
43	и как	3	3
44	одним из	3	3
45	но это	2	3
46	в начале	6	3
47	в этой	2	3
48	права на	2	3
49	и он	2	3
50	речь идет	3	3
51	с точки	2	3
52	а в	2	3
53	и его	3	3
54	в глазах	2	3
55	и то	2	3
56	и с	6	3
57	х годов	4	3
58	уже в	4	2
59	не было	5	2
60	же как	2	2
61	у него	5	2
62	в них	2	2
63	в конце	3	2
64	в виду	4	2
65	а также	2	2
66	о которой	2	2
67	для нас	4	2
68	еще не	2	2
69	как бы	4	2
70	все же	6	2
71	же в	2	2
72	из них	2	2
73	в истории	4	2
74	русской литературе	3	2
75	как раз	2	2
76	уже не	2	2
77	и что	8	2
78	в своих	4	2
79	но как	2	2
80	что я	2	2
81	о том	4	2
82	в россии	5	2
83	с ним	4	2
84	в него	2	2
85	но в	6	2
