N	2gram	Berdyaev_V_1	formyVre
1	и в	16	46
2	в этом	4	22
3	прежде всего	2	14
4	и т	2	14
5	только в	2	11
6	не только	2	11
7	во всех	3	11
8	в том	3	10
9	как бы	5	10
10	но в	3	10
11	не в	3	9
12	но и	5	9
13	и не	20	9
14	и для	3	9
15	как и	4	8
16	в его	4	8
17	жизни и	3	8
18	того чтобы	2	8
19	потому что	4	8
20	в них	3	7
21	то что	9	7
22	так и	4	7
23	никогда не	3	6
24	и во	2	6
25	и все	4	6
26	еще не	8	6
27	все это	5	6
28	так как	9	6
29	но не	2	5
30	в нем	4	5
31	что в	3	5
32	все эти	3	5
33	должно быть	3	5
34	человека и	6	4
35	в образе	4	4
36	с ним	2	4
37	том что	2	4
38	что они	7	4
39	в котором	4	4
40	в мире	5	4
41	конечно не	2	4
42	а не	7	4
43	их в	3	4
44	в истории	8	4
45	не было	3	3
46	что было	2	3
47	к тому	3	3
48	что он	4	3
49	в прошлом	2	3
50	для него	2	3
51	тот же	3	3
52	хотя и	5	3
53	нет и	2	3
54	что и	3	3
55	ее в	2	3
56	всего в	2	3
57	в форме	2	3
58	на нас	2	3
59	т д	2	3
60	и они	3	3
61	уже не	2	3
62	того что	5	3
63	а в	2	3
64	тем что	2	3
65	в этих	3	3
66	не могли	2	3
67	мира в	2	3
68	до того	2	2
69	и есть	4	2
70	говорить о	4	2
71	это не	2	2
72	что все	4	2
73	в духе	2	2
74	ее и	2	2
75	бога и	5	2
76	с тем	2	2
77	все что	4	2
78	этого мира	3	2
79	и потому	7	2
80	один из	2	2
81	на земле	7	2
82	если не	3	2
83	в себя	2	2
84	над ними	2	2
85	лишь в	3	2
86	но это	3	2
87	людей и	2	2
88	от этого	3	2
89	могут быть	2	2
90	в конце	3	2
91	и это	2	2
92	во всяком	2	2
93	в последнем	2	2
