N	2gram	Bakhtin_fo_1	RusskieA
1	и в	50	29
2	что в	5	22
3	том что	4	22
4	в том	9	22
5	как бы	2	18
6	в других	9	15
7	и другие	5	14
8	может быть	11	13
9	так как	6	13
10	как и	8	11
11	одна из	2	11
12	в этом	25	11
13	все это	4	10
14	в этот	2	10
15	и с	4	10
16	не только	9	10
17	в некоторых	2	9
18	а в	3	9
19	в дом	2	8
20	но и	8	8
21	ее в	2	8
22	его в	3	8
23	как в	6	7
24	или в	3	7
25	с тем	3	6
26	мы не	3	6
27	же в	3	6
28	еще не	5	6
29	для того	5	6
30	для нас	2	6
31	вместе с	3	6
32	таким образом	11	6
33	при этом	3	6
34	того чтобы	5	6
35	и на	8	6
36	в данном	2	6
37	потому что	4	5
38	это не	6	5
39	к этому	3	5
40	то что	6	5
41	но не	5	5
42	и т	8	5
43	к жизни	2	5
44	не может	6	5
45	но в	10	5
46	именно в	3	4
47	в них	4	4
48	и все	6	4
49	тогда когда	2	4
50	вопрос о	2	4
51	уже не	2	4
52	по существу	12	4
53	не в	5	4
54	же как	2	4
55	том же	2	4
56	а также	2	4
57	так же	6	4
58	то же	11	4
59	на них	2	4
60	а не	3	4
61	в таком	3	4
62	в которых	2	4
63	их в	3	4
64	далеко не	2	4
65	тем что	2	3
66	в этих	3	3
67	в качестве	3	3
68	и других	3	3
69	в ее	6	3
70	в честь	2	3
71	связаны с	3	3
72	до конца	4	3
73	того что	2	3
74	было бы	2	3
75	в человеческую	2	3
76	в котором	4	3
77	с другими	3	3
78	не имеет	4	3
79	во всех	6	3
80	в отличие	2	3
81	все эти	9	3
82	и по	2	3
83	друг друга	3	3
84	как мы	14	3
85	но он	2	3
86	по всем	2	3
87	отличие от	2	3
88	связь между	2	2
89	связи с	6	2
90	об этом	2	2
91	могут быть	5	2
92	никогда не	2	2
93	между собой	4	2
94	из нее	2	2
95	жизни в	8	2
96	с другой	2	2
97	в стороне	2	2
98	другой день	2	2
99	в образе	5	2
100	прежде всего	15	2
101	что и	3	2
102	к ней	2	2
103	кроме того	4	2
104	и как	10	2
105	у них	2	2
106	чем в	2	2
107	совсем не	2	2
108	на другой	2	2
109	в глаза	2	2
110	чтобы они	4	2
111	то время	4	2
112	здесь в	2	2
113	для них	3	2
114	одной стороны	2	2
115	совершенно не	2	2
116	все то	2	2
117	иной характер	2	2
118	в виду	3	2
119	как оно	2	2
120	один из	3	2
121	но она	2	2
122	все же	6	2
123	в своей	2	2
124	не к	2	2
125	природы и	2	2
126	в форме	3	2
127	в их	6	2
128	влияние на	4	2
129	не было	7	2
130	с одной	3	2
131	в течение	2	2
132	там где	2	2
133	и для	4	2
134	жизнь и	4	2
135	быть только	3	2
136	и то	4	2
137	одно из	3	2
138	с этим	6	2
139	на себя	2	2
140	это время	7	2
141	и ее	3	2
142	и еще	2	2
143	во всем	2	2
144	в то	9	2
145	характер в	2	2
146	в которой	2	2
147	есть в	2	2
