N	2gram	Medvedev_F_1	Tragedij
1	и в	24	18
2	в году	2	9
3	в этом	15	9
4	не только	7	8
5	и не	20	7
6	и на	8	7
7	и с	8	7
8	может быть	14	7
9	как бы	6	7
10	что он	3	6
11	и его	10	6
12	же время	8	6
13	но в	5	6
14	все же	3	5
15	так и	18	5
16	это не	2	5
17	не может	16	5
18	то же	10	5
19	как и	11	5
20	в то	9	5
21	но и	7	4
22	то что	8	4
23	в целом	6	4
24	что в	4	4
25	все это	9	4
26	прежде всего	22	4
27	и все	6	4
28	в нем	14	4
29	и даже	3	4
30	так же	4	4
31	но это	3	4
32	в этой	6	4
33	и что	2	4
34	в себе	3	4
35	еще не	6	4
36	этот образ	2	4
37	один из	3	3
38	с ее	7	3
39	отнюдь не	6	3
40	в своем	11	3
41	как в	8	3
42	все эти	6	3
43	тем самым	3	3
44	жизнь и	3	3
45	и как	3	3
46	в основном	3	3
47	должно быть	11	3
48	в его	23	3
49	для него	3	3
50	при этом	5	3
51	в мире	4	3
52	как это	6	3
53	с ним	2	3
54	еще в	2	2
55	под влиянием	2	2
56	и до	5	2
57	что и	2	2
58	в душе	2	2
59	она должна	3	2
60	раз и	2	2
61	в частности	4	2
62	в самую	2	2
63	а как	2	2
64	вопрос о	2	2
65	ее к	2	2
66	но эта	2	2
67	уже не	2	2
68	с его	4	2
69	отношение к	3	2
70	к тому	3	2
71	не так	2	2
72	и здесь	6	2
73	ни в	2	2
74	в ее	8	2
75	в том	6	2
76	до конца	7	2
77	друг друга	4	2
78	но все	2	2
79	не в	8	2
80	одна из	2	2
81	ничем не	3	2
82	с тем	2	2
83	и ее	10	2
84	его в	3	2
85	впечатление что	2	2
86	и это	2	2
87	в самом	5	2
88	ничего не	2	2
89	он не	3	2
90	в одном	2	2
91	никогда не	4	2
