N	2gram	Tiupa_Narr_2	FransuaR
1	и в	13	45
2	то есть	9	25
3	и т.п	6	16
4	и не	14	15
5	не только	26	14
6	в этом	13	14
7	но в	6	14
8	в его	6	13
9	и его	3	13
10	как бы	6	12
11	во время	2	12
12	что в	4	12
13	в своем	6	11
14	то же	4	11
15	в то	5	11
16	прежде всего	6	10
17	в том	14	10
18	в нем	5	10
19	но и	15	10
20	как и	4	10
21	же время	3	9
22	вовсе не	2	8
23	в ней	2	8
24	жизни и	4	8
25	таким образом	5	8
26	так же	2	8
27	мира и	3	8
28	с его	3	7
29	в конце	4	7
30	том что	13	7
31	не в	8	7
32	что и	2	7
33	потому что	2	7
34	и все	4	7
35	что он	5	6
36	в этой	4	6
37	он не	5	6
38	здесь не	2	6
39	так и	9	6
40	того чтобы	3	6
41	с ним	4	5
42	и к	6	5
43	но это	2	5
44	со всеми	2	5
45	хотя и	5	5
46	как раз	3	5
47	не может	8	5
48	этом отношении	3	5
49	все эти	3	5
50	на самом	2	5
51	в себя	4	5
52	самом деле	3	5
53	и у	4	5
54	существенную роль	3	5
55	перед нами	4	4
56	же как	2	4
57	об этом	4	4
58	мы не	2	4
59	у него	6	4
60	и здесь	2	4
61	тому же	4	4
62	но не	3	4
63	по своему	2	4
64	ничего не	6	4
65	по поводу	2	4
66	своего рода	9	4
67	в самом	2	4
68	а также	6	4
69	а не	17	4
70	и даже	3	4
71	как на	2	4
72	а в	9	4
73	той же	2	4
74	можно было	2	4
75	сказать что	3	4
76	точки зрения	5	4
77	только в	11	4
78	о том	5	4
79	зрения на	2	4
80	бы в	2	4
81	как это	4	4
82	не менее	4	3
83	от его	2	3
84	как в	5	3
85	это не	3	3
86	из этих	2	3
87	для него	4	3
88	в своей	4	3
89	не могло	2	3
90	что она	2	3
91	именно в	2	3
92	в течение	2	3
93	того что	6	3
94	и он	2	3
95	не имеет	2	3
96	и для	3	3
97	но он	2	3
98	в другом	4	3
99	как он	2	3
100	о чем	2	3
101	играют существенную	2	2
102	на фоне	2	2
103	жизни в	6	2
104	говорить о	2	2
105	точку зрения	3	2
106	превращается в	2	2
107	хотя бы	2	2
108	можно сказать	6	2
109	к тому	9	2
110	раз в	2	2
111	отличие от	5	2
112	в начале	2	2
113	то что	8	2
114	церкви и	2	2
115	в качестве	14	2
116	у нее	4	2
117	было бы	2	2
118	что это	4	2
119	несмотря на	2	2
120	к ней	3	2
121	может быть	10	2
122	в церкви	2	2
123	один из	3	2
124	все же	6	2
125	в целом	3	2
126	во второй	2	2
127	на том	3	2
128	на него	5	2
129	данном случае	6	2
130	в отличие	5	2
131	при этом	14	2
132	и что	2	2
133	с точки	2	2
134	роль в	2	2
135	войны и	4	2
136	в данном	10	2
137	не столько	5	2
138	между тем	3	2
139	одно из	2	2
140	и т.д	4	2
141	в чем	2	2
142	которая не	2	2
143	подчеркнуть что	2	2
144	том как	2	2
