N	2gram	Medvedev_V_1	Analitik
1	в этом	26	18
2	в частности	11	16
3	и в	26	16
4	не только	25	16
5	так и	5	15
6	как и	7	14
7	в том	15	12
8	но и	10	12
9	и не	19	12
10	том что	8	12
11	в качестве	11	11
12	могут быть	5	10
13	как бы	5	10
14	а не	7	10
15	в пределах	5	9
16	лишь в	2	9
17	и даже	2	9
18	в этой	4	9
19	отнюдь не	3	8
20	в целом	4	8
21	всего лишь	3	8
22	к тому	4	7
23	в себе	6	7
24	то что	6	7
25	о том	10	7
26	с другой	11	6
27	в самом	4	6
28	говорить о	2	6
29	может быть	22	6
30	как это	12	6
31	но в	2	6
32	говорит о	7	5
33	произведения в	7	5
34	и к	3	5
35	с одной	2	5
36	не менее	2	4
37	только не	2	4
38	в своем	8	4
39	в конце	3	4
40	можно сказать	4	4
41	у него	6	4
42	о его	2	4
43	не в	6	4
44	но не	2	4
45	для него	8	4
46	одной стороны	2	4
47	отношению к	7	4
48	во всех	6	4
49	все это	10	4
50	как раз	3	4
51	по отношению	7	4
52	не может	17	4
53	и его	6	4
54	то же	10	4
55	хотя и	2	4
56	точки зрения	3	4
57	только в	7	4
58	в сознании	4	4
59	сюжета и	2	3
60	никогда не	4	3
61	как о	2	3
62	не столько	2	3
63	по крайней	2	3
64	прежде всего	13	3
65	или иной	2	3
66	при всей	2	3
67	не удивительно	4	3
68	его от	2	3
69	по поводу	2	3
70	было бы	7	3
71	крайней мере	2	3
72	со своим	2	3
73	мы имеем	3	3
74	или в	3	3
75	что и	3	3
76	из них	9	3
77	в их	5	3
78	приводит к	5	3
79	если бы	3	3
80	этом отношении	13	3
81	именно в	2	3
82	того или	2	3
83	можно было	2	3
84	а в	3	3
85	тому как	2	3
86	с ними	4	3
87	в результате	5	3
88	подобно тому	2	3
89	сводится к	3	3
90	удивительно что	3	3
91	бы в	3	3
92	в конечном	7	3
93	в общем	2	2
94	а как	2	2
95	художественного произведения	6	2
96	в противоположность	3	2
97	того что	3	2
98	них не	4	2
99	он же	5	2
100	в одном	4	2
101	что все	3	2
102	к этому	9	2
103	вовсе не	3	2
104	из своих	2	2
105	по себе	2	2
106	конечном счете	5	2
107	а затем	2	2
108	по существу	3	2
109	из его	3	2
110	же время	5	2
111	что в	10	2
112	так например	2	2
113	она не	3	2
114	еще не	2	2
115	о чем	2	2
116	в своей	4	2
117	не о	2	2
118	частности в	2	2
119	в котором	3	2
120	даже в	5	2
121	один из	5	2
122	как говорит	5	2
123	и их	3	2
124	вместе с	7	2
125	что она	2	2
126	вслед за	2	2
127	ли не	2	2
128	другой стороны	8	2
129	вообще и	2	2
130	таким образом	31	2
131	т е	18	2
132	в значительной	3	2
133	и он	2	2
134	и для	2	2
135	так же	3	2
136	роль в	4	2
137	на основе	5	2
138	не следует	8	2
139	результате чего	2	2
140	между тем	5	2
141	он не	2	2
142	он и	2	2
143	этого рода	2	2
144	данного произведения	3	2
145	к его	2	2
146	это только	4	2
147	в то	6	2
148	в его	14	2
149	его в	3	2
150	сказать что	5	2
151	произведения как	5	2
