N	2gram	Kanaev_Sov_1	Istorich
1	не только	4	18
2	может быть	12	17
3	и в	7	15
4	так как	4	14
5	что в	2	12
6	знаем что	2	12
7	а в	4	12
8	мы знаем	2	11
9	и не	6	11
10	в этом	7	11
11	то же	3	10
12	еще не	3	9
13	все же	3	9
14	мы видим	2	8
15	мы можем	6	8
16	и пр	2	7
17	в нем	3	7
18	вместе с	4	7
19	таким образом	11	7
20	не в	3	7
21	ничего не	6	7
22	что это	2	6
23	в его	2	6
24	как бы	4	6
25	и что	2	6
26	в том	4	6
27	но в	3	6
28	и есть	2	5
29	с этим	2	5
30	прежде всего	5	5
31	в одном	3	5
32	но все	2	5
33	было бы	3	5
34	что она	3	5
35	что при	2	5
36	не может	17	5
37	а не	3	5
38	и наконец	5	5
39	с одной	2	4
40	вопрос о	4	4
41	у него	2	4
42	для нас	3	4
43	в этой	3	4
44	при этом	3	4
45	не будем	2	4
46	и они	2	4
47	в себе	3	4
48	мы должны	4	4
49	все эти	5	4
50	видели что	3	3
51	из этих	2	3
52	все это	3	3
53	роль в	2	3
54	мы не	9	3
55	он в	3	3
56	как он	3	3
57	же мы	2	2
58	уже в	3	2
59	самого начала	3	2
60	могут быть	2	2
61	он должен	2	2
62	на котором	2	2
63	это не	4	2
64	некоторое время	2	2
65	как и	6	2
66	мы видели	4	2
67	такой же	2	2
68	одна из	3	2
69	на его	2	2
70	на этой	3	2
71	из них	4	2
72	и именно	2	2
73	в некоторых	2	2
74	но очень	2	2
75	приводит к	2	2
76	той же	2	2
77	с самого	3	2
78	когда мы	3	2
79	самом деле	2	2
80	в системе	3	2
81	к чему	2	2
82	дает нам	2	2
83	и по	2	2
84	этой стадии	2	2
85	это за	2	2
86	так сказать	2	2
87	их в	4	2
88	в которой	2	2
