N	2gram	Voloshinov_1	Narrotol
1	не только	5	26
2	а не	2	17
3	но и	4	15
4	в том	4	14
5	при этом	7	14
6	в качестве	2	14
7	и не	16	14
8	том что	5	13
9	и в	15	13
10	в этом	13	13
11	только в	6	11
12	может быть	13	10
13	в данном	3	10
14	к тому	4	9
15	так и	10	9
16	сводится к	3	9
17	а в	6	9
18	то что	10	8
19	в себе	4	8
20	не может	13	8
21	не в	4	8
22	к себе	3	7
23	никогда не	7	6
24	в своем	2	6
25	в жизни	5	6
26	прежде всего	11	6
27	можно сказать	4	6
28	и к	7	6
29	того что	2	6
30	в его	9	6
31	и т.п	2	6
32	данном случае	3	6
33	со стороны	2	6
34	жизни в	3	6
35	все же	5	6
36	у него	3	6
37	как бы	11	6
38	ничего не	2	6
39	но в	9	6
40	точки зрения	13	5
41	тем не	2	5
42	что он	8	5
43	он не	4	5
44	я не	3	5
45	в нем	4	5
46	отношению к	9	5
47	на него	4	5
48	как в	3	5
49	по отношению	11	5
50	таким образом	21	5
51	на протяжении	5	5
52	в то	6	5
53	далеко не	4	5
54	ответ на	2	5
55	что это	3	4
56	не менее	3	4
57	если бы	3	4
58	отнюдь не	2	4
59	об этом	4	4
60	как и	6	4
61	все что	9	4
62	что в	6	4
63	для него	5	4
64	читателя в	3	4
65	не является	3	4
66	жизни и	5	4
67	в своей	9	4
68	в ее	4	4
69	то же	7	4
70	уже не	5	4
71	и у	6	4
72	все его	2	4
73	в этой	5	4
74	и все	4	4
75	с ним	12	4
76	в себя	5	4
77	с его	8	3
78	тому что	3	3
79	точку зрения	4	3
80	это не	2	3
81	о которой	2	3
82	жизни так	3	3
83	одна из	3	3
84	но не	5	3
85	же время	5	3
86	к ней	2	3
87	как раз	2	3
88	один из	4	3
89	в целом	2	3
90	внутренней речи	3	3
91	между собой	4	3
92	как по	2	3
93	все эти	9	3
94	самом деле	7	3
95	того чтобы	2	3
96	и даже	2	3
97	и по	5	3
98	и для	2	3
99	нам в	2	3
100	и его	15	3
101	в таком	3	3
102	с ними	4	3
103	характер и	2	3
104	этом отношении	2	3
105	не следует	2	3
106	сказать что	6	3
107	между тем	2	3
108	которой он	2	3
109	так сказать	3	3
110	он сам	4	2
111	в душе	13	2
112	одно из	3	2
113	в нашем	3	2
114	о них	2	2
115	хотя бы	7	2
116	из этих	4	2
117	вовсе не	2	2
118	себе самом	3	2
119	из наиболее	3	2
120	в свою	2	2
121	еще не	7	2
122	было бы	6	2
123	со всеми	3	2
124	по поводу	2	2
125	во второй	5	2
126	в самом	6	2
127	во сне	2	2
128	в центре	3	2
129	что она	2	2
130	все то	2	2
131	в него	2	2
132	все те	4	2
133	оно не	2	2
134	что и	2	2
135	его жизни	6	2
136	себя в	2	2
137	хх века	2	2
138	в процессе	4	2
139	только на	2	2
140	именно в	3	2
141	у нас	3	2
142	в течение	2	2
143	те же	4	2
144	на самом	2	2
145	они не	2	2
146	и что	3	2
147	с точки	10	2
148	как на	3	2
149	той же	2	2
150	роль в	6	2
151	мы не	4	2
152	в чем	4	2
153	но это	2	2
154	вся жизнь	2	2
155	себя с	3	2
156	в ней	5	2
157	в своих	4	2
158	во время	5	2
159	бы в	2	2
160	потому что	4	2
161	в области	3	2
162	в сознании	3	2
