N	2gram	Savitsky_P_1	Psycholo
1	в том	9	37
2	и в	14	32
3	том что	4	21
4	то что	4	21
5	потому что	3	21
6	что в	4	20
7	может быть	5	18
8	не может	4	17
9	точки зрения	3	17
10	то же	9	13
11	для того	3	13
12	в этом	10	13
13	по себе	4	12
14	не только	17	12
15	заключается в	3	12
16	с тем	3	11
17	было бы	6	11
18	и т	3	10
19	но и	6	10
20	и не	12	10
21	с точки	3	10
22	не менее	2	8
23	не в	5	8
24	того что	2	8
25	и как	3	7
26	а не	2	7
27	только в	7	7
28	тот же	3	6
29	и мы	2	6
30	как бы	4	6
31	если бы	4	6
32	отнюдь не	2	5
33	вслед за	3	5
34	в ней	6	5
35	все это	2	5
36	как раз	2	5
37	как на	2	5
38	в то	7	5
39	столь же	3	4
40	в жизни	2	4
41	есть не	2	4
42	никак не	2	4
43	и тем	2	4
44	в нем	3	4
45	из них	2	4
46	наряду с	3	4
47	а в	4	4
48	и с	2	4
49	могут быть	3	4
50	с этим	2	4
51	и это	2	4
52	между тем	3	4
53	в общем	2	3
54	творчества и	2	3
55	главным образом	2	3
56	в частности	2	3
57	хотя бы	8	3
58	с другой	5	3
59	и к	4	3
60	например в	2	3
61	сами по	3	3
62	не к	2	3
63	во всех	2	3
64	в отношении	10	3
65	еще более	2	3
66	и других	2	3
67	и вот	2	3
68	в смысле	6	3
69	в которых	5	3
70	мы должны	4	3
71	отношении к	5	3
72	думать что	2	3
73	но в	9	3
74	мы не	3	3
75	признание что	2	2
76	в них	2	2
77	это не	3	2
78	а я	5	2
79	сводится к	3	2
80	же время	7	2
81	тем более	2	2
82	но не	3	2
83	по сравнению	2	2
84	ней не	2	2
85	в его	2	2
86	если в	2	2
87	в ее	2	2
88	начала и	2	2
89	для нас	2	2
90	заключает в	2	2
91	есть нечто	2	2
92	и без	3	2
93	не было	2	2
94	в себе	3	2
95	в русском	2	2
