N	2gram	Nazirov_Tv_2	Otkroven
1	о человеке	2	29
2	у него	6	22
3	у достоевского	30	19
4	и в	20	19
5	но и	8	13
6	и не	9	13
7	в этом	8	12
8	из подполья	6	11
9	а не	6	11
10	не в	4	11
11	человека в	3	11
12	может быть	8	11
13	не только	13	11
14	человека и	3	10
15	в нем	3	10
16	никогда не	11	9
17	не было	2	9
18	потому что	7	9
19	прежде всего	8	9
20	и он	2	8
21	он всегда	2	7
22	ивана карамазова	8	7
23	нет ничего	3	7
24	он не	3	7
25	в его	10	7
26	о великом	3	6
27	великом инквизиторе	3	6
28	все это	6	6
29	как и	6	6
30	человеческой личности	2	6
31	него в	2	5
32	то что	3	5
33	а в	4	5
34	достоевского и	2	5
35	в том	8	5
36	для достоевского	2	5
37	для него	3	5
38	в этой	5	5
39	в самом	3	5
40	в россии	2	5
41	в творчестве	5	5
42	в преступлении	10	4
43	он сам	3	4
44	достоевского не	8	4
45	что не	3	4
46	и его	9	4
47	все эти	4	4
48	достоевский не	5	4
49	герои достоевского	4	4
50	не может	7	4
51	что в	7	4
52	в романах	13	4
53	записках из	3	3
54	достоевского в	9	3
55	и наказании	10	3
56	преступлении и	11	3
57	и есть	2	3
58	самого достоевского	2	3
59	романах достоевского	13	3
60	это не	7	3
61	что он	6	3
62	записки из	2	3
63	в своих	3	3
64	быть может	3	3
65	еще не	5	3
66	и от	4	3
67	могут быть	2	3
68	и ее	2	3
69	в бесах	6	3
70	в себе	3	3
71	более всего	2	3
72	когда он	4	3
73	в русской	2	3
74	о том	5	3
75	с ним	3	3
76	в записках	3	3
77	как бы	11	3
78	о достоевском	2	2
79	в этот	2	2
80	уже в	2	2
81	все же	5	2
82	в душе	4	2
83	дневнике писателя	2	2
84	достоевского нет	3	2
85	в истории	2	2
86	так и	6	2
87	жизни в	3	2
88	что у	4	2
89	иван карамазов	7	2
90	иваном карамазовым	2	2
91	романов достоевского	5	2
92	к этому	3	2
93	творчество достоевского	4	2
94	в дневнике	3	2
95	в ее	2	2
96	в которой	2	2
97	достоевского к	2	2
98	том что	4	2
99	так что	2	2
100	и на	5	2
101	достоевского с	5	2
102	что они	4	2
103	и с	8	2
104	тем что	3	2
105	что достоевский	3	2
106	на западе	3	2
107	образ человека	2	2
108	достоевского но	3	2
109	его в	3	2
110	героев достоевского	5	2
111	в своей	6	2
112	так как	3	2
113	ничего не	4	2
114	не могли	2	2
115	легенда о	4	2
116	хотя и	4	2
117	но в	4	2
118	и потому	4	2
