N	2gram	Tiupa_Anal_1	VerxiiNi
1	и в	18	26
2	таким образом	3	22
3	вместе с	4	15
4	в этом	13	15
5	точки зрения	6	13
6	как бы	5	12
7	в том	27	11
8	может быть	29	10
9	не только	15	10
10	и с	2	10
11	из этих	2	10
12	что в	5	9
13	но и	17	9
14	в области	4	9
15	так как	2	9
16	с другой	4	8
17	но не	10	8
18	и не	21	8
19	том что	12	7
20	одной стороны	3	7
21	из них	2	7
22	к нему	3	7
23	то что	6	7
24	а с	3	7
25	с одной	3	7
26	потому что	2	7
27	но в	8	7
28	к тому	7	6
29	и потому	2	6
30	того же	4	6
31	несмотря на	2	6
32	что и	3	6
33	все же	4	6
34	так и	4	6
35	все эти	2	6
36	с точки	4	6
37	в себе	11	6
38	о том	5	6
39	том числе	3	5
40	и к	3	5
41	тому же	4	5
42	отношение к	2	5
43	в его	13	5
44	никогда не	2	5
45	лишь в	5	5
46	а не	17	5
47	того чтобы	3	5
48	для того	4	5
49	в силу	3	5
50	в мире	8	5
51	что он	3	4
52	в нем	3	4
53	из которых	4	4
54	в самом	6	4
55	в котором	3	4
56	не может	22	4
57	а в	9	4
58	то же	9	4
59	и тогда	2	4
60	и по	2	4
61	с другими	4	4
62	он не	3	4
63	в то	9	4
64	только в	6	4
65	то есть	11	4
66	в этой	5	4
67	далеко не	6	4
68	в рамках	3	3
69	если бы	3	3
70	хотя бы	3	3
71	можно сказать	2	3
72	для него	2	3
73	и как	5	3
74	представляет собой	16	3
75	в качестве	31	3
76	случае не	2	3
77	и о	2	3
78	если в	3	3
79	отношению к	5	3
80	при этом	12	3
81	уже не	4	3
82	того что	4	3
83	в которой	2	3
84	в таком	3	3
85	не могут	3	2
86	с его	3	2
87	ни было	4	2
88	только не	2	2
89	именно в	4	2
90	состоит в	11	2
91	только для	2	2
92	тогда когда	2	2
93	на все	2	2
94	прежде всего	6	2
95	не всегда	4	2
96	или иной	6	2
97	а также	3	2
98	то ни	3	2
99	в начале	2	2
100	как от	2	2
101	что именно	2	2
102	же время	6	2
103	что мы	3	2
104	с целью	2	2
105	еще не	3	2
106	мысль о	2	2
107	выступает в	2	2
108	той или	6	2
109	и является	2	2
110	один из	2	2
111	не с	4	2
112	бы то	3	2
113	не к	2	2
114	в процессе	2	2
115	отличается от	2	2
116	для этого	2	2
117	особенно в	2	2
118	этом отношении	2	2
119	мы имеем	6	2
120	свидетельствует о	2	2
121	одним из	3	2
122	и на	5	2
123	не в	14	2
124	по своей	6	2
125	же самое	2	2
126	и все	3	2
127	которые в	2	2
128	между тем	5	2
129	в новом	2	2
