N	2gram	Nazirov_Tr_1	Russkaja
1	не может	5	22
2	и не	7	19
3	в том	2	17
4	в этом	9	17
5	и в	18	14
6	то что	4	13
7	то же	5	11
8	же время	6	10
9	но и	4	10
10	в то	5	10
11	том что	4	9
12	не только	8	9
13	в себе	4	9
14	может быть	7	9
15	прежде всего	4	8
16	отнюдь не	3	7
17	к тому	2	7
18	в данном	2	7
19	о том	2	7
20	и с	7	7
21	что он	6	6
22	с тем	2	6
23	для него	3	6
24	все это	4	6
25	в своем	3	6
26	вопрос о	2	5
27	и на	7	5
28	при этом	3	5
29	он не	2	5
30	никогда не	2	5
31	в нем	4	5
32	потому что	2	5
33	не могут	2	4
34	что в	4	4
35	в мире	3	4
36	как и	5	4
37	как бы	7	4
38	все же	5	4
39	не в	2	4
40	и то	2	4
41	в этой	4	4
42	в его	3	4
43	его в	2	4
44	он сам	7	3
45	что это	5	3
46	в конце	3	3
47	что все	2	3
48	и как	3	3
49	должно быть	3	3
50	еще не	4	3
51	несмотря на	5	3
52	в самом	2	3
53	что и	2	3
54	данном случае	2	3
55	вряд ли	2	3
56	только к	2	3
57	друг друга	2	3
58	тем что	2	3
59	в виде	2	3
60	одна из	2	3
61	в частности	2	2
62	у него	6	2
63	точно так	2	2
64	ни в	2	2
65	уже не	2	2
66	так что	2	2
67	но это	4	2
68	что с	3	2
69	даже если	2	2
70	все эти	3	2
71	не просто	2	2
72	и что	4	2
73	тем самым	3	2
74	и даже	4	2
75	не так	2	2
76	к нему	3	2
77	так же	4	2
78	в глазах	2	2
79	в таком	2	2
80	как будто	3	2
81	с ним	3	2
82	но в	6	2
