N	2gram	Medvedev_F_1	Tvorches
1	и в	24	21
2	как бы	6	17
3	в то	9	15
4	в его	23	13
5	то же	10	13
6	что в	4	12
7	как и	11	12
8	же время	8	12
9	с его	4	11
10	все это	9	10
11	как в	8	8
12	он не	3	8
13	то что	8	8
14	в свою	8	7
15	в том	6	7
16	тем самым	3	7
17	при этом	5	7
18	не только	7	7
19	и не	20	7
20	в году	2	7
21	и на	8	7
22	но в	5	7
23	что он	3	6
24	жизни в	2	6
25	и все	6	6
26	не менее	11	6
27	для него	3	6
28	а в	6	6
29	и его	10	6
30	в этом	15	6
31	отнюдь не	6	5
32	вовсе не	10	5
33	а не	10	5
34	но это	3	5
35	может быть	14	5
36	в этой	6	5
37	все же	3	5
38	таким образом	13	5
39	хотя бы	5	5
40	в своих	2	5
41	только в	2	5
42	в своем	11	4
43	прежде всего	22	4
44	в мире	4	4
45	и как	3	4
46	в целом	6	4
47	одной из	2	4
48	один из	3	4
49	в своей	11	4
50	не может	16	4
51	это не	2	4
52	и от	7	4
53	в основном	3	4
54	место в	7	3
55	никогда не	4	3
56	с другой	5	3
57	в каждом	3	3
58	с ним	2	3
59	среды и	3	3
60	с ее	7	3
61	это и	3	3
62	но не	3	3
63	со всеми	3	3
64	на его	2	3
65	в самом	5	3
66	в нем	14	3
67	и т	12	3
68	жизни и	7	3
69	время в	3	3
70	не по	3	3
71	но и	7	3
72	в их	11	3
73	уже не	2	3
74	и других	3	3
75	на самом	7	3
76	того что	5	3
77	и даже	3	3
78	не так	2	3
79	так же	4	3
80	в которой	4	3
81	и с	8	3
82	в россии	3	3
83	подхода к	2	3
84	ни на	3	3
85	в основе	3	2
86	а как	2	2
87	все более	2	2
88	в частности	4	2
89	отчасти и	4	2
90	в лице	2	2
91	в жизни	3	2
92	в литературе	5	2
93	в современном	2	2
94	что и	2	2
95	влияние на	3	2
96	его как	3	2
97	не в	8	2
98	одна из	2	2
99	до конца	7	2
100	действительности и	3	2
101	действительности в	2	2
102	к тому	3	2
103	только на	5	2
104	в ней	10	2
105	к ней	2	2
106	в него	2	2
107	еще в	2	2
108	когда он	3	2
109	вместе с	2	2
110	так и	18	2
111	приводит к	2	2
112	во всей	2	2
113	как к	3	2
114	именно в	8	2
115	социальной действительности	9	2
116	самом деле	6	2
117	и наконец	3	2
118	для этой	2	2
119	в себе	3	2
120	т п	4	2
121	так сказать	3	2
122	настоящее время	10	2
123	мира в	2	2
