N	2gram	Berdyaev_O_1	Myshleni
1	то что	5	26
2	что он	3	25
3	в этом	12	25
4	потому что	9	21
5	в том	5	18
6	не может	4	18
7	того чтобы	4	17
8	что в	4	16
9	и в	19	16
10	того что	3	16
11	так как	2	16
12	не только	11	16
13	том что	2	15
14	для того	3	14
15	сказать что	2	13
16	вопрос о	10	12
17	и не	13	12
18	отношение к	5	11
19	в его	7	11
20	было бы	3	10
21	а не	11	10
22	может быть	11	9
23	должно быть	2	8
24	о том	3	8
25	как и	6	8
26	он не	7	8
27	и есть	3	7
28	в нем	10	7
29	но он	7	7
30	так и	2	7
31	по себе	2	7
32	что все	2	6
33	не в	11	6
34	в этой	5	6
35	но и	13	6
36	и на	2	6
37	но в	2	6
38	у него	22	6
39	в другом	2	6
40	никогда не	9	5
41	в своем	2	5
42	что они	2	5
43	для него	5	5
44	как бы	3	5
45	хотя бы	3	5
46	с ним	3	5
47	мысли и	3	5
48	тем что	2	5
49	в которой	2	5
50	ничего не	2	5
51	не могут	3	4
52	все эти	4	4
53	это не	3	4
54	потребность в	2	4
55	так что	2	4
56	в самом	5	4
57	не имеет	2	4
58	еще не	3	4
59	не есть	2	4
60	и то	2	4
61	могут быть	3	4
62	прежде всего	9	3
63	до конца	7	3
64	вместо того	2	3
65	к нему	3	3
66	а в	5	3
67	и с	2	3
68	в этих	3	3
69	к этой	2	3
70	с тем	2	3
71	к этому	2	3
72	все же	2	3
73	чем в	2	3
74	его мысли	4	3
75	что и	2	3
76	ее в	2	3
77	и его	4	3
78	он в	2	3
79	что у	2	2
80	и от	3	2
81	в своей	2	2
82	все это	6	2
83	что для	2	2
84	в своих	3	2
85	в истории	2	2
86	в этот	2	2
87	в единстве	2	2
88	его в	2	2
89	и к	2	2
90	учение о	2	2
91	все что	3	2
92	и из	2	2
93	когда он	3	2
94	никто не	3	2
95	и потому	2	2
96	ничто не	2	2
