N	2gram	Losev_Dial_2	Poddanst
1	не только	19	17
2	и в	19	14
3	и не	30	12
4	в области	2	11
5	в этом	8	10
6	то же	12	9
7	в том	14	9
8	но в	2	9
9	хотя бы	4	8
10	же время	5	7
11	в то	6	7
12	только в	5	7
13	но и	12	6
14	в ней	2	6
15	в смысле	5	6
16	было бы	3	6
17	с другой	5	5
18	а я	2	5
19	не в	8	5
20	и пр	5	5
21	может быть	20	5
22	же в	2	4
23	то что	14	4
24	что в	7	4
25	в своем	4	4
26	не может	9	4
27	по себе	18	4
28	и к	7	4
29	а в	4	4
30	том что	10	4
31	мы должны	2	4
32	и если	4	4
33	как бы	14	4
34	и потому	5	4
35	сами по	3	3
36	в нем	10	3
37	и т	17	3
38	с тем	2	3
39	она есть	9	3
40	это не	10	3
41	с одной	2	3
42	т е	30	3
43	прежде всего	8	3
44	заключается в	4	3
45	с точки	8	3
46	и как	10	3
47	с ними	2	3
48	между тем	2	3
49	но не	6	3
50	могут быть	4	3
51	точки зрения	12	3
52	в себе	15	3
53	что мы	2	3
54	потому что	14	3
55	я и	2	3
56	в сфере	2	2
57	не менее	3	2
58	в мире	2	2
59	именно в	2	2
60	и есть	4	2
61	во всех	2	2
62	в частности	2	2
63	отнюдь не	6	2
64	но о	2	2
65	есть нечто	8	2
66	все это	4	2
67	как раз	5	2
68	с этим	3	2
69	может и	2	2
70	в жизни	2	2
71	и вот	4	2
72	а не	16	2
73	бы ни	2	2
74	того что	6	2
75	должно быть	7	2
76	в ее	4	2
77	говорить о	5	2
78	если в	2	2
79	есть не	7	2
80	есть в	2	2
81	в силу	5	2
82	в виде	2	2
83	не было	3	2
84	из них	3	2
85	в общем	2	2
86	и мы	3	2
87	например в	2	2
88	и это	5	2
89	да и	6	2
90	взгляда на	2	2
91	и с	5	2
