N	2gram	Vinokur_Vv_1	Myshleni
1	точки зрения	7	26
2	таким образом	19	26
3	в том	31	24
4	и в	27	23
5	том что	26	21
6	в целом	5	20
7	с точки	2	18
8	того чтобы	21	17
9	то что	17	17
10	в этом	34	17
11	так же	3	16
12	не только	21	16
13	того что	12	15
14	говорит он	2	15
15	для того	21	15
16	что в	11	14
17	может быть	24	14
18	но и	5	14
19	как и	5	14
20	в его	10	14
21	не может	13	12
22	об отношении	2	12
23	как бы	5	11
24	сказать что	5	11
25	представляет собой	12	11
26	с другой	8	10
27	прежде всего	8	10
28	в отношении	2	10
29	в качестве	7	9
30	одной стороны	4	9
31	другой стороны	5	9
32	и не	13	9
33	между тем	8	9
34	и с	2	9
35	вместе с	6	9
36	с одной	4	8
37	заключается в	4	8
38	и на	3	8
39	то же	8	8
40	вопрос о	8	7
41	как уже	2	7
42	в этой	3	7
43	в самом	12	7
44	по отношению	4	7
45	в то	5	7
46	так как	13	7
47	с тем	6	7
48	что он	4	7
49	отношению к	4	7
50	мы не	2	7
51	и ее	4	7
52	в другом	3	7
53	независимо от	3	6
54	с этой	4	6
55	же как	3	6
56	и тем	5	6
57	от того	3	6
58	все это	6	6
59	именно в	8	6
60	потому что	14	6
61	с этим	2	6
62	в силу	3	6
63	о том	15	6
64	в сущности	3	6
65	по сравнению	3	6
66	мысли и	2	6
67	связь между	4	6
68	и его	5	6
69	другом месте	2	6
70	исследования и	2	6
71	мы можем	2	6
72	тем что	6	6
73	в себе	4	6
74	только в	13	6
75	тому что	2	5
76	в какой	4	5
77	в собственном	2	5
78	из того	2	5
79	можно сказать	3	5
80	и как	9	5
81	по себе	9	5
82	для этого	3	5
83	в своих	2	5
84	что мы	2	5
85	если бы	2	5
86	но в	10	5
87	что может	3	5
88	сравнению с	3	5
89	представить себе	5	5
90	и что	4	5
91	собственном смысле	2	5
92	на основании	5	5
93	как мы	9	5
94	тем более	2	5
95	и т.д	4	5
96	к действительности	2	5
97	но не	7	4
98	со всей	3	4
99	только что	4	4
100	не в	8	4
101	при этом	3	4
102	что она	3	4
103	но вместе	2	4
104	в котором	4	4
105	по мере	4	4
106	отношений между	3	4
107	о природе	7	4
108	все эти	3	4
109	выводу что	5	4
110	не столько	2	4
111	этом отношении	3	4
112	в результате	3	4
113	проблемы и	2	4
114	в одном	4	4
115	к этому	3	4
116	по существу	2	4
117	в чем	4	4
118	было бы	5	4
119	к тому	4	4
120	должен быть	4	4
121	в своей	4	4
122	сих пор	5	4
123	к выводу	6	4
124	как раз	4	4
125	хотя бы	5	4
126	как на	11	4
127	этого слова	2	4
128	до сих	5	4
129	уже в	5	3
130	что это	3	3
131	все более	3	3
132	связи между	4	3
133	в своем	3	3
134	из этих	5	3
135	мы называем	2	3
136	что именно	2	3
137	смысле слова	7	3
138	обе эти	2	3
139	в общем	12	3
140	том чтобы	6	3
141	значение в	2	3
142	в их	11	3
143	и других	3	3
144	в которых	6	3
145	вовсе не	6	3
146	этот вопрос	4	3
147	во всем	2	3
148	же самое	2	3
149	как он	6	3
150	тогда когда	3	3
151	всяком случае	3	3
152	смысле этого	8	3
153	что оно	2	3
154	об этом	5	3
155	учение о	2	3
156	во всех	2	3
157	все же	8	3
158	самом деле	6	3
159	а не	3	3
160	из которых	2	3
161	на этот	4	3
162	можно было	7	3
163	и то	5	3
164	во всяком	3	3
165	могут быть	4	3
166	связи с	3	3
167	и это	6	3
168	ответ на	3	3
169	в области	4	3
170	ничего не	2	3
171	за собой	3	2
172	связана с	4	2
173	на вопрос	6	2
174	в основу	2	2
175	в изучении	2	2
176	в частности	3	2
177	известном смысле	3	2
178	никогда не	3	2
179	целом ряде	2	2
180	в конце	3	2
181	ответа на	2	2
182	по самой	2	2
183	но все	3	2
184	на этом	3	2
185	же время	5	2
186	что с	3	2
187	о чем	4	2
188	несмотря на	2	2
189	хотя и	3	2
190	действительность в	3	2
191	не имеет	4	2
192	один из	6	2
193	не с	2	2
194	мы видели	2	2
195	не к	2	2
196	жизни и	2	2
197	и до	2	2
198	данном случае	5	2
199	той же	4	2
200	и вот	3	2
201	и той	2	2
202	и даже	5	2
203	как такового	2	2
204	должно быть	2	2
205	бы и	2	2
206	а в	5	2
207	и те	2	2
208	это понятие	2	2
209	виде в	2	2
210	одно из	5	2
211	нуждается в	2	2
212	говорить о	3	2
213	о котором	8	2
214	те кто	2	2
215	в первом	5	2
216	в этих	3	2
217	на нее	2	2
218	как это	5	2
219	от этого	5	2
220	в известном	3	2
221	речь идет	2	2
222	в них	4	2
223	влечет за	2	2
224	лежит в	2	2
225	и представить	2	2
226	относящихся к	4	2
227	ясно что	9	2
228	есть не	3	2
229	природе и	2	2
230	в ее	11	2
231	в значительной	2	2
232	две части	2	2
233	ближе к	2	2
234	себе и	2	2
235	своей природе	3	2
236	том же	2	2
237	с ней	2	2
238	слова как	2	2
239	в известной	3	2
240	того как	3	2
241	в течение	5	2
242	одной и	2	2
243	уже не	5	2
244	движение от	2	2
245	между ними	2	2
246	целое и	2	2
247	речь в	4	2
248	вот почему	3	2
249	в данном	11	2
250	и при	2	2
251	в виде	4	2
252	этого рода	8	2
253	что если	2	2
254	представляют собой	6	2
255	дело в	3	2
256	который по	2	2
257	не могли	2	2
258	если это	2	2
