N	2gram	Berdyaev_M_1	FransuaR
1	и в	28	29
2	то есть	3	21
3	и не	11	16
4	и все	10	13
5	в этой	6	13
6	как и	5	12
7	но в	7	12
8	и на	6	11
9	в этом	20	11
10	в то	2	10
11	не только	29	10
12	в конце	7	9
13	но и	25	9
14	все эти	2	9
15	и с	3	9
16	его в	3	9
17	прежде всего	10	8
18	в его	9	8
19	и его	9	8
20	как бы	2	8
21	в них	4	7
22	в том	6	7
23	так как	3	7
24	этот процесс	3	6
25	но он	9	6
26	у него	17	5
27	это не	5	5
28	это и	4	5
29	до конца	14	5
30	в нем	13	5
31	в своей	15	5
32	и по	4	5
33	сказать что	2	5
34	он и	2	5
35	с его	3	4
36	что он	10	4
37	по своему	2	4
38	есть и	3	4
39	и есть	14	4
40	которую он	2	4
41	конце концов	2	4
42	один из	4	4
43	то что	5	4
44	жизни и	2	4
45	конечно не	3	4
46	все это	6	4
47	связана с	2	4
48	также и	2	4
49	тем что	4	4
50	точки зрения	4	4
51	мира и	5	4
52	в которой	6	4
53	в своем	10	3
54	в ее	3	3
55	все же	2	3
56	том что	3	3
57	и как	2	3
58	мы видим	2	3
59	ведь это	2	3
60	того что	7	3
61	и их	3	3
62	он не	24	3
63	к нему	7	3
64	и вот	3	3
65	того чтобы	2	3
66	для того	2	3
67	особенно в	3	3
68	в ней	15	3
69	в себе	7	3
70	по своей	2	3
71	место в	2	2
72	уже в	4	2
73	бы не	2	2
74	к этому	2	2
75	в этих	4	2
76	жизни в	2	2
77	быть может	7	2
78	он знал	4	2
79	в жизни	3	2
80	а как	2	2
81	о мире	2	2
82	к тому	3	2
83	и к	2	2
84	все в	6	2
85	он был	14	2
86	через все	2	2
87	мы увидим	3	2
88	на этом	3	2
89	но не	8	2
90	о своей	2	2
91	то время	2	2
92	не может	28	2
93	о чем	2	2
94	и мы	2	2
95	может быть	30	2
96	никогда не	14	2
97	этом он	2	2
98	уже не	4	2
99	в виду	2	2
100	в котором	8	2
101	и для	2	2
102	себя в	3	2
103	ни с	4	2
104	как в	2	2
105	в их	4	2
106	которых он	4	2
107	мир в	3	2
108	ни того	2	2
109	в той	2	2
110	был еще	4	2
111	и у	2	2
112	не мог	3	2
113	в основе	2	2
114	даже и	2	2
115	как будто	2	2
116	только в	6	2
117	о том	2	2
118	как он	2	2
119	и это	12	2
120	нет ничего	7	2
121	с ним	2	2
