N	2gram	Bakhtin_sl_2	EvropaiC
1	таким образом	8	32
2	в том	5	31
3	и в	39	24
4	том что	5	20
5	все эти	6	19
6	не может	20	18
7	то что	2	17
8	может быть	37	15
9	все же	6	15
10	точки зрения	8	13
11	в своем	6	12
12	до сих	2	12
13	сих пор	2	12
14	в этом	16	12
15	все это	16	11
16	между тем	3	11
17	с этим	2	11
18	отношению к	4	10
19	как бы	7	10
20	из себя	3	10
21	по отношению	4	10
22	все что	2	10
23	во всех	12	10
24	так и	15	10
25	при этом	7	9
26	в результате	2	9
27	как и	6	9
28	что в	3	9
29	не в	9	8
30	и все	5	8
31	с точки	3	8
32	не менее	4	7
33	для этого	4	7
34	но и	21	7
35	и не	22	7
36	о том	2	7
37	что он	2	7
38	или менее	2	7
39	того чтобы	2	7
40	для того	2	7
41	более или	2	7
42	должна быть	3	6
43	все они	2	6
44	с другой	5	6
45	отличается от	2	6
46	и на	4	6
47	так как	4	6
48	с ним	7	6
49	и при	2	6
50	еще не	7	6
51	что и	3	6
52	только в	5	6
53	вместе с	2	6
54	именно в	2	5
55	и от	3	5
56	у него	3	5
57	и их	5	5
58	как к	3	5
59	и с	9	5
60	его в	4	5
61	но в	6	5
62	и к	6	5
63	в то	4	5
64	в его	7	5
65	не только	24	5
66	быть и	3	5
67	и для	5	5
68	но все	5	5
69	лишь в	3	5
70	в себе	2	5
71	далеко не	2	5
72	не могут	5	4
73	никогда не	7	4
74	пор не	2	4
75	этом случае	6	4
76	и проч	2	4
77	в дальнейшем	2	4
78	лишь при	2	4
79	одним из	2	4
80	хотя и	2	4
81	отношение к	4	4
82	в их	2	4
83	которых мы	2	4
84	факт что	2	4
85	всех этих	4	4
86	тот факт	2	4
87	связи с	3	4
88	мы уже	2	4
89	он не	2	4
90	то же	4	4
91	хотя бы	3	4
92	в таком	4	4
93	в виде	2	4
94	в области	2	4
95	может не	2	3
96	а лишь	2	3
97	с одной	5	3
98	в нашем	2	3
99	в этих	7	3
100	для нас	5	3
101	в нем	19	3
102	что оно	4	3
103	и других	4	3
104	и наконец	5	3
105	а в	4	3
106	это не	5	3
107	в истории	11	3
108	и потому	7	3
109	прежде всего	8	3
110	мы сказали	2	3
111	во всем	4	3
112	от него	5	3
113	чем в	2	3
114	конечно не	5	3
115	как для	3	3
116	на почве	4	3
117	даже в	2	3
118	в данном	2	3
119	в связи	2	3
120	отличие от	13	3
121	свою очередь	2	2
122	независимо от	2	2
123	себя и	4	2
124	точку зрения	3	2
125	как мы	7	2
126	для него	7	2
127	на этом	3	2
128	же время	4	2
129	в свою	3	2
130	одной стороны	5	2
131	к нему	3	2
132	в ней	3	2
133	лишь о	2	2
134	всяком случае	2	2
135	работы и	2	2
136	с ее	2	2
137	мы видели	2	2
138	те же	2	2
139	в одно	2	2
140	они не	2	2
141	с ними	5	2
142	но как	2	2
143	говорить о	3	2
144	не было	2	2
145	также и	2	2
146	во всяком	3	2
147	то есть	26	2
148	в основе	4	2
149	борьбы с	3	2
150	и более	2	2
151	и там	3	2
152	в них	6	2
153	тогда когда	2	2
154	должен быть	2	2
155	вовсе не	10	2
156	конечно в	2	2
157	одна из	4	2
158	но не	6	2
159	она не	6	2
160	жизни и	6	2
161	в сущности	6	2
162	и особенно	2	2
163	на каждом	2	2
164	в процессе	13	2
165	на него	2	2
166	почти все	2	2
167	в себя	2	2
168	меньше чем	2	2
169	и социальной	3	2
170	в другом	2	2
171	ту же	3	2
172	не знает	2	2
173	из него	2	2
