N	2gram	Berdyaev_M_2	Problema
1	в его	5	43
2	и не	18	42
3	и в	46	38
4	не может	15	27
5	может быть	21	26
6	как бы	8	22
7	по отношению	2	21
8	отношению к	2	19
9	и с	3	17
10	и его	5	16
11	в нем	22	15
12	в этом	20	15
13	прежде всего	12	13
14	только в	3	13
15	ни в	3	11
16	во всех	2	11
17	и для	7	11
18	к нему	2	10
19	отношение к	8	10
20	но и	15	9
21	не имеет	4	9
22	его в	3	9
23	не только	18	9
24	место в	2	8
25	в том	3	8
26	точки зрения	2	8
27	то что	5	8
28	что в	4	7
29	не в	9	7
30	в самом	5	7
31	между тем	2	7
32	как и	13	7
33	в своей	5	7
34	не всегда	2	6
35	не к	2	6
36	а в	2	6
37	не есть	13	6
38	и этим	2	6
39	отношения к	2	6
40	ничего не	2	6
41	то же	5	5
42	в своем	8	5
43	это не	5	5
44	высшей степени	3	5
45	никогда не	18	5
46	должно быть	2	5
47	в основе	2	5
48	с ним	3	5
49	в них	3	5
50	в высшей	3	5
51	так и	4	5
52	а не	13	5
53	в нашем	7	4
54	лишь как	3	4
55	должны быть	4	4
56	в ней	11	4
57	сказать что	3	4
58	в более	2	4
59	о том	3	4
60	и потому	7	4
61	к которому	3	4
62	но в	10	4
63	как в	7	4
64	что не	2	4
65	хотя бы	7	4
66	можно было	2	4
67	в себе	10	4
68	направленной на	2	4
69	себя и	3	3
70	и от	3	3
71	да и	2	3
72	но это	8	3
73	лишь момент	2	3
74	хотя и	2	3
75	они не	4	3
76	есть лишь	17	3
77	и на	3	3
78	также и	4	3
79	и должно	3	3
80	если бы	3	3
81	и все	5	3
82	и к	7	3
83	том что	4	3
84	все что	4	3
85	мы увидим	2	3
86	он не	10	3
87	на почве	3	3
88	оно не	2	3
89	но с	2	3
90	в мире	7	3
91	менее всего	3	3
92	не знает	9	3
93	вопроса о	4	3
94	и это	5	3
95	чем в	2	2
96	на этом	2	2
97	а лишь	2	2
98	я не	5	2
99	человек в	3	2
100	и есть	8	2
101	в этих	2	2
102	и мир	2	2
103	что все	5	2
104	в каждом	3	2
105	или иной	2	2
106	с самим	3	2
107	смысле слова	3	2
108	в свою	4	2
109	ивана карамазова	7	2
110	что это	6	2
111	не имеют	2	2
112	но она	2	2
113	как к	2	2
114	не было	11	2
115	чем не	2	2
116	и других	2	2
117	лишь в	2	2
118	и что	2	2
119	того что	6	2
120	его не	2	2
121	и те	2	2
122	и здесь	6	2
123	в своих	3	2
124	самим собою	2	2
125	к себе	2	2
126	во всем	5	2
127	в россии	3	2
128	с его	4	2
129	и во	3	2
130	есть выражение	2	2
131	есть не	5	2
132	что он	7	2
133	у нас	11	2
134	связи с	2	2
135	она не	8	2
136	должен быть	4	2
137	что и	4	2
138	себя в	4	2
139	момент его	2	2
140	бы не	2	2
141	человека в	14	2
142	к своему	2	2
143	того чтобы	4	2
144	для того	5	2
145	и эта	2	2
146	к чему	4	2
147	и он	11	2
148	тем что	3	2
149	души и	2	2
150	в чем	3	2
