N	2gram	Losev_Vlad_2	SlovoVZh
1	не может	9	16
2	точки зрения	7	14
3	может быть	7	14
4	и его	6	13
5	как бы	5	13
6	таким образом	3	12
7	и в	30	12
8	и не	18	10
9	так как	5	9
10	прежде всего	6	8
11	для нас	7	7
12	сказать что	11	7
13	в нем	4	6
14	при этом	5	6
15	в том	18	6
16	только в	6	6
17	в ней	4	6
18	то что	20	5
19	никогда не	7	5
20	а не	7	5
21	можно сказать	4	5
22	то же	4	5
23	хотя бы	3	5
24	как и	5	5
25	том что	12	5
26	как в	3	5
27	но в	8	5
28	в виду	2	5
29	и к	6	4
30	все же	9	4
31	отношение к	4	4
32	жизни и	6	4
33	так и	5	4
34	уже не	3	4
35	что не	2	4
36	не в	9	4
37	в этом	20	4
38	и на	4	4
39	его в	4	4
40	дело в	3	4
41	в самом	2	4
42	к нему	2	4
43	не только	12	4
44	в котором	5	3
45	в них	3	3
46	не менее	7	3
47	в своей	5	3
48	все это	5	3
49	как к	2	3
50	и по	2	3
51	и вообще	10	3
52	все эти	5	3
53	по себе	5	3
54	но и	8	3
55	того что	5	3
56	и наконец	4	3
57	тем не	6	3
58	ни в	7	3
59	да и	3	3
60	так же	4	3
61	мы не	2	3
62	и с	14	3
63	о том	4	3
64	в себе	6	3
65	для него	9	3
66	и для	3	3
67	конечно не	4	3
68	из этого	5	3
69	здесь не	4	3
70	с ним	5	3
71	уже в	3	2
72	с этой	4	2
73	с его	4	2
74	что и	3	2
75	в настоящее	2	2
76	но все	2	2
77	что в	12	2
78	на все	2	2
79	данном случае	2	2
80	вместе с	8	2
81	а к	2	2
82	в этих	4	2
83	в своем	8	2
84	в отношении	3	2
85	нет ничего	3	2
86	это не	2	2
87	и все	7	2
88	тогда когда	2	2
89	к этому	6	2
90	те же	3	2
91	и что	5	2
92	едва ли	3	2
93	не есть	4	2
94	и вполне	3	2
95	с точки	3	2
96	и притом	2	2
97	но это	4	2
98	в данном	3	2
99	и то	5	2
100	но не	3	2
101	но тем	2	2
102	но что	5	2
103	кроме того	9	2
104	до конца	7	2
105	она не	2	2
106	в то	9	2
107	настоящее время	2	2
108	в чем	2	2
109	как это	7	2
110	ничего не	2	2
111	к его	2	2
112	он не	4	2
113	в основном	5	2
114	в его	11	2
115	и потому	2	2
