N	2gram	Vygotskiy__1	Psycholo
1	то что	17	37
2	и в	23	30
3	в том	24	27
4	что в	14	24
5	и что	5	23
6	потому что	6	23
7	том что	21	21
8	все время	6	20
9	для того	15	20
10	таким образом	26	20
11	того чтобы	17	20
12	как бы	11	19
13	что он	7	17
14	на то	5	17
15	если мы	2	16
16	и мы	3	16
17	не только	16	16
18	в самом	7	14
19	в этом	17	14
20	так же	16	13
21	как раз	4	13
22	одной стороны	9	12
23	в сущности	6	12
24	вместе с	9	12
25	показать что	2	12
26	с одной	8	12
27	если бы	5	11
28	может быть	14	11
29	как на	4	11
30	что мы	5	11
31	о том	6	10
32	никогда не	2	9
33	с другой	10	9
34	для этого	5	9
35	не может	12	9
36	и то	3	9
37	сказать что	11	9
38	так как	7	9
39	с тем	7	8
40	что это	3	8
41	тому что	5	8
42	он должен	2	8
43	к тому	4	8
44	не в	4	8
45	а не	3	8
46	при этом	4	8
47	того что	15	8
48	сущности говоря	2	8
49	заключается в	8	8
50	самом деле	3	8
51	мы видим	4	8
52	могут быть	3	8
53	и это	3	8
54	этих двух	3	7
55	по себе	5	7
56	и как	5	7
57	зависимости от	2	7
58	но не	4	7
59	мы можем	6	7
60	все же	3	7
61	то же	8	7
62	точки зрения	26	7
63	как это	2	7
64	в основе	8	7
65	уже в	3	6
66	ясно что	2	6
67	в зависимости	2	6
68	в своем	3	6
69	что она	4	6
70	именно в	6	6
71	как и	14	6
72	что если	2	6
73	что с	2	6
74	же точно	9	6
75	и если	3	6
76	и тем	6	6
77	но и	14	6
78	что все	4	6
79	что оно	3	6
80	и не	9	6
81	жизни и	2	6
82	факт что	3	6
83	говорит что	4	6
84	и его	6	6
85	тем что	6	6
86	о котором	2	6
87	на этом	2	6
88	в целом	20	5
89	что именно	3	5
90	обратиться к	3	5
91	несмотря на	2	5
92	как мы	5	5
93	и потому	2	5
94	в этой	7	5
95	что они	3	5
96	до сих	4	5
97	было бы	4	5
98	стоит только	4	5
99	был бы	2	5
100	когда он	2	5
101	один из	2	5
102	сих пор	4	5
103	другой стороны	9	5
104	а с	4	5
105	в двух	2	5
106	в своих	5	5
107	в себе	6	5
108	но в	5	5
109	только в	6	5
110	же самое	3	5
111	ответ на	3	5
112	бы в	5	5
113	в основу	2	4
114	в результате	4	4
115	в частности	2	4
116	сравнению с	5	4
117	и все	5	4
118	этот вопрос	3	4
119	прежде всего	10	4
120	мы могли	7	4
121	есть не	2	4
122	указывает на	2	4
123	с такой	2	4
124	и к	4	4
125	в своей	4	4
126	от того	6	4
127	в его	14	4
128	в них	2	4
129	на примере	2	4
130	как говорит	2	4
131	по сравнению	6	4
132	к другу	2	4
133	только что	4	4
134	а в	2	4
135	которых мы	2	4
136	там где	2	4
137	из которых	3	4
138	действия и	2	4
139	мы говорили	3	4
140	могли бы	6	4
141	в конце	2	4
142	что эта	2	4
143	не могли	2	4
144	о чем	2	4
145	под влиянием	2	3
146	первый план	2	3
147	думается что	5	3
148	что у	2	3
149	в состоянии	2	3
150	хотя бы	4	3
151	из этих	3	3
152	повод для	2	3
153	к этому	4	3
154	вовсе не	3	3
155	вопрос о	7	3
156	показывает что	3	3
157	самого начала	8	3
158	одно и	2	3
159	об этом	3	3
160	с самого	8	3
161	в свою	4	3
162	для него	2	3
163	друг с	4	3
164	образом что	3	3
165	он не	5	3
166	в ее	2	3
167	ни в	4	3
168	данном случае	2	3
169	так и	5	3
170	как в	4	3
171	в их	3	3
172	которое мы	3	3
173	этом отношении	4	3
174	из того	5	3
175	с другом	4	3
176	и наконец	2	3
177	на этот	3	3
178	целый ряд	4	3
179	той же	2	3
180	мы не	7	3
181	можно было	3	3
182	в силу	6	3
183	сам по	3	3
184	в психологии	10	3
185	с двумя	2	3
186	и на	8	3
187	в каком	3	3
188	в данном	2	3
189	в другом	7	3
190	мы должны	5	3
191	в этих	2	3
192	полагает что	3	3
193	в которой	3	3
194	учения о	6	3
195	и поэтому	2	3
196	с этой	6	2
197	перед нами	5	2
198	в отношении	10	2
199	говорили выше	2	2
200	с его	4	2
201	показали что	4	2
202	же как	6	2
203	связи с	3	2
204	он в	3	2
205	что между	2	2
206	представить себе	5	2
207	между собой	5	2
208	не является	9	2
209	в противоположность	2	2
210	влечет за	2	2
211	в одной	3	2
212	с этим	6	2
213	мы называем	3	2
214	в одном	4	2
215	что эти	2	2
216	с помощью	13	2
217	можно сказать	5	2
218	на первый	2	2
219	а затем	5	2
220	по существу	4	2
221	но все	2	2
222	и при	2	2
223	чтобы показать	2	2
224	психологической теории	2	2
225	бы сказать	2	2
226	обе эти	3	2
227	от друга	3	2
228	том чтобы	3	2
229	и следовательно	3	2
230	в качестве	9	2
231	эти три	2	2
232	в котором	4	2
233	нам думается	6	2
234	должен быть	4	2
235	себе и	2	2
236	с таким	3	2
237	не с	2	2
238	почти на	2	2
239	с той	2	2
240	строго говоря	2	2
241	речь в	2	2
242	друг от	3	2
243	образом и	3	2
244	представляют собой	2	2
245	во всех	3	2
246	и той	2	2
247	и до	2	2
248	отношения к	3	2
249	в словах	2	2
250	мы только	2	2
251	мы хотим	2	2
252	все это	6	2
253	является то	2	2
254	по отношению	7	2
255	и таким	2	2
256	того как	2	2
257	в течение	2	2
258	оба эти	3	2
259	которую мы	4	2
260	одной и	2	2
261	и нам	2	2
262	мы находим	3	2
263	и вот	2	2
264	приводит к	4	2
265	с точки	18	2
266	и даже	2	2
267	между ними	2	2
268	должно быть	2	2
269	к этим	2	2
270	с это	2	2
271	время как	4	2
272	ничего не	3	2
273	в которых	3	2
274	с но	3	2
275	и с	9	2
276	говорит он	15	2
277	в нашем	2	2
278	на которых	2	2
279	с мы	3	2
280	остается еще	2	2
281	во всем	3	2
282	в то	7	2
283	что самое	2	2
284	вопроса о	2	2
285	его на	2	2
286	как он	3	2
287	все эти	4	2
288	дело в	2	2
289	из этого	5	2
290	он как	2	2
291	едва ли	2	2
292	связь между	6	2
