N	2gram	Propp_Isto_1	Myshleni
1	то что	9	26
2	что он	10	25
3	в этом	8	25
4	потому что	4	21
5	таким образом	8	19
6	в том	9	18
7	не может	15	18
8	что в	12	16
9	и в	28	16
10	того что	4	16
11	так как	6	16
12	не только	12	16
13	так же	7	15
14	том что	7	15
15	сказать что	5	13
16	между собой	4	13
17	отношению к	3	12
18	вопрос о	5	12
19	по отношению	3	12
20	и не	9	12
21	и что	10	12
22	в области	2	12
23	в его	5	11
24	но не	5	10
25	было бы	7	10
26	как мы	3	10
27	а не	15	10
28	в силу	5	10
29	только в	11	10
30	может быть	25	9
31	точка зрения	2	8
32	должно быть	2	8
33	о том	9	8
34	как это	3	8
35	в основе	4	8
36	если бы	8	8
37	как и	4	8
38	мы должны	13	8
39	он не	2	8
40	то же	12	8
41	же как	2	7
42	друг с	4	7
43	в нем	2	7
44	так и	9	7
45	по себе	3	7
46	представляет собой	4	7
47	приводит к	2	7
48	если мы	3	7
49	с другом	3	7
50	в какой	3	6
51	не в	9	6
52	в этой	6	6
53	но если	2	6
54	но и	10	6
55	и на	4	6
56	как он	2	6
57	могли бы	3	6
58	но в	8	6
59	связанные с	2	6
60	к тому	6	6
61	этот вопрос	7	6
62	в другом	3	6
63	на вопрос	2	5
64	самого начала	2	5
65	должна быть	5	5
66	никогда не	14	5
67	в своем	5	5
68	в такой	2	5
69	показывает что	3	5
70	что они	5	5
71	для него	2	5
72	как бы	2	5
73	но мы	2	5
74	хотя бы	4	5
75	не знает	5	5
76	в то	3	5
77	с ним	2	5
78	тогда когда	2	5
79	он должен	2	5
80	тот же	2	5
81	как в	2	5
82	того как	3	5
83	с самого	2	5
84	можно было	5	5
85	тем что	3	5
86	ничего не	2	5
87	не могут	2	4
88	зависит от	2	4
89	что если	2	4
90	все эти	4	4
91	с другой	6	4
92	это не	7	4
93	то время	3	4
94	а только	2	4
95	так что	4	4
96	в пределах	4	4
97	при этом	3	4
98	на этот	2	4
99	в целом	2	4
100	и их	3	4
101	в свете	2	4
102	именно в	3	4
103	и другое	2	4
104	и по	3	4
105	время как	3	4
106	что мы	7	4
107	же самое	3	4
108	к которому	5	4
109	бы в	2	4
110	не означает	2	4
111	мы видим	11	4
112	в качестве	5	4
113	еще не	7	4
114	для объяснения	2	4
115	не есть	2	4
116	вместе с	6	4
117	могут быть	4	4
118	не то	4	4
119	не менее	6	3
120	в частности	2	3
121	раньше чем	4	3
122	прежде всего	10	3
123	как уже	2	3
124	как процесс	2	3
125	мы знаем	4	3
126	и как	2	3
127	но это	4	3
128	одной стороны	4	3
129	и тот	2	3
130	в действительности	2	3
131	этого вопроса	3	3
132	и тем	2	3
133	мы видели	2	3
134	его и	2	3
135	в их	3	3
136	еще и	2	3
137	с одной	4	3
138	они не	4	3
139	а в	7	3
140	и с	4	3
141	по своей	2	3
142	в этих	7	3
143	между тем	2	3
144	мы не	10	3
145	с тем	4	3
146	с этим	4	3
147	в одном	5	3
148	к этому	2	3
149	все же	10	3
150	по существу	5	3
151	одной из	2	3
152	еще в	2	3
153	что и	6	3
154	говорит о	2	3
155	сих пор	5	3
156	ее в	5	3
157	не на	2	3
158	на этом	3	3
159	из которых	3	3
160	и его	3	3
161	он в	2	3
162	связи с	4	3
163	один и	2	3
164	ответ на	2	3
165	связаны между	2	3
166	до сих	5	3
167	только для	2	2
168	я не	3	2
169	мы будем	5	2
170	и другие	4	2
171	столь же	2	2
172	и от	2	2
173	но все	4	2
174	это происходит	2	2
175	не дает	2	2
176	вслед за	6	2
177	одним из	2	2
178	в ней	7	2
179	в котором	3	2
180	связи и	2	2
181	по мере	2	2
182	исходит из	3	2
183	из них	3	2
184	в отличие	2	2
185	представляют собой	6	2
186	что она	5	2
187	все это	4	2
188	другой стороны	5	2
189	то и	2	2
190	отношения к	2	2
191	нашли что	2	2
192	и даже	4	2
193	самое что	2	2
194	на основе	5	2
195	к ним	4	2
196	мы постараемся	2	2
197	и здесь	7	2
198	и между	2	2
199	на нее	2	2
200	их в	5	2
201	том как	2	2
202	но они	2	2
203	поэтому он	2	2
204	в зависимости	2	2
205	представления о	3	2
206	мы нашли	2	2
207	вовсе не	2	2
208	его в	6	2
209	не с	3	2
210	то это	3	2
211	видим что	9	2
212	и эти	3	2
213	отличие от	2	2
214	зависимости от	2	2
215	во всем	3	2
216	указывает на	2	2
217	когда он	6	2
218	никто не	2	2
219	и потому	2	2
220	момент когда	2	2
221	именно это	2	2
222	во всех	2	2
223	установить что	4	2
224	сделать это	2	2
225	находится в	4	2
226	а с	2	2
227	должны были	2	2
228	с несомненностью	2	2
229	должны быть	4	2
230	само по	2	2
231	вывод что	2	2
232	как будто	4	2
233	из этого	2	2
