N	3gram	Vygotskiy__5	EvropaiC
1	в том что	14	16
2	до сих пор	5	12
3	друг с другом	3	9
4	с точки зрения	2	8
5	мы знаем что	2	7
6	на то что	16	7
7	на самом деле	2	7
8	мы говорили выше	2	6
9	друг от друга	2	6
10	для того чтобы	19	6
11	по сравнению с	4	5
12	в самом деле	5	5
13	не может быть	2	4
14	о том что	6	4
15	о которых мы	2	4
16	может быть и	2	4
17	тот факт что	4	4
18	в конце концов	2	4
19	с другой стороны	5	4
20	в этом случае	2	4
21	и того же	2	3
22	в данном случае	2	3
23	так же как	2	3
24	одного и того	2	3
25	и то что	3	3
26	заключается в том	6	3
27	не в состоянии	3	2
28	друг к другу	4	2
29	с одной стороны	12	2
30	а с другой	4	2
31	в том и	2	2
32	заключает в себе	4	2
33	именно потому что	2	2
34	вместе с тем	3	2
35	мы все же	3	2
36	принять во внимание	2	2
