N	2gram	Bakhtin_Fr_1	Vladivir
1	и в	65	40
2	то что	3	28
3	и не	22	25
4	не только	10	25
5	то есть	45	24
6	но и	10	18
7	в том	16	18
8	том что	6	18
9	еще и	5	18
10	что в	3	17
11	в этом	15	16
12	в его	9	14
13	не может	3	14
14	точки зрения	7	13
15	вовсе не	18	13
16	только в	7	13
17	сказать что	6	12
18	даже и	3	12
19	никогда не	6	11
20	потому что	5	11
21	о том	2	11
22	прежде всего	11	10
23	не просто	3	10
24	и потому	10	10
25	как раз	3	10
26	в году	6	10
27	и его	10	10
28	уже не	3	9
29	есть только	2	9
30	и с	3	9
31	в своей	5	9
32	в себе	3	9
33	в своем	8	8
34	в этой	4	8
35	для него	5	8
36	может быть	6	8
37	раз и	2	8
38	он не	2	8
39	как мы	6	8
40	к тому	2	7
41	несмотря на	2	7
42	хотя и	2	7
43	в своих	5	7
44	так как	6	7
45	того что	2	7
46	как и	5	7
47	и здесь	3	6
48	да и	2	6
49	кроме того	2	6
50	и даже	8	6
51	и на	11	6
52	и от	2	6
53	xix века	5	6
54	во всем	2	6
55	так и	10	6
56	с точки	3	6
57	но это	3	6
58	и это	2	6
59	с другой	3	5
60	для нас	4	5
61	отношения к	2	5
62	в отношении	6	5
63	все эти	10	5
64	в ней	6	5
65	в одном	5	5
66	что он	3	5
67	мы уже	12	5
68	между прочим	2	5
69	только на	2	5
70	дело в	2	5
71	ничего не	3	5
72	в дальнейшем	8	4
73	до конца	2	4
74	в самом	4	4
75	от того	2	4
76	она была	3	4
77	и все	5	4
78	но не	2	4
79	здесь в	8	4
80	еще не	6	4
81	в основном	2	4
82	даже в	3	4
83	все же	6	4
84	но в	14	4
85	это не	3	3
86	из этих	2	3
87	о необходимости	2	3
88	всего существующего	3	3
89	но все	3	3
90	одной стороны	2	3
91	при этом	6	3
92	смысле но	2	3
93	но для	3	3
94	как бы	22	3
95	в виду	3	3
96	в нем	13	3
97	к нему	3	3
98	ни с	2	3
99	с одной	2	3
100	в духе	8	3
101	же в	2	3
102	и чисто	2	3
103	с их	5	3
104	за пределы	8	3
105	вполне понятно	2	3
106	в отличие	4	3
107	разного рода	3	3
108	на самом	6	3
109	и у	6	3
110	и эта	3	3
111	не в	4	3
112	и для	2	3
113	в таком	2	3
114	которое в	2	3
115	и вообще	3	3
116	и вовсе	3	3
117	далеко не	3	3
118	в чем	2	3
119	отличие от	5	3
120	это было	2	3
121	он понимает	2	2
122	не могут	3	2
123	мы будем	3	2
124	но на	3	2
125	ни к	2	2
126	в этих	2	2
127	были в	2	2
128	он был	2	2
129	мы и	3	2
130	и само	2	2
131	и наконец	2	2
132	той или	5	2
133	не является	3	2
134	в целом	2	2
135	в их	4	2
136	в изображении	2	2
137	можно только	4	2
138	и по	2	2
139	по его	3	2
140	друг друга	3	2
141	же деле	3	2
142	этом отношении	3	2
143	и так	2	2
144	это время	2	2
145	и еще	4	2
146	но как	3	2
147	по своей	3	2
148	что мы	2	2
149	ни на	2	2
150	его в	7	2
151	нет ничего	3	2
152	и ни	3	2
153	не вполне	2	2
154	во многом	2	2
155	в книге	2	2
156	с его	5	2
157	здесь и	4	2
158	в жизни	4	2
159	еще раз	2	2
160	и к	4	2
161	самом же	3	2
162	не к	2	2
163	в это	2	2
164	из них	4	2
165	совершенно не	4	2
166	но у	2	2
167	наряду с	2	2
168	в сущности	16	2
169	не понимает	4	2
170	на него	2	2
171	который был	2	2
172	он называет	2	2
173	на отдельные	2	2
174	но с	2	2
175	роль в	2	2
176	связи с	4	2
