N	2gram	Bakhtin_Pr_1	Psycholo
1	в том	8	37
2	и в	38	32
3	и что	2	22
4	том что	3	21
5	то что	8	21
6	таким образом	10	21
7	в искусстве	12	21
8	то есть	46	21
9	что в	7	20
10	может быть	26	18
11	что и	2	17
12	не может	27	17
13	точки зрения	8	17
14	самом деле	6	16
15	того чтобы	2	14
16	что он	2	13
17	при этом	5	13
18	то же	5	13
19	для того	2	13
20	в этом	15	13
21	художественной формы	9	12
22	в самом	7	12
23	не только	9	12
24	на то	2	11
25	было бы	8	11
26	в основе	5	11
27	как и	7	10
28	и т	14	10
29	но и	9	10
30	и не	42	10
31	с точки	6	10
32	искусства и	3	9
33	никогда не	5	9
34	что все	2	9
35	как в	4	9
36	в своих	2	9
37	тем что	2	9
38	что это	2	8
39	не менее	4	8
40	не в	7	8
41	дело с	6	8
42	т п	13	8
43	того что	2	8
44	ясно что	3	7
45	и как	8	7
46	а не	5	7
47	все эти	5	7
48	можно было	4	7
49	и его	16	7
50	сказать что	4	7
51	только в	13	7
52	он не	3	6
53	как бы	22	6
54	в художественном	20	6
55	художественное произведение	8	6
56	формы и	5	6
57	же самое	2	6
58	о том	4	6
59	если бы	3	6
60	художественного произведения	11	5
61	искусства в	2	5
62	отнюдь не	19	5
63	художественном произведении	5	5
64	искусства но	4	5
65	в ней	4	5
66	далеко не	5	5
67	все это	3	5
68	показать что	2	5
69	этом отношении	2	5
70	на самом	4	5
71	и даже	3	5
72	есть только	2	5
73	и на	3	5
74	в то	4	5
75	и более	2	4
76	столь же	2	4
77	едва ли	3	4
78	есть не	2	4
79	тем не	3	4
80	как это	2	4
81	в чем	2	4
82	иметь дело	2	4
83	несмотря на	3	4
84	совершенно не	7	4
85	и тем	3	4
86	в нем	15	4
87	все же	6	4
88	данном случае	4	4
89	а в	6	4
90	и все	3	4
91	мы имеем	2	4
92	не имеет	9	4
93	и для	11	4
94	и те	2	4
95	приходится иметь	2	4
96	в данном	4	4
97	и с	17	4
98	могут быть	5	4
99	в целом	3	4
100	и это	3	4
101	в произведении	4	4
102	ничего не	6	4
103	между тем	7	4
104	творчества и	5	3
105	не могут	2	3
106	в частности	2	3
107	конечном счете	4	3
108	хотя бы	4	3
109	с другой	7	3
110	теории искусства	2	3
111	и к	3	3
112	а только	2	3
113	поэтического произведения	3	3
114	по существу	2	3
115	но как	2	3
116	в свою	2	3
117	художника и	5	3
118	в нашей	2	3
119	только как	6	3
120	мы в	3	3
121	например в	3	3
122	в своей	7	3
123	формы она	2	3
124	относится к	4	3
125	но совершенно	2	3
126	не могли	2	3
127	так и	5	3
128	не к	6	3
129	во всех	11	3
130	и ее	2	3
131	в их	10	3
132	на этом	2	3
133	имеет дело	9	3
134	которых мы	4	3
135	и других	2	3
136	что не	4	3
137	в конечном	4	3
138	должны быть	4	3
139	и он	2	3
140	как к	2	3
141	во всем	2	3
142	мы должны	2	3
143	в поэзии	9	3
144	того или	2	3
145	но в	4	3
146	в виду	4	3
147	мы можем	6	3
148	как только	3	2
149	слова в	7	2
150	место в	8	2
151	с его	2	2
152	мы будем	3	2
153	к действительности	3	2
154	искусства как	2	2
155	материала и	2	2
156	в них	5	2
157	все что	3	2
158	то ни	3	2
159	в какой	2	2
160	произведение и	3	2
161	это не	5	2
162	и от	3	2
163	точка зрения	3	2
164	с другими	3	2
165	в каждом	2	2
166	была бы	2	2
167	или иного	2	2
168	и здесь	2	2
169	же самом	2	2
170	ни в	11	2
171	в романе	4	2
172	же время	3	2
173	а к	2	2
174	и при	2	2
175	еще не	7	2
176	но не	12	2
177	художественную форму	4	2
178	она не	2	2
179	из которых	2	2
180	вовсе не	2	2
181	не имеют	2	2
182	к нему	10	2
183	том же	2	2
184	в его	43	2
185	не вполне	2	2
186	в него	2	2
187	в ее	4	2
188	для нее	8	2
189	произведение как	4	2
190	оно не	3	2
191	том как	2	2
192	бы то	3	2
193	в этих	2	2
194	отношение к	10	2
195	творчества в	3	2
196	отличается от	2	2
197	на него	3	2
198	не остается	2	2
199	имеют дело	3	2
200	как нечто	3	2
201	не на	5	2
202	бы не	2	2
203	другой стороны	4	2
204	в особенности	2	2
205	не было	2	2
206	содержания и	6	2
207	что оно	2	2
208	форм и	2	2
209	этой области	2	2
210	к своему	2	2
211	в самой	2	2
212	здесь мы	2	2
213	и у	2	2
214	форму и	2	2
215	то или	2	2
216	в других	4	2
217	отличие от	5	2
218	художественного впечатления	2	2
219	в таком	3	2
220	и содержание	3	2
221	но это	3	2
222	также и	3	2
223	материал и	2	2
224	в себе	4	2
225	и вообще	2	2
226	и только	4	2
227	эстетического объекта	37	2
228	там где	6	2
229	к которому	4	2
230	и которые	2	2
231	произведения как	8	2
