N	2gram	Tiupa_Lite_3	Istorich
1	и в	16	26
2	никогда не	4	13
3	потому что	3	13
4	что в	2	12
5	в том	12	12
6	и на	2	12
7	в этом	14	12
8	может быть	12	11
9	с другой	6	10
10	том что	8	10
11	и не	22	10
12	не только	14	10
13	что он	5	9
14	еще не	6	9
15	но и	14	9
16	а именно	5	9
17	в нем	2	8
18	все же	2	8
19	вместе с	5	8
20	другой стороны	2	8
21	уже не	3	7
22	с одной	4	7
23	одной стороны	4	7
24	например в	3	7
25	и его	6	7
26	о том	6	7
27	но в	3	7
28	то что	12	6
29	ее в	2	6
30	как в	5	6
31	не может	8	6
32	и с	2	6
33	у нас	2	5
34	как и	5	5
35	нас к	2	5
36	в его	6	5
37	то это	2	5
38	так и	9	5
39	то же	9	5
40	как это	3	5
41	тем что	2	5
42	в то	9	5
43	только в	7	5
44	его в	2	5
45	там где	3	5
46	это не	5	4
47	прежде всего	3	4
48	не всегда	2	4
49	с его	6	4
50	на его	3	4
51	как бы	8	4
52	и тем	3	4
53	что и	2	4
54	как мы	2	4
55	а также	4	4
56	и ее	2	3
57	если бы	2	3
58	в частности	11	3
59	в одном	4	3
60	к этому	2	3
61	вопрос о	2	3
62	не в	10	3
63	в качестве	5	3
64	еще в	3	3
65	один из	2	3
66	когда он	2	3
67	в своей	7	3
68	данном случае	4	3
69	со стороны	7	3
70	а в	5	3
71	при этом	15	3
72	и вот	2	3
73	и наконец	3	3
74	как на	3	3
75	в своих	2	3
76	в данном	4	3
77	и только	2	3
78	в себе	6	3
79	как будто	4	3
80	далеко не	2	3
81	с этой	2	2
82	все время	3	2
83	о чем	3	2
84	и как	3	2
85	однако в	4	2
86	что у	2	2
87	не означает	2	2
88	того же	2	2
89	стороны и	2	2
90	на то	2	2
91	можно сказать	2	2
92	к тому	6	2
93	по отношению	4	2
94	как у	4	2
95	но не	4	2
96	так же	2	2
97	было бы	2	2
98	и сам	2	2
99	даже в	4	2
100	отношению к	4	2
101	жизни и	3	2
102	своего рода	10	2
103	тогда как	17	2
104	человека в	2	2
105	в лице	2	2
106	тем самым	7	2
107	а не	12	2
108	того что	9	2
109	что не	2	2
110	те кто	3	2
111	с ними	2	2
112	быть только	2	2
113	он и	2	2
114	к себе	8	2
115	представляет собой	2	2
116	в этой	8	2
117	здесь не	2	2
118	мира и	2	2
119	не вполне	2	2
