N	2gram	Voloshinov_1	DiskursI
1	не только	7	28
2	в том	3	23
3	том что	3	19
4	может быть	17	17
5	и в	16	16
6	как и	2	16
7	в этом	9	15
8	еще не	5	14
9	но и	4	14
10	при этом	6	13
11	и т.п	2	12
12	прежде всего	9	11
13	и не	4	11
14	в частности	2	9
15	в нем	4	9
16	не может	8	9
17	отнюдь не	4	8
18	так и	4	8
19	о том	2	8
20	но в	4	8
21	в основе	3	7
22	в его	4	7
23	то же	2	7
24	только в	4	7
25	и как	3	6
26	можно сказать	4	5
27	как бы	5	5
28	в своей	2	5
29	то что	3	5
30	во всех	3	5
31	а в	3	5
32	сводится к	2	5
33	и на	4	5
34	с его	7	4
35	что в	3	4
36	в них	2	4
37	и к	6	4
38	что он	2	4
39	для него	6	4
40	и о	2	4
41	отношение к	5	4
42	что не	2	4
43	могут быть	3	4
44	того же	2	3
45	что и	2	3
46	по своему	2	3
47	с этим	2	3
48	в самом	2	3
49	при всей	2	3
50	к ним	2	3
51	один из	2	3
52	хотя бы	4	3
53	как не	2	3
54	таким образом	9	3
55	и даже	4	3
56	сказать что	7	3
57	точки зрения	8	3
58	и потому	3	3
59	не менее	2	2
60	и есть	3	2
61	никогда не	2	2
62	между собой	2	2
63	к себе	3	2
64	по крайней	3	2
65	и все	4	2
66	в одном	3	2
67	к этому	2	2
68	но зато	2	2
69	крайней мере	3	2
70	но отнюдь	2	2
71	в пределах	2	2
72	есть в	2	2
73	на этом	3	2
74	в начале	2	2
75	к другим	2	2
76	и др	3	2
77	оно не	2	2
78	не есть	2	2
79	с ее	4	2
80	мысли и	4	2
81	за пределы	2	2
82	отношения к	3	2
83	как мы	4	2
84	в науке	2	2
85	и по	2	2
86	и его	8	2
87	на ранних	2	2
88	во всяком	3	2
89	можно определить	2	2
90	и ее	4	2
91	но как	2	2
92	на протяжении	2	2
93	и вообще	2	2
94	в этой	4	2
95	определить как	2	2
96	они не	2	2
97	едва ли	3	2
