N	2gram	Losev_Vlad_1	formyVre
1	и в	31	46
2	в этом	14	22
3	и т	2	14
4	вовсе не	5	13
5	и его	7	12
6	только в	9	11
7	не только	24	11
8	во время	3	10
9	в том	11	10
10	точки зрения	2	10
11	то есть	3	10
12	но в	12	10
13	у него	15	9
14	не в	5	9
15	мы уже	7	9
16	вместе с	3	9
17	но и	19	9
18	и не	17	9
19	и для	2	9
20	в связи	3	8
21	как и	4	8
22	в его	12	8
23	жизни и	5	8
24	то же	6	8
25	того чтобы	2	8
26	для того	2	8
27	потому что	11	8
28	из них	2	8
29	в них	2	7
30	может быть	6	7
31	то что	18	7
32	так и	6	7
33	времени в	2	7
34	и на	3	7
35	никогда не	9	6
36	и все	4	6
37	при этом	2	6
38	как мы	9	6
39	еще не	2	6
40	все же	3	6
41	все это	5	6
42	в особенности	4	6
43	так как	8	6
44	и с	14	6
45	в частности	2	5
46	в своем	4	5
47	по существу	2	5
48	в дальнейшем	8	5
49	в то	8	5
50	но не	3	5
51	он не	10	5
52	в нем	4	5
53	что в	14	5
54	все эти	3	5
55	и у	4	5
56	место в	2	4
57	уже в	7	4
58	отнюдь не	3	4
59	из этих	2	4
60	же время	4	4
61	с ним	5	4
62	том что	14	4
63	так что	10	4
64	что они	3	4
65	в котором	6	4
66	его жизни	6	4
67	конечно не	2	4
68	как в	3	4
69	и он	3	4
70	также и	10	4
71	к себе	2	4
72	в себе	4	4
73	в истории	4	4
74	о том	11	4
75	не было	5	3
76	мы будем	2	3
77	того же	6	3
78	к этому	6	3
79	к тому	3	3
80	на первый	2	3
81	ему в	2	3
82	что он	12	3
83	и как	4	3
84	тем более	2	3
85	в качестве	6	3
86	для него	7	3
87	кроме того	7	3
88	тот же	3	3
89	в это	2	3
90	уже сказали	2	3
91	хотя и	4	3
92	а также	5	3
93	что на	2	3
94	в этот	4	3
95	нет и	2	3
96	что и	5	3
97	отношение к	3	3
98	т д	2	3
99	таким образом	3	3
100	уже не	3	3
101	здесь мы	3	3
102	того что	2	3
103	и даже	15	3
104	и по	8	3
105	а в	9	3
106	жизнь и	3	3
107	тем что	2	3
108	на этом	2	2
109	и затем	2	2
110	не был	5	2
111	и весь	2	2
112	не были	2	2
113	по своему	3	2
114	с другой	3	2
115	и других	2	2
116	и так	3	2
117	что все	2	2
118	первый план	2	2
119	со своими	3	2
120	можно сказать	6	2
121	о его	2	2
122	в отношении	3	2
123	он был	14	2
124	не мог	3	2
125	у нас	6	2
126	своей жизни	2	2
127	бога и	2	2
128	в этой	4	2
129	с тем	2	2
130	совсем не	4	2
131	более что	2	2
132	все что	2	2
133	было бы	2	2
134	и к	6	2
135	и о	2	2
136	и потому	6	2
137	один из	4	2
138	и до	2	2
139	не может	6	2
140	здесь не	3	2
141	если не	3	2
142	чем не	2	2
143	и вот	3	2
144	лишь в	2	2
145	и всегда	3	2
146	как на	2	2
147	значение для	2	2
148	но это	3	2
149	он так	2	2
150	и от	5	2
151	но он	5	2
152	и почти	2	2
153	которой он	5	2
154	в конце	9	2
155	как он	4	2
156	и это	2	2
157	по всем	2	2
158	в париже	2	2
159	как это	7	2
160	во всяком	2	2
