N	2gram	Bakhtin_Fr_6	Problemy
1	и в	41	46
2	то есть	24	40
3	и не	3	27
4	может быть	2	23
5	как бы	7	19
6	не может	4	19
7	в нем	16	17
8	в этом	12	16
9	не только	10	14
10	и т.п	19	14
11	перед нами	3	12
12	но и	13	12
13	как и	7	12
14	как мы	12	12
15	и на	9	11
16	точки зрения	2	11
17	в одном	5	11
18	а не	2	11
19	не в	4	10
20	между ними	3	10
21	прежде всего	10	9
22	в том	2	9
23	в большинстве	4	9
24	в самом	10	9
25	и все	9	9
26	вовсе не	7	9
27	в его	7	9
28	с точки	2	9
29	большинстве случаев	5	8
30	до сих	3	8
31	конечно не	3	8
32	сих пор	3	8
33	или в	6	8
34	и с	16	7
35	в сущности	8	7
36	как раз	2	7
37	в себе	5	7
38	никогда не	8	6
39	но это	3	6
40	есть в	3	6
41	хотя и	2	6
42	в него	3	6
43	к себе	2	6
44	но в	8	6
45	что он	6	6
46	мы увидим	3	6
47	в романе	2	6
48	то же	5	6
49	все это	11	6
50	и он	5	6
51	и его	13	6
52	только в	3	6
53	себе самом	2	5
54	же время	5	5
55	при этом	3	5
56	и сам	3	5
57	в котором	4	5
58	к нему	3	5
59	жизни и	3	5
60	мы находим	2	5
61	рядом с	5	5
62	ведь и	2	5
63	в то	6	5
64	так как	10	5
65	с его	5	5
66	у него	7	5
67	за пределы	2	5
68	о том	9	5
69	во всех	17	5
70	если мы	2	5
71	так сказать	2	5
72	уже в	4	4
73	что в	7	4
74	в этих	2	4
75	до конца	2	4
76	кроме того	9	4
77	например в	6	4
78	таким образом	17	4
79	все эти	11	4
80	и наконец	4	4
81	людей и	3	4
82	потому что	3	4
83	во всем	5	4
84	мы не	2	4
85	превращается в	2	4
86	как в	4	4
87	том что	7	4
88	но не	2	4
89	он не	2	4
90	все же	4	4
91	то что	10	4
92	так и	5	4
93	самом деле	4	4
94	и другие	2	3
95	с другой	4	3
96	из этих	2	3
97	человека и	2	3
98	не могут	2	3
99	в своем	5	3
100	на этом	2	3
101	одним из	4	3
102	но если	2	3
103	и для	3	3
104	и их	3	3
105	и до	7	3
106	другой стороны	2	3
107	так же	5	3
108	с помощью	6	3
109	и даже	4	3
110	конечно и	4	3
111	также и	6	3
112	но он	5	3
113	в конце	2	3
114	как он	2	3
115	их в	2	3
116	бы в	2	3
117	здесь и	8	3
118	и во	2	3
119	но здесь	2	3
120	более того	4	3
121	того же	4	3
122	всех его	4	3
123	ведь это	2	3
124	и что	5	3
125	было бы	3	3
126	кажется что	2	3
127	мы уже	18	3
128	в своей	2	3
129	никак не	3	3
130	себя в	2	3
131	в центре	2	3
132	еще более	2	3
133	в той	5	3
134	той же	5	3
135	тем что	5	3
136	в этой	8	3
137	и этим	2	3
138	он сам	3	2
139	должна быть	2	2
140	отчасти и	2	2
141	для этого	2	2
142	в одной	3	2
143	или меньшей	3	2
144	на все	3	2
145	все время	4	2
146	для нас	2	2
147	мы будем	3	2
148	так что	2	2
149	и как	4	2
150	в античной	2	2
151	времени и	2	2
152	большей или	4	2
153	в большей	4	2
154	и само	2	2
155	меньшей степени	4	2
156	на части	7	2
157	людей в	3	2
158	в первой	3	2
159	значение в	2	2
160	образов и	5	2
161	одной плоскости	2	2
162	те же	3	2
163	они не	3	2
164	лишь в	2	2
165	а в	4	2
166	в результате	4	2
167	сказать что	6	2
168	самим собой	2	2
169	о котором	4	2
170	что мы	2	2
171	здесь только	3	2
172	с ним	4	2
173	между тем	2	2
174	поэтому и	3	2
175	с этим	3	2
176	в духе	3	2
177	но конечно	2	2
178	стороны и	2	2
179	но с	2	2
180	и различные	2	2
181	раз в	2	2
182	у нас	4	2
183	все что	4	2
184	есть и	2	2
185	здесь в	9	2
186	там и	2	2
187	уже сказали	3	2
188	в корне	2	2
189	вместе с	6	2
190	у рабле	10	2
191	да еще	2	2
192	в данном	3	2
193	в другом	4	2
194	там где	5	2
