N	2gram	Propp_Russ_2	VrazhdaK
1	в году	3	18
2	не только	10	9
3	в этом	11	8
4	и что	5	8
5	и в	29	8
6	но и	8	7
7	что в	22	7
8	то что	5	7
9	и все	4	7
10	в котором	3	6
11	все же	2	6
12	как и	11	6
13	но в	5	6
14	и с	10	6
15	то же	4	5
16	не было	2	5
17	об этом	2	5
18	между тем	3	5
19	в то	2	5
20	для нас	6	4
21	как бы	18	4
22	все это	10	4
23	это не	5	4
24	так же	4	4
25	в своих	2	4
26	может быть	13	4
27	при этом	6	4
28	о том	9	4
29	в виду	2	4
30	в этот	10	3
31	связи с	2	3
32	т е	24	3
33	к этому	5	3
34	в том	22	3
35	том что	22	3
36	и как	2	3
37	тем что	3	3
38	далеко не	4	3
39	его в	8	3
40	но он	3	3
41	и о	3	3
42	одним из	2	3
43	а с	2	2
44	в своей	2	2
45	в честь	3	2
46	после этого	2	2
47	из них	4	2
48	не менее	2	2
49	никогда не	2	2
50	вместе с	6	2
51	в них	4	2
52	так в	2	2
53	не может	5	2
54	а в	9	2
55	тогда как	2	2
56	таким образом	6	2
57	начиная с	2	2
58	это в	2	2
59	п в	12	2
60	там же	12	2
61	уже не	4	2
62	на первый	3	2
63	же в	6	2
64	в этой	3	2
65	и то	2	2
66	же как	4	2
67	их в	4	2
68	в момент	2	2
69	а н	3	2
70	и ее	2	2
71	еще не	6	2
72	во время	12	2
73	о чем	4	2
74	одна из	11	2
75	том же	4	2
76	в эту	3	2
77	а также	4	2
78	в него	2	2
79	в русских	4	2
