N	2gram	Propp_Isto_6	Narrotol
1	не только	10	26
2	а не	2	17
3	представляет собой	2	16
4	но и	9	15
5	тогда как	2	15
6	в том	12	14
7	при этом	3	14
8	в качестве	3	14
9	и не	10	14
10	том что	10	13
11	и в	26	13
12	в этом	12	13
13	в частности	3	11
14	только в	5	11
15	может быть	11	10
16	в данном	3	10
17	своего рода	2	9
18	к тому	2	9
19	так и	5	9
20	сводится к	2	9
21	а в	3	9
22	то что	6	8
23	в себе	3	8
24	не может	6	8
25	не в	3	8
26	к себе	2	7
27	никогда не	13	6
28	в своем	2	6
29	прежде всего	4	6
30	можно сказать	2	6
31	того что	2	6
32	в его	5	6
33	данном случае	3	6
34	со стороны	3	6
35	героя в	2	6
36	все же	8	6
37	у него	7	6
38	как бы	4	6
39	а также	4	6
40	ничего не	2	6
41	но в	7	6
42	что он	9	5
43	одной стороны	7	5
44	он не	2	5
45	и тем	4	5
46	в нем	8	5
47	отношению к	2	5
48	на него	2	5
49	как в	6	5
50	в форме	2	5
51	по отношению	2	5
52	таким образом	12	5
53	с одной	7	5
54	тем самым	2	5
55	с другой	10	5
56	в то	5	5
57	далеко не	3	5
58	о том	7	5
59	перед нами	2	4
60	что это	2	4
61	если бы	3	4
62	как и	5	4
63	как у	2	4
64	все что	4	4
65	что в	12	4
66	жизни и	2	4
67	в своей	3	4
68	то же	5	4
69	уже не	7	4
70	в этой	2	4
71	как это	5	4
72	с ним	8	4
73	но при	2	4
74	с его	4	3
75	мы имеем	14	3
76	это не	4	3
77	говорилось выше	2	3
78	что они	2	3
79	одна из	2	3
80	о котором	2	3
81	но не	2	3
82	и сам	2	3
83	один из	3	3
84	на том	8	3
85	то и	2	3
86	все эти	8	3
87	и по	4	3
88	и его	7	3
89	с ними	2	3
90	с этой	2	3
91	сказать что	3	3
92	мира и	2	3
93	зависит от	4	2
94	же как	3	2
95	о чем	2	2
96	однако в	2	2
97	а потом	2	2
98	что у	2	2
99	превращается в	7	2
100	представления о	10	2
101	из этих	4	2
102	точно так	2	2
103	вовсе не	2	2
104	на то	2	2
105	к своему	3	2
106	для нас	2	2
107	и т	10	2
108	эти два	2	2
109	должна быть	3	2
110	еще не	9	2
111	было бы	2	2
112	и он	4	2
113	во сне	3	2
114	не происходит	3	2
115	но для	2	2
116	что она	3	2
117	не вполне	2	2
118	в него	3	2
119	не могло	2	2
120	что и	4	2
121	не будет	5	2
122	в других	4	2
123	а с	2	2
124	у нас	5	2
125	том свете	4	2
126	они не	3	2
127	и что	5	2
128	только что	2	2
129	не имеет	2	2
130	так же	2	2
131	как на	3	2
132	мы не	6	2
133	можно было	2	2
134	но это	4	2
135	в ней	5	2
136	в виде	6	2
137	но он	2	2
138	в своих	3	2
139	видно что	2	2
140	как он	6	2
141	здесь не	2	2
142	потому что	13	2
143	том как	3	2
