N	3gram	Losev_Vesc_1	Vladivir
1	в том что	4	10
2	тем не менее	3	9
3	о том что	4	8
4	с точки зрения	3	6
5	не может быть	6	6
6	это значит что	19	6
7	в конце концов	2	5
8	дело в том	2	5
9	то это значит	2	4
10	содержит в себе	4	4
11	и то что	3	4
12	с одной стороны	3	3
13	бы то ни	4	3
14	во всяком случае	2	3
15	вовсе не есть	6	2
16	что это есть	3	2
17	в данном случае	2	2
18	к тому что	2	2
19	свидетельствует о том	3	2
20	и не есть	2	2
21	сам по себе	3	2
22	но даже и	2	2
23	но еще и	3	2
24	на то что	2	2
25	с другой стороны	2	2
26	есть прежде всего	2	2
27	так или иначе	4	2
