N	3gram	Potebnia_M_4	Myshleni
1	с точки зрения	3	18
2	в том что	7	15
3	для того чтобы	4	15
4	по отношению к	8	7
5	о том что	5	6
6	мы могли бы	2	5
7	не может быть	5	5
8	вместе с тем	3	5
9	можно сказать что	4	4
10	до сих пор	4	4
11	сам по себе	4	3
12	на то что	4	3
13	то же самое	4	3
14	во всяком случае	3	3
15	таким образом что	2	3
16	не в состоянии	2	2
17	в данном случае	2	2
18	между тем и	3	2
19	в то же	3	2
20	на этот вопрос	2	2
21	и таким образом	3	2
22	то же время	3	2
23	все более и	2	2
24	тем и другим	3	2
25	только тогда когда	4	2
26	от того что	3	2
27	более и более	2	2
