N	2gram	Bakhtin_KF_1	Psycholo
1	и в	24	38
2	то что	7	35
3	в том	6	25
4	самом деле	3	21
5	что в	4	20
6	может быть	45	19
7	точки зрения	12	16
8	в ней	3	15
9	если бы	8	14
10	том что	4	14
11	как бы	9	14
12	потому что	2	14
13	в этой	2	13
14	и мы	2	13
15	в этом	14	13
16	было бы	8	12
17	не только	5	12
18	не в	12	12
19	что он	2	11
20	что это	3	10
21	то же	5	10
22	и не	26	10
23	и все	7	10
24	с точки	9	9
25	того чтобы	2	9
26	все же	5	8
27	с тем	2	8
28	в одном	4	8
29	вовсе не	7	8
30	для нас	4	8
31	как и	5	8
32	и как	2	8
33	для того	3	8
34	и то	2	8
35	и это	12	8
36	в ее	16	7
37	а не	17	7
38	не может	27	7
39	а в	4	7
40	между тем	4	7
41	и здесь	7	6
42	один из	2	6
43	в котором	24	6
44	не имеет	5	6
45	тому что	2	6
46	он не	6	6
47	к чему	3	6
48	и его	17	6
49	и на	3	6
50	о том	3	6
51	ясно что	3	6
52	там где	5	6
53	я не	6	5
54	должна быть	4	5
55	в своем	16	5
56	совершенно не	6	5
57	в своей	10	5
58	но и	9	5
59	и когда	2	5
60	мы не	3	5
61	в другом	3	5
62	в его	40	5
63	никогда не	5	4
64	что эта	2	4
65	из него	3	4
66	в свою	3	4
67	по своему	3	4
68	при этом	4	4
69	и для	9	4
70	конечно не	7	4
71	во всех	11	4
72	в нем	28	4
73	что и	7	4
74	в целом	10	4
75	как в	2	4
76	смысл и	6	4
77	все эти	10	4
78	здесь мы	4	4
79	того что	3	4
80	из которых	2	4
81	что этот	3	4
82	в своих	3	4
83	и совершенно	3	4
84	только в	16	4
85	в себе	21	4
86	в виду	3	4
87	место в	5	3
88	были бы	2	3
89	оба эти	2	3
90	та же	2	3
91	к этому	2	3
92	котором я	2	3
93	ни в	12	3
94	и конечно	2	3
95	конечно в	2	3
96	но это	6	3
97	совсем не	2	3
98	в основе	5	3
99	и этот	3	3
100	был бы	3	3
101	должен быть	7	3
102	все это	10	3
103	это только	2	3
104	и только	6	3
105	бы не	3	3
106	что не	3	3
107	к ним	4	3
108	и тем	3	3
109	где он	3	3
110	тем что	3	3
111	в то	3	3
112	могла бы	4	3
113	его в	5	3
114	здесь не	3	3
115	едва ли	2	3
116	но в	5	3
117	в данном	2	2
118	всех этих	3	2
119	и та	2	2
120	отнюдь не	6	2
121	хотя бы	4	2
122	на самом	3	2
123	и я	5	2
124	нее в	2	2
125	и ее	2	2
126	и эти	2	2
127	до конца	3	2
128	уже не	7	2
129	это есть	2	2
130	она могла	2	2
131	разве не	2	2
132	есть именно	2	2
133	для него	8	2
134	ли это	2	2
135	и может	3	2
136	со всеми	2	2
137	для этого	2	2
138	с ее	2	2
139	он может	2	2
140	места в	4	2
141	дело не	2	2
142	со стороны	7	2
143	не могу	3	2
144	вытекает из	2	2
145	в виде	2	2
146	что за	2	2
147	а с	2	2
148	быть не	2	2
149	думать что	2	2
150	ясно и	3	2
151	в качестве	2	2
152	что только	2	2
153	к себе	2	2
154	как к	2	2
155	но как	5	2
156	его к	2	2
157	этого слова	2	2
158	с ним	5	2
159	ничего не	3	2
160	себя как	2	2
161	могло бы	4	2
162	и действительно	6	2
