N	2gram	Vinokur_Ku_3	EvropaiE
1	и в	23	37
2	в отношении	3	32
3	в пределах	2	25
4	точки зрения	23	23
5	что в	13	21
6	не только	17	18
7	с точки	16	17
8	в то	3	16
9	хотя бы	9	15
10	то же	6	15
11	в своем	4	14
12	в качестве	2	14
13	но и	3	14
14	и не	10	14
15	но в	2	14
16	в этом	16	12
17	в их	6	11
18	в том	22	11
19	в области	14	11
20	так и	6	10
21	отнюдь не	3	9
22	прежде всего	9	9
23	не может	6	9
24	т е	32	9
25	только в	6	9
26	так же	2	9
27	к тому	3	8
28	в ее	4	8
29	одной стороны	4	8
30	было бы	16	8
31	в своей	4	8
32	с одной	4	8
33	между тем	4	8
34	как и	5	7
35	по своему	2	7
36	между прочим	8	7
37	того что	11	7
38	а также	4	7
39	с другой	7	7
40	также и	5	7
41	так как	9	7
42	с этой	3	6
43	вовсе не	5	6
44	том что	11	6
45	может быть	14	6
46	для того	12	6
47	как бы	5	6
48	то что	4	6
49	того чтобы	11	6
50	в частности	2	5
51	столь же	4	5
52	не в	5	5
53	но не	3	5
54	но если	3	5
55	как мы	5	5
56	в той	4	5
57	тем самым	4	5
58	в россии	2	5
59	независимо от	5	4
60	именно в	3	4
61	вопрос о	11	4
62	или иного	3	4
63	или иной	7	4
64	можно сказать	2	4
65	чем в	2	4
66	иными словами	8	4
67	в самом	13	4
68	то в	3	4
69	в ней	3	4
70	той или	5	4
71	в процессе	3	4
72	по себе	6	4
73	для нас	4	4
74	мы не	3	4
75	не имеет	3	4
76	сказать что	7	4
77	тем более	5	4
78	в каком	3	4
79	того или	3	4
80	как это	7	4
81	и к	3	3
82	но на	3	3
83	с тем	6	3
84	на себя	2	3
85	это так	2	3
86	в общем	6	3
87	мы видели	3	3
88	очевидно что	3	3
89	того же	4	3
90	в известном	2	3
91	не более	2	3
92	не дает	2	3
93	в данной	3	3
94	известном смысле	2	3
95	и тем	6	3
96	что и	6	3
97	когда он	2	3
98	время в	3	3
99	бы и	3	3
100	как в	4	3
101	и только	3	3
102	как на	8	3
103	в таком	4	3
104	можно было	11	3
105	в которых	3	3
106	в результате	3	3
107	потому что	12	3
108	во всяком	2	3
109	тем что	5	3
110	ни на	2	3
111	в данном	7	3
112	о том	6	3
113	там где	3	3
114	отметить что	3	3
115	что все	2	2
116	не могут	5	2
117	и более	3	2
118	сплошь и	3	2
119	а тем	2	2
120	а не	11	2
121	в этих	2	2
122	еще более	2	2
123	в какой	3	2
124	не означает	2	2
125	в одном	2	2
126	но также	5	2
127	главным образом	2	2
128	из того	2	2
129	есть не	3	2
130	что на	3	2
131	как же	3	2
132	и того	2	2
133	и как	2	2
134	в силу	6	2
135	отношений между	2	2
136	такой же	2	2
137	что если	2	2
138	но как	3	2
139	должна быть	3	2
140	и рядом	3	2
141	что это	3	2
142	не говоря	2	2
143	и если	2	2
144	она не	3	2
145	то нельзя	2	2
146	эти последние	2	2
147	по преимуществу	3	2
148	нас к	2	2
149	он не	3	2
150	в его	11	2
151	мог бы	2	2
152	в котором	2	2
153	точка зрения	4	2
154	говоря уже	2	2
155	не есть	3	2
156	в некоторых	2	2
157	вместе с	2	2
158	данном случае	4	2
159	иначе говоря	2	2
160	целый ряд	4	2
161	что же	5	2
162	а в	5	2
163	таким образом	9	2
164	если бы	8	2
165	к такой	2	2
166	а именно	3	2
167	заключается в	4	2
168	и что	7	2
169	более чем	2	2
170	на этот	2	2
171	другой стороны	3	2
172	с другими	2	2
173	этот вопрос	3	2
174	что эти	2	2
175	и с	3	2
176	хотя и	5	2
177	могут быть	6	2
178	мы должны	3	2
179	далеко не	5	2
180	то не	2	2
181	которое в	2	2
182	тогда когда	4	2
183	имеет в	2	2
