N	2gram	Kanaev_Sov_1	Hudozhes
1	и в	7	28
2	и не	6	18
3	в том	4	15
4	а не	3	14
5	не в	3	13
6	в этом	7	13
7	как и	6	11
8	при этом	3	11
9	в его	2	11
10	не только	4	11
11	уже не	2	10
12	в себе	3	9
13	может быть	12	8
14	и все	3	7
15	что она	3	7
16	это не	4	6
17	жизни и	4	6
18	то же	3	6
19	а в	4	6
20	что это	2	5
21	не менее	2	5
22	у него	2	5
23	как бы	4	5
24	в этой	3	5
25	что в	2	5
26	в самом	2	5
27	ничего не	6	5
28	тем не	2	4
29	то и	2	4
30	не может	17	4
31	в одном	3	3
32	что все	2	3
33	прежде всего	5	3
34	в нем	3	3
35	для нас	3	3
36	самом деле	2	3
37	еще не	3	3
38	было бы	3	3
39	все это	3	3
40	с одной	2	3
41	у всех	3	3
42	следующим образом	3	3
43	теперь же	2	3
44	же самое	2	3
45	как он	3	3
46	мы с	2	3
47	отнюдь не	3	2
48	из этих	2	2
49	или иной	2	2
50	как мы	2	2
51	мы знаем	2	2
52	одна из	3	2
53	на этом	2	2
54	и к	3	2
55	все те	2	2
56	в нашем	2	2
57	все же	3	2
58	в первом	3	2
59	из них	4	2
60	вместе с	4	2
61	что же	5	2
62	приводит к	2	2
63	ее на	2	2
64	с точки	5	2
65	той же	2	2
66	роль в	2	2
67	в виде	2	2
68	точки зрения	12	2
69	говорить о	2	2
70	и т.д	3	2
71	она может	2	2
72	но в	3	2
