N	2gram	Vygotskiy__1	Tragedij
1	и в	23	18
2	в этом	17	9
3	не только	16	8
4	и не	9	7
5	и на	8	7
6	и с	9	7
7	может быть	14	7
8	как бы	11	7
9	что он	7	6
10	и его	6	6
11	же время	2	6
12	но в	5	6
13	все же	3	5
14	что это	3	5
15	так и	5	5
16	не может	12	5
17	то же	8	5
18	как и	14	5
19	в то	7	5
20	несмотря на	2	5
21	но и	14	4
22	то что	17	4
23	в целом	20	4
24	что в	14	4
25	все это	6	4
26	я не	3	4
27	прежде всего	10	4
28	и все	5	4
29	и даже	2	4
30	так же	16	4
31	том что	21	4
32	в этой	7	4
33	и что	5	4
34	в себе	6	4
35	об этом	3	4
36	уже в	3	3
37	один из	2	3
38	о чем	2	3
39	в своем	3	3
40	в конце	2	3
41	как в	4	3
42	все эти	4	3
43	тем самым	5	3
44	и как	5	3
45	должно быть	2	3
46	в его	14	3
47	что с	2	3
48	для него	2	3
49	при этом	4	3
50	как это	2	3
51	под влиянием	2	2
52	не имеет	2	2
53	перед нами	5	2
54	и до	2	2
55	ребенка в	8	2
56	на всем	2	2
57	как говорит	2	2
58	она должна	4	2
59	в частности	2	2
60	данном случае	2	2
61	который в	3	2
62	то и	3	2
63	в известной	2	2
64	что все	4	2
65	и я	2	2
66	вопрос о	7	2
67	уже не	2	2
68	бы и	2	2
69	с его	4	2
70	говорит что	4	2
71	к тому	4	2
72	между этими	6	2
73	столь же	6	2
74	в ходе	8	2
75	ни в	4	2
76	в ее	2	2
77	ребенка и	5	2
78	в том	24	2
79	но все	2	2
80	не в	4	2
81	что этот	2	2
82	в данном	2	2
83	и то	3	2
84	потому что	6	2
85	в первом	2	2
86	с тем	7	2
87	тем что	6	2
88	в виде	2	2
89	чем он	2	2
90	и ее	7	2
91	о том	6	2
92	что эти	2	2
93	и это	3	2
94	в самом	7	2
95	этими двумя	2	2
96	ничего не	3	2
97	что говорит	2	2
98	он не	5	2
99	в одном	4	2
100	что она	4	2
101	никогда не	2	2
102	одном из	2	2
