N	3gram	Losev_Prob_3	Stilisti
1	в то же	4	9
2	того или иного	3	5
3	с точки зрения	2	5
4	то же самое	7	4
5	одно и то	3	4
6	и то же	4	4
7	той или иной	8	4
8	то или иное	2	3
9	не только в	2	3
10	в конце концов	3	3
11	в этом случае	5	3
12	как мы видели	2	3
13	и тем самым	2	3
14	на самом деле	2	3
15	но и в	2	3
16	не было бы	3	2
17	же самое время	4	2
18	что же такое	3	2
19	о том что	3	2
20	у нас не	2	2
21	на первый взгляд	2	2
22	можно сказать что	2	2
23	и как бы	2	2
24	только потому что	2	2
25	есть не что	4	2
26	не что иное	4	2
27	в связи с	7	2
28	что иное как	4	2
29	тех или иных	4	2
30	не может быть	5	2
