N	2gram	Vinokur_Vv_1	VerxiiNi
1	и в	27	26
2	таким образом	19	22
3	с тем	6	18
4	вместе с	6	15
5	в этом	34	15
6	точки зрения	7	13
7	как бы	5	12
8	в том	31	11
9	может быть	24	10
10	не только	21	10
11	и с	2	10
12	из этих	5	10
13	связи с	3	9
14	что в	11	9
15	но и	5	9
16	в области	4	9
17	так как	13	9
18	с другой	8	8
19	но не	7	8
20	в общем	12	8
21	и не	13	8
22	как на	11	8
23	том что	26	7
24	но все	3	7
25	одной стороны	4	7
26	из них	3	7
27	к нему	2	7
28	то что	17	7
29	с одной	4	7
30	потому что	14	7
31	но в	10	7
32	в конце	3	6
33	к тому	4	6
34	того же	3	6
35	несмотря на	2	6
36	всяком случае	3	6
37	что и	3	6
38	все же	8	6
39	все это	6	6
40	в отношении	2	6
41	все эти	3	6
42	с точки	2	6
43	во всяком	3	6
44	в себе	4	6
45	и т.д	4	6
46	о том	15	6
47	крайней мере	4	5
48	отношение к	3	5
49	до сих	5	5
50	одной из	3	5
51	в его	10	5
52	никогда не	3	5
53	сих пор	5	5
54	так же	3	5
55	а не	3	5
56	того чтобы	21	5
57	для того	21	5
58	не имеет	4	5
59	в силу	3	5
60	и для	4	5
61	по крайней	4	5
62	учение о	2	4
63	должен был	4	4
64	в этих	3	4
65	что он	4	4
66	в нем	13	4
67	из которых	2	4
68	в самом	12	4
69	в котором	4	4
70	не может	13	4
71	а в	5	4
72	то же	8	4
73	что оно	2	4
74	в течение	5	4
75	и что	4	4
76	и тогда	3	4
77	на этот	4	4
78	в которых	6	4
79	в виде	4	4
80	в то	5	4
81	только в	13	4
82	в этой	3	4
83	при жизни	2	4
84	не менее	8	3
85	течением времени	6	3
86	за собой	3	3
87	же как	3	3
88	что это	3	3
89	если бы	2	3
90	так или	4	3
91	как о	4	3
92	хотя бы	5	3
93	точно так	2	3
94	к этому	3	3
95	ясно что	9	3
96	можно сказать	3	3
97	так что	5	3
98	и как	9	3
99	и при	2	3
100	представляет собой	12	3
101	в своем	3	3
102	в качестве	7	3
103	не вполне	4	3
104	тем не	8	3
105	отношению к	4	3
106	с ней	2	3
107	в связи	2	3
108	при этом	3	3
109	но с	4	3
110	уже не	5	3
111	в значительной	2	3
112	того что	12	3
113	и даже	5	3
114	с течением	6	3
115	и те	2	3
116	или иначе	4	3
117	с этой	4	3
118	в результате	3	3
119	а так	2	3
120	конце концов	2	3
121	на нее	2	3
122	в одном	4	3
123	не исчерпывается	2	2
124	уже в	5	2
125	не могут	5	2
126	именно в	8	2
127	состоит в	2	2
128	одно из	5	2
129	связана с	4	2
130	в них	4	2
131	сравнению с	3	2
132	влечет за	2	2
133	не как	3	2
134	тогда когда	3	2
135	прежде всего	8	2
136	так называемой	3	2
137	надо было	2	2
138	а также	3	2
139	по существу	2	2
140	так называемую	2	2
141	мы видели	2	2
142	в начале	3	2
143	должна была	2	2
144	что именно	2	2
145	без остатка	2	2
146	по своему	5	2
147	том виде	3	2
148	же время	5	2
149	так например	6	2
150	что мы	2	2
151	еще не	4	2
152	но если	3	2
153	но вместе	2	2
154	один из	6	2
155	не с	2	2
156	не к	2	2
157	жизни и	2	2
158	во всех	2	2
159	быть и	2	2
160	в создании	2	2
161	только что	4	2
162	для этого	3	2
163	иной раз	2	2
164	в разных	5	2
165	этом отношении	3	2
166	мы имеем	3	2
167	можно только	2	2
168	и сейчас	2	2
169	одним из	5	2
170	смотреть на	4	2
171	виде в	2	2
172	и на	3	2
173	сказать что	5	2
174	не в	8	2
175	мы можем	2	2
176	о котором	8	2
177	по сравнению	3	2
178	же самое	2	2
179	его можно	2	2
180	так чтобы	3	2
181	и это	6	2
182	к культуре	2	2
183	между тем	8	2
184	в виду	4	2
