N	2gram	Tiupa_Vved_1	Formalny
1	и в	13	24
2	в его	4	23
3	прежде всего	7	22
4	и не	12	20
5	так и	8	18
6	не может	7	16
7	в этом	21	15
8	в нем	5	14
9	может быть	18	14
10	таким образом	4	13
11	в своем	5	11
12	не менее	4	11
13	как и	11	11
14	в своей	5	11
15	то же	5	10
16	в ней	4	10
17	а не	15	10
18	и его	5	10
19	в то	4	9
20	же время	3	8
21	в свою	4	8
22	то что	6	8
23	как в	4	8
24	лишь в	2	8
25	и на	3	8
26	не в	6	8
27	и с	2	8
28	место в	2	7
29	должна быть	2	7
30	и от	2	7
31	до конца	3	7
32	не только	20	7
33	жизни и	7	7
34	но и	19	7
35	на самом	4	7
36	отнюдь не	7	6
37	и все	4	6
38	было бы	4	6
39	в том	10	6
40	более или	2	6
41	самом деле	3	6
42	свою очередь	4	6
43	в пределах	2	6
44	еще не	7	6
45	как бы	4	6
46	в целом	3	6
47	или менее	2	6
48	а в	6	6
49	по себе	2	5
50	в литературе	2	5
51	при этом	26	5
52	не могло	2	5
53	во всех	2	5
54	в самом	2	5
55	со стороны	5	5
56	как мы	3	5
57	того что	6	5
58	с другой	5	5
59	но в	6	5
60	в частности	13	4
61	никогда не	4	4
62	не как	2	4
63	и к	2	4
64	в мире	8	4
65	одной стороны	5	4
66	если бы	7	4
67	отношению к	7	4
68	быть и	2	4
69	по отношению	7	4
70	что в	3	4
71	с одной	5	4
72	как о	2	4
73	но не	5	3
74	в них	2	3
75	в жизни	4	3
76	к тому	6	3
77	для него	3	3
78	но это	3	3
79	не о	2	3
80	он не	3	3
81	произведение в	2	3
82	один из	3	3
83	все же	6	3
84	отношение к	2	3
85	бытия в	2	3
86	на фоне	2	3
87	не было	2	3
88	сводится к	4	3
89	мы не	4	3
90	тем самым	5	3
91	и наконец	2	3
92	целый ряд	2	3
93	в основе	3	3
94	в себе	5	3
95	здесь не	2	3
96	так сказать	2	3
97	бы в	3	3
98	в области	3	3
99	а лишь	2	2
100	и более	3	2
101	в нашем	6	2
102	жизни в	4	2
103	его с	2	2
104	это не	6	2
105	не можем	2	2
106	не сводится	4	2
107	том чтобы	2	2
108	уже не	5	2
109	мы видели	2	2
110	в противовес	3	2
111	одна из	4	2
112	в ряду	2	2
113	только в	6	2
114	как раз	2	2
115	еще в	2	2
116	точка зрения	3	2
117	не с	3	2
118	что и	2	2
119	начала и	2	2
120	на него	2	2
121	она была	2	2
122	приводит к	2	2
123	или иначе	2	2
124	в результате	3	2
125	чтобы стать	2	2
126	в своих	2	2
127	к которому	2	2
128	могла бы	3	2
129	с ним	3	2
130	могло бы	3	2
131	мира в	8	2
132	что такое	18	2
