N	2gram	Losev_Vesc_1	Psycholo
1	то что	27	32
2	и в	21	31
3	в том	8	30
4	и т	19	26
5	что в	9	23
6	может быть	16	22
7	таким образом	8	20
8	при помощи	2	20
9	ясно что	8	19
10	совершенно ясно	2	19
11	так как	7	18
12	не может	17	17
13	как и	8	16
14	том что	8	16
15	и не	29	16
16	точки зрения	5	15
17	только в	14	14
18	а не	19	13
19	не только	36	13
20	что и	3	13
21	если мы	8	12
22	мы не	6	12
23	в этом	4	12
24	в самом	9	11
25	не в	5	11
26	на то	4	10
27	в сущности	4	10
28	того что	8	10
29	потому что	16	10
30	по себе	13	9
31	самом деле	4	9
32	никогда не	2	8
33	все это	5	8
34	т д	19	8
35	и что	15	8
36	во всяком	3	8
37	что мы	14	8
38	только тогда	3	7
39	и его	2	7
40	того чтобы	3	7
41	тому как	4	7
42	сказать что	17	7
43	о том	6	7
44	что это	13	6
45	вовсе не	10	6
46	одной стороны	3	6
47	было бы	14	6
48	если бы	5	6
49	всяком случае	2	6
50	отнюдь не	5	6
51	а в	4	6
52	что она	15	6
53	для того	2	6
54	и даже	6	6
55	в его	2	6
56	и есть	26	5
57	и все	5	5
58	тогда когда	5	5
59	в ее	7	5
60	все же	4	5
61	так что	5	5
62	мы видим	2	5
63	с одной	3	5
64	для нас	2	5
65	она не	4	5
66	совершенно не	5	5
67	по самому	3	5
68	как бы	12	5
69	другой стороны	2	5
70	и для	9	5
71	то же	6	5
72	с другой	6	5
73	это есть	7	5
74	подобно тому	4	5
75	в то	3	5
76	к тому	3	4
77	в котором	3	4
78	в виду	2	4
79	прежде всего	9	4
80	тому что	2	4
81	различие между	2	4
82	в себе	14	4
83	по существу	2	4
84	что я	24	4
85	одна из	5	4
86	у него	2	4
87	и если	2	4
88	у нас	7	4
89	и о	3	4
90	никак не	3	4
91	один из	3	4
92	со стороны	5	4
93	и у	3	4
94	с этой	4	4
95	в результате	3	4
96	мы можем	4	4
97	как это	2	4
98	мы имеем	7	4
99	с тем	5	3
100	только не	2	3
101	его и	2	3
102	в своем	6	3
103	что у	5	3
104	с в	2	3
105	что все	2	3
106	должна быть	4	3
107	в собственном	2	3
108	стороны и	2	3
109	что на	2	3
110	это и	6	3
111	но это	10	3
112	в силу	3	3
113	не будет	12	3
114	но не	5	3
115	из его	2	3
116	же точно	2	3
117	нет никакой	2	3
118	в этой	3	3
119	хотя и	4	3
120	в слове	2	3
121	и когда	4	3
122	себе не	3	3
123	не есть	49	3
124	от всех	4	3
125	жизни и	2	3
126	в своей	5	3
127	каждой из	2	3
128	собственном смысле	3	3
129	так и	3	3
130	только на	3	3
131	что оно	8	3
132	от того	3	3
133	и вот	2	3
134	но только	3	3
135	должны быть	4	3
136	той же	2	3
137	и только	3	3
138	с этим	3	3
139	слова в	2	3
140	у меня	3	3
141	в конце	2	3
142	и это	14	3
143	конце концов	2	3
144	когда мы	6	3
145	но в	5	3
146	т е	55	3
147	в основе	3	2
148	быть совершенно	2	2
149	не менее	3	2
150	этих двух	2	2
151	но совершенно	2	2
152	сама по	3	2
153	независимо от	5	2
154	что образ	2	2
155	она должна	2	2
156	можно ли	7	2
157	и как	8	2
158	но даже	3	2
159	и без	3	2
160	будь то	3	2
161	и во	3	2
162	и от	3	2
163	в жизни	3	2
164	с ним	8	2
165	и здесь	4	2
166	есть не	14	2
167	а только	3	2
168	оно есть	9	2
169	бы что	2	2
170	или не	2	2
171	тем не	3	2
172	уже не	9	2
173	есть ли	6	2
174	и потому	5	2
175	это можно	2	2
176	себя и	4	2
177	что они	6	2
178	есть нечто	6	2
179	того же	5	2
180	но что	2	2
181	ли это	7	2
182	ту или	2	2
183	тот же	3	2
184	и может	2	2
185	когда она	4	2
186	что такое	12	2
187	и их	7	2
188	и следовательно	7	2
189	тех или	5	2
190	и тем	3	2
191	в нем	2	2
192	не знаем	2	2
193	из них	4	2
194	но и	18	2
195	без всякого	4	2
196	что же	8	2
197	себя смысл	2	2
198	мысли и	3	2
199	как мы	4	2
200	только что	2	2
201	отличается от	7	2
202	как раз	9	2
203	то и	4	2
204	что есть	5	2
205	в себя	13	2
206	применении к	2	2
207	есть только	7	2
208	с точки	3	2
209	то или	2	2
210	что то	2	2
211	в чем	6	2
212	ничего не	3	2
213	нас в	3	2
214	образ и	3	2
215	как к	4	2
216	их в	3	2
217	бы ни	2	2
218	и с	8	2
219	что только	3	2
220	понятий и	2	2
221	не быть	3	2
222	бы и	5	2
223	и то	10	2
224	бы в	5	2
225	ту же	2	2
226	на это	4	2
227	его в	2	2
228	почти все	2	2
229	только то	2	2
230	то чтобы	3	2
231	не то	4	2
232	в одном	2	2
233	как она	4	2
234	или как	2	2
