N	2gram	Berdyaev_V_1	Komedia
1	и в	16	26
2	и не	20	14
3	к тому	3	12
4	так и	4	12
5	в том	3	11
6	но и	5	10
7	в этом	4	10
8	что в	3	9
9	том что	2	9
10	не только	2	7
11	что и	3	7
12	на себя	5	7
13	то что	9	6
14	еще не	8	6
15	в нем	4	6
16	того чтобы	2	6
17	потому что	4	6
18	с его	3	5
19	с тем	2	5
20	что он	4	5
21	один из	2	5
22	ни в	3	5
23	в истории	8	5
24	в этих	3	4
25	тому что	3	4
26	в них	3	4
27	прежде всего	2	4
28	как и	4	4
29	хотя и	5	4
30	в его	4	4
31	мира в	2	4
32	и для	3	4
33	более чем	2	4
34	за то	3	4
35	можно было	2	4
36	только в	2	4
37	так как	9	4
38	между тем	2	4
39	в образе	4	3
40	жизни и	3	3
41	но не	2	3
42	во всех	3	3
43	для нас	2	3
44	и сам	2	3
45	да и	2	3
46	в ней	4	3
47	в котором	4	3
48	не имеет	3	3
49	в своей	3	3
50	все это	5	3
51	не было	3	3
52	а в	2	3
53	тем что	2	3
54	но в	3	3
55	что их	2	2
56	эти люди	2	2
57	и есть	4	2
58	для их	2	2
59	это не	2	2
60	в конце	3	2
61	в духе	2	2
62	и я	4	2
63	нет и	2	2
64	то это	3	2
65	не в	3	2
66	по которым	2	2
67	одна из	2	2
68	тот же	3	2
69	когда в	2	2
70	как не	3	2
71	вслед за	2	2
72	как бы	5	2
73	хотя бы	3	2
74	и т	2	2
75	и это	2	2
76	в мире	5	2
77	и за	2	2
78	всего в	2	2
79	если не	3	2
80	и что	3	2
81	бы и	3	2
82	мы не	2	2
83	во всяком	2	2
84	от этого	3	2
85	и во	2	2
86	говорить о	4	2
87	и все	4	2
