N	2gram	Savitsky_E_1	slovoVRo
1	и в	37	39
2	может быть	6	37
3	то есть	6	26
4	не только	18	24
5	и не	14	22
6	но и	14	21
7	не может	9	20
8	в этом	12	16
9	так и	10	15
10	а не	2	14
11	как в	3	13
12	в пределах	25	13
13	в процессе	4	13
14	во всех	6	12
15	в истории	2	11
16	вовсе не	6	10
17	не в	5	9
18	и с	2	9
19	прежде всего	9	8
20	таким образом	2	8
21	точки зрения	23	8
22	в его	2	7
23	как бы	6	7
24	никогда не	3	7
25	в этих	2	7
26	и потому	5	7
27	и даже	6	7
28	как мы	5	7
29	могут быть	2	7
30	в них	3	6
31	и к	3	6
32	как и	7	6
33	в своем	14	6
34	но не	5	6
35	в большинстве	2	6
36	она не	2	6
37	жизни и	2	6
38	там где	3	6
39	в значительной	2	6
40	но в	14	6
41	не могут	2	5
42	с другой	7	5
43	и для	3	5
44	и все	2	5
45	по себе	4	5
46	для нас	4	5
47	том что	6	5
48	или иной	4	5
49	одной стороны	8	5
50	только в	9	5
51	в том	11	5
52	той или	4	5
53	с одной	8	5
54	и наконец	2	5
55	большинстве случаев	3	5
56	мира и	3	5
57	же время	14	4
58	в смысле	9	4
59	в отношении	32	4
60	то же	15	4
61	и других	2	4
62	в той	5	4
63	в таком	3	4
64	а в	2	4
65	с другими	2	4
66	и на	6	4
67	в то	16	4
68	отношении к	15	4
69	так как	7	4
70	что в	21	3
71	хотя бы	15	3
72	и от	3	3
73	отметить что	3	3
74	должна быть	2	3
75	стороны и	6	3
76	в свою	3	3
77	что и	3	3
78	и как	2	3
79	в ней	4	3
80	к нему	2	3
81	связано с	3	3
82	в некоторых	2	3
83	бы и	3	3
84	этом отношении	3	3
85	а также	7	3
86	с точки	17	3
87	сказать что	4	3
88	между тем	8	3
89	как это	4	3
90	во всяком	3	3
91	чем в	4	2
92	в данном	3	2
93	в сфере	3	2
94	и более	2	2
95	независимо от	4	2
96	и существенно	2	2
97	хотя и	2	2
98	именно к	2	2
99	жизни в	3	2
100	обстоит дело	3	2
101	тогда когда	2	2
102	в идеологическом	2	2
103	влияние на	2	2
104	в себе	9	2
105	свою очередь	2	2
106	дело идет	2	2
107	к ней	4	2
108	известной степени	3	2
109	притом в	2	2
110	всяком случае	3	2
111	даже в	4	2
112	точка зрения	2	2
113	мы видели	3	2
114	то что	6	2
115	дело в	3	2
116	вместе с	2	2
117	а именно	2	2
118	в их	11	2
119	с этим	2	2
120	в виде	5	2
121	именно в	4	2
122	еще более	2	2
123	на них	2	2
124	во власти	2	2
125	мы не	4	2
126	того чтобы	6	2
127	для того	6	2
128	или в	2	2
129	меньше чем	2	2
130	также и	7	2
131	в результате	3	2
132	он не	2	2
133	далеко не	2	2
134	но как	2	2
135	ведь и	2	2
136	новое слово	3	2
137	в прошлом	3	2
138	о том	3	2
139	в области	11	2
140	в одном	2	2
