N	2gram	Tiupa_Disk_1	Istorich
1	и в	16	26
2	в сказке	3	23
3	мы имеем	2	14
4	никогда не	2	13
5	потому что	4	13
6	что в	4	12
7	таким образом	3	12
8	в том	23	12
9	и на	5	12
10	в этом	15	12
11	может быть	17	11
12	с другой	10	10
13	том что	19	10
14	представления о	2	10
15	и не	11	10
16	не только	28	10
17	что он	4	9
18	еще не	14	9
19	но и	14	9
20	в нем	9	8
21	все же	3	8
22	на том	2	8
23	другой стороны	3	8
24	уже не	4	7
25	с одной	9	7
26	одной стороны	9	7
27	например в	2	7
28	и его	2	7
29	о том	8	7
30	но в	8	7
31	то что	5	6
32	как в	10	6
33	не может	9	6
34	как и	16	5
35	в его	7	5
36	так и	8	5
37	то же	7	5
38	и что	2	5
39	тем что	3	5
40	в то	3	5
41	только в	7	5
42	это не	3	4
43	прежде всего	11	4
44	не всегда	2	4
45	зависит от	2	4
46	с его	4	4
47	на его	4	4
48	как бы	5	4
49	и тем	2	4
50	что и	3	4
51	как мы	2	4
52	и он	2	4
53	и по	2	4
54	а также	8	4
55	одну из	2	4
56	но как	2	4
57	и ее	2	3
58	в частности	9	3
59	могут быть	4	3
60	в греческой	2	3
61	в них	4	3
62	в одном	2	3
63	к этому	2	3
64	в тех	2	3
65	не в	7	3
66	они не	2	3
67	в качестве	34	3
68	так например	2	3
69	еще в	3	3
70	один из	3	3
71	в сказании	3	3
72	когда он	2	3
73	в своей	5	3
74	данном случае	2	3
75	со стороны	7	3
76	в сказках	2	3
77	а в	5	3
78	при этом	13	3
79	или в	2	3
80	в своих	3	3
81	в данном	5	3
82	сказать что	3	3
83	в себе	7	3
84	не было	7	3
85	далеко не	10	3
86	перед нами	3	2
87	о чем	2	2
88	и как	6	2
89	однако в	3	2
90	в своем	6	2
91	того же	3	2
92	отличается от	2	2
93	в одной	3	2
94	с этим	3	2
95	стороны и	2	2
96	можно сказать	5	2
97	к тому	5	2
98	сводится к	5	2
99	по отношению	9	2
100	в античной	2	2
101	но не	11	2
102	героя в	2	2
103	никого не	2	2
104	античной греции	2	2
105	и др	2	2
106	не могло	2	2
107	не есть	2	2
108	отношению к	9	2
109	своего рода	8	2
110	в форме	2	2
111	что же	2	2
112	целый ряд	2	2
113	тогда как	19	2
114	а с	5	2
115	человека в	2	2
116	а не	22	2
117	того что	3	2
118	что не	4	2
119	должны быть	3	2
120	во всяком	2	2
121	что касается	2	2
122	к себе	2	2
123	в которых	4	2
124	представляет собой	17	2
125	о котором	2	2
126	в этой	2	2
127	но при	3	2
