N	3gram	Losev_Prob_3	Myshleni
1	в том что	9	21
2	с точки зрения	2	18
3	заключается в том	3	7
4	в связи с	7	6
5	во всяком случае	6	6
6	не может быть	5	6
7	по сравнению с	2	5
8	можно было бы	3	5
9	о том что	3	4
10	мы могли бы	3	4
11	в данном случае	7	3
12	в отличие от	2	3
13	между знаком и	2	3
14	потому что он	4	2
15	то же самое	7	2
16	едва ли можно	2	2
17	прав в том	2	2
18	друг от друга	2	2
19	само по себе	3	2
20	сама по себе	8	2
21	имеет свою собственную	3	2
22	вовсе не в	2	2
23	на самом деле	2	2
