N	2gram	Medvedev_F_3	Literetu
1	а не	17	20
2	и в	27	19
3	может быть	25	17
4	то же	15	12
5	и не	30	11
6	в том	7	10
7	как и	14	10
8	но и	10	10
9	же время	7	9
10	не может	24	9
11	в этом	18	9
12	в то	7	9
13	в стихах	2	8
14	с другой	6	8
15	не только	9	8
16	и даже	2	8
17	том что	4	7
18	то что	8	7
19	так и	21	7
20	слова и	4	7
21	не менее	7	6
22	однако в	2	6
23	в себе	3	6
24	при этом	8	6
25	и на	3	6
26	столь же	3	5
27	у нас	3	5
28	одна из	2	5
29	но не	5	5
30	на фоне	3	5
31	вместе с	6	5
32	так в	2	5
33	того что	3	5
34	что в	8	4
35	жизни в	3	4
36	прежде всего	4	4
37	не в	12	4
38	отнюдь не	8	4
39	того же	3	4
40	в ней	5	4
41	в его	7	4
42	еще в	3	4
43	даже в	2	4
44	жизни и	4	4
45	человека в	2	4
46	другой стороны	5	4
47	мы не	4	4
48	по отношению	3	4
49	тем что	5	4
50	точки зрения	16	4
51	в искусстве	7	4
52	в области	2	4
53	перестает быть	2	3
54	никогда не	5	3
55	в поэзии	3	3
56	что он	6	3
57	в нем	15	3
58	и как	4	3
59	одним из	3	3
60	но это	2	3
61	такой же	2	3
62	в этой	2	3
63	в сущности	2	3
64	во всех	3	3
65	и др	2	3
66	отношению к	3	3
67	данном случае	4	3
68	со стороны	4	3
69	и для	6	3
70	этом отношении	3	3
71	так как	9	3
72	тем же	7	3
73	с точки	14	3
74	и его	19	3
75	в художественной	2	3
76	и с	3	3
77	в данном	6	3
78	ничего не	2	3
79	на этом	2	2
80	уже в	4	2
81	ни было	5	2
82	же как	3	2
83	с тем	7	2
84	не является	5	2
85	для этого	2	2
86	в них	3	2
87	в какой	3	2
88	в конце	3	2
89	в виду	3	2
90	в жизни	11	2
91	в каждом	5	2
92	вовсе не	28	2
93	в такой	2	2
94	для нас	3	2
95	в ее	4	2
96	тем не	2	2
97	ведь мы	2	2
98	очевидно что	2	2
99	художественного творчества	2	2
100	на жизнь	2	2
101	до конца	4	2
102	еще не	6	2
103	было бы	6	2
104	одной из	2	2
105	из своих	2	2
106	как бы	8	2
107	был бы	2	2
108	что и	2	2
109	как он	2	2
110	все же	6	2
111	с ее	2	2
112	и т	11	2
113	но уже	2	2
114	в целом	4	2
115	из них	2	2
116	могут быть	4	2
117	в истории	5	2
118	как раз	8	2
119	т п	5	2
120	и только	2	2
121	той же	3	2
122	уже не	3	2
123	и что	3	2
124	героя в	3	2
125	для того	4	2
126	хотя бы	6	2
127	друг друга	5	2
128	а к	2	2
129	в своих	6	2
130	то в	2	2
131	в результате	5	2
132	потому что	7	2
133	в основе	3	2
134	подобно тому	4	2
135	он и	3	2
136	ту же	2	2
137	о том	4	2
138	в художественном	5	2
139	в россии	2	2
140	тому как	5	2
141	как это	4	2
142	в него	3	2
143	но в	6	2
