N	3gram	Losev_Prob_2	Myshleni
1	в том что	4	19
2	для того чтобы	2	8
3	с самого начала	2	7
4	то же самое	5	6
5	можно сказать что	3	6
6	можно было бы	2	5
7	заключается в том	2	5
8	на то что	4	4
9	и той же	2	3
10	друг к другу	2	3
11	до сих пор	4	3
12	одной и той	2	3
13	то что мы	7	2
14	и то что	7	2
15	в значительной мере	3	2
16	в этом случае	7	2
17	когда мы говорим	2	2
18	с другой стороны	5	2
19	в связи с	5	2
20	только то что	3	2
21	не только не	2	2
22	не может быть	3	2
23	в этом смысле	5	2
24	в этой области	3	2
