N	2gram	Trubetskoy_1	Morfolog
1	может быть	16	52
2	таким образом	31	20
3	не может	17	17
4	в этих	3	16
5	с этим	11	14
6	и в	23	13
7	в этом	12	13
8	так как	7	12
9	связи с	4	11
10	прежде всего	3	9
11	этом случае	4	9
12	так и	10	9
13	в связи	3	9
14	то же	4	9
15	и не	8	9
16	с другой	6	8
17	а затем	2	8
18	по существу	6	8
19	что и	7	8
20	при помощи	3	8
21	в результате	9	8
22	представляет собою	2	7
23	вопрос о	3	7
24	в тех	3	7
25	но если	2	7
26	все же	13	7
27	это не	3	6
28	не могут	4	6
29	в том	30	6
30	но не	2	6
31	а в	3	6
32	не менее	7	5
33	если мы	4	5
34	во всех	10	5
35	далеко не	5	5
36	как бы	10	5
37	то что	18	5
38	потому что	9	5
39	что в	8	4
40	вовсе не	2	4
41	что его	4	4
42	тем не	4	4
43	отношению к	9	4
44	было бы	3	4
45	несмотря на	6	4
46	не только	7	4
47	как мы	2	4
48	другой стороны	5	4
49	тех же	2	4
50	так же	8	4
51	по отношению	9	4
52	как и	9	4
53	хотя и	4	4
54	точки зрения	13	4
55	с точки	8	4
56	на этом	2	4
57	также и	2	4
58	его в	5	4
59	только что	3	3
60	независимо от	2	3
61	если бы	8	3
62	вступают в	2	3
63	в нашем	3	3
64	между собой	4	3
65	в начале	2	3
66	он должен	2	3
67	том что	19	3
68	но все	5	3
69	что они	2	3
70	в целом	5	3
71	того чтобы	8	3
72	в сущности	2	3
73	во втором	2	3
74	он не	3	3
75	но и	9	3
76	на него	2	3
77	от того	3	3
78	целый ряд	4	3
79	на самом	7	3
80	заметим что	2	3
81	самом деле	12	3
82	из которых	4	3
83	и по	3	3
84	к нему	2	3
85	и для	6	3
86	друг друга	2	3
87	можно назвать	3	3
88	мы можем	6	3
89	из них	5	3
90	и ее	2	3
91	в то	6	3
92	мы должны	4	3
93	в один	2	3
94	если же	3	3
95	рассматриваться как	3	3
96	но в	4	3
97	и более	2	2
98	с тем	2	2
99	в виде	4	2
100	в частности	2	2
101	и z	2	2
102	хотя бы	4	2
103	та же	3	2
104	что эта	4	2
105	к этому	5	2
106	многих других	2	2
107	что он	7	2
108	и к	5	2
109	на первый	2	2
110	в в	4	2
111	то в	2	2
112	и при	6	2
113	только в	6	2
114	от него	3	2
115	то время	2	2
116	для него	2	2
117	одной стороны	2	2
118	мы уже	4	2
119	никто не	2	2
120	но для	2	2
121	себя и	2	2
122	из двух	2	2
123	в настоящее	2	2
124	быть и	5	2
125	или менее	7	2
126	должны рассматриваться	2	2
127	может не	3	2
128	и только	2	2
129	случаях когда	3	2
130	а с	4	2
131	с одной	3	2
132	все эти	19	2
133	и что	8	2
134	того что	6	2
135	для того	8	2
136	тем же	2	2
137	в отдельных	2	2
138	этот вопрос	2	2
139	в другом	2	2
140	самого себя	4	2
141	не знает	2	2
142	настоящее время	2	2
143	что мы	4	2
144	о том	7	2
145	что эти	2	2
146	ясно что	8	2
147	одна из	2	2
148	более или	7	2
149	что многие	2	2
