N	2gram	Berdyaev_M_1	FransuaR
1	и в	28	45
2	то есть	3	25
3	и не	11	15
4	не только	29	14
5	в этом	20	14
6	но в	7	14
7	в его	9	13
8	и его	9	13
9	как бы	2	12
10	что в	10	12
11	в своем	10	11
12	в то	2	11
13	прежде всего	10	10
14	в том	6	10
15	в нем	13	10
16	но и	25	10
17	как и	5	10
18	и с	3	10
19	в ней	15	8
20	жизни и	2	8
21	в самой	7	8
22	мира и	5	8
23	с его	3	7
24	в конце	7	7
25	он был	14	7
26	том что	3	7
27	не в	16	7
28	что и	4	7
29	все это	6	7
30	также и	2	7
31	потому что	16	7
32	и все	10	7
33	что он	10	6
34	в этой	6	6
35	он не	24	6
36	мысли и	2	6
37	того чтобы	2	6
38	для того	2	6
39	так как	3	6
40	в них	4	6
41	есть и	3	5
42	с ним	2	5
43	и к	2	5
44	человека с	2	5
45	это и	4	5
46	мы видим	2	5
47	на этом	3	5
48	одним из	2	5
49	и их	3	5
50	не может	28	5
51	все эти	2	5
52	и у	2	5
53	и как	2	5
54	свободу и	4	5
55	и на	6	5
56	его в	3	5
57	и во	2	4
58	и от	2	4
59	у него	17	4
60	его как	2	4
61	но не	8	4
62	по своему	2	4
63	ничего не	3	4
64	в самом	11	4
65	в их	4	4
66	не мог	3	4
67	а не	25	4
68	его не	3	4
69	а в	4	4
70	сказать что	2	4
71	в основе	2	4
72	с этим	3	4
73	точки зрения	4	4
74	только в	6	4
75	о том	2	4
76	и это	12	4
77	бы в	2	4
78	свобода и	6	3
79	от его	2	3
80	как в	2	3
81	вообще не	2	3
82	это не	5	3
83	необходимости и	2	3
84	то время	2	3
85	для него	11	3
86	в своей	15	3
87	века в	2	3
88	до сих	2	3
89	вместе с	6	3
90	сих пор	2	3
91	в необходимости	2	3
92	нем не	2	3
93	не было	18	3
94	и вот	3	3
95	того что	7	3
96	на этот	2	3
97	и он	12	3
98	менее всего	7	3
99	не имеет	3	3
100	и для	2	3
101	в которых	4	3
102	но он	9	3
103	он и	2	3
104	на свободу	3	3
105	как он	2	3
106	о чем	2	3
107	он знает	2	2
108	с которой	2	2
109	не могут	5	2
110	с тем	9	2
111	и там	4	2
112	и есть	14	2
113	мы еще	2	2
114	себя и	3	2
115	жизни в	2	2
116	хотя бы	3	2
117	относится к	2	2
118	он должен	3	2
119	переходит в	15	2
120	к этому	2	2
121	к тому	3	2
122	в начале	2	2
123	то что	5	2
124	и она	2	2
125	от мира	2	2
126	него не	2	2
127	ведь это	2	2
128	для них	3	2
129	было бы	10	2
130	этот путь	3	2
131	к ней	4	2
132	не хочет	2	2
133	конечно не	3	2
134	может быть	30	2
135	мира сего	2	2
136	еще в	2	2
137	в этот	2	2
138	нет и	5	2
139	один из	4	2
140	должен быть	2	2
141	все же	2	2
142	когда он	3	2
143	на том	3	2
144	в свете	3	2
145	в истории	2	2
146	чтобы не	2	2
147	свободы и	10	2
148	лишь в	6	2
149	и что	2	2
150	к нему	7	2
151	он в	2	2
152	одно из	3	2
153	духа в	3	2
154	это очень	3	2
155	от этого	2	2
