N	3gram	Losev_Dial_2	Psycholo
1	в том что	6	14
2	в зависимости от	2	6
3	о том что	4	6
4	в самом деле	3	5
5	до сих пор	2	5
6	с другой стороны	4	5
7	иметь в виду	2	3
8	сам по себе	3	3
9	и то же	4	3
10	одно и то	4	3
11	так как это	2	3
12	с самого начала	2	3
13	то же самое	2	3
14	и т д	15	3
15	не в состоянии	2	3
16	и т п	2	3
17	можно сказать что	3	2
18	сами по себе	3	2
19	в данном случае	2	2
20	не что иное	3	2
21	может быть и	3	2
22	принять во внимание	3	2
23	с точки зрения	8	2
24	не может быть	3	2
25	что иное как	3	2
26	не только в	2	2
27	само по себе	2	2
28	по себе не	3	2
29	потому что он	2	2
