N	2gram	Vygotskiy__1	Dialekti
1	и не	9	30
2	а не	3	18
3	может быть	14	17
4	ничего не	3	17
5	то что	17	16
6	и в	23	15
7	как бы	11	14
8	не имеет	2	14
9	так как	7	14
10	точки зрения	26	14
11	что это	3	13
12	того что	15	13
13	по себе	5	13
14	прежде всего	10	11
15	и вот	2	11
16	в том	24	11
17	не может	12	11
18	говорить о	2	11
19	ясно что	2	11
20	и все	5	11
21	в этом	17	11
22	в основе	8	10
23	потому что	6	10
24	том что	21	10
25	было бы	4	9
26	все это	6	9
27	мы не	7	9
28	и что	5	9
29	то же	8	9
30	уже не	2	9
31	и пр	2	9
32	с точки	18	9
33	ни в	4	8
34	не в	4	8
35	в себе	6	8
36	не только	16	8
37	в чем	4	8
38	и ее	7	8
39	и это	3	8
40	что в	14	7
41	что именно	3	7
42	и мы	3	7
43	что оно	3	7
44	что мы	5	7
45	что он	7	7
46	как и	14	7
47	и его	6	7
48	только в	6	7
49	перед нами	5	6
50	же время	2	6
51	хотя и	2	6
52	и тем	6	6
53	и даже	2	6
54	в результате	4	6
55	сказать что	11	6
56	вовсе не	3	6
57	если бы	5	6
58	тем более	5	6
59	в то	7	6
60	я не	3	5
61	так и	5	5
62	в своем	3	5
63	на то	5	5
64	можно сказать	5	5
65	как таковой	2	5
66	того чтобы	17	5
67	в сфере	3	5
68	что она	4	5
69	в свете	4	5
70	таким образом	26	5
71	именно в	6	5
72	и на	8	5
73	о том	6	5
74	с его	4	5
75	тогда когда	3	5
76	есть не	2	5
77	учение о	3	5
78	в смысле	2	5
79	в сущности	6	5
80	только тогда	2	5
81	если мы	2	5
82	для того	15	5
83	той же	2	5
84	в каком	3	5
85	что все	4	4
86	оно есть	2	4
87	и как	5	4
88	в этой	7	4
89	что они	3	4
90	один из	2	4
91	жизни и	2	4
92	но и	14	4
93	и отношение	2	4
94	так же	16	4
95	и с	9	4
96	мы должны	5	4
97	в одном	4	4
98	с тем	7	4
99	мы видим	4	4
100	она не	3	4
101	как раз	4	4
102	в течение	2	4
103	бы в	5	4
104	хотя бы	4	4
105	в силу	6	4
106	в его	14	4
107	только для	3	3
108	что если	2	3
109	в собственном	5	3
110	есть прежде	2	3
111	на этом	2	3
112	тем самым	5	3
113	в свою	4	3
114	и если	3	3
115	и той	2	3
116	для всех	4	3
117	и следовательно	3	3
118	в словах	2	3
119	в их	3	3
120	отношения к	3	3
121	все эти	4	3
122	всегда и	3	3
123	и наконец	2	3
124	с этим	6	3
125	это понятие	2	3
126	но в	5	3
127	от этого	2	3
128	сознания и	3	3
129	можно назвать	2	3
130	в один	2	3
131	к этому	4	3
132	лежит в	2	3
133	об этом	3	3
134	за пределы	2	3
135	в своей	4	3
136	и потому	2	3
137	когда он	2	3
138	в природе	3	3
139	бы и	2	3
140	как в	4	3
141	на основании	5	3
142	одной и	2	3
143	из которых	3	3
144	вот почему	2	3
145	в данном	2	3
146	и то	3	3
147	мы можем	6	3
148	в виде	2	3
149	могут быть	3	3
150	едва ли	2	3
151	в области	3	3
152	как чисто	3	2
153	в противоположность	2	2
154	она должна	4	2
155	в частности	2	2
156	в отношении	10	2
157	с этой	6	2
158	из этих	3	2
159	что кроме	2	2
160	человека и	3	2
161	представление о	2	2
162	главным образом	2	2
163	на все	3	2
164	вопрос о	7	2
165	показывает что	3	2
166	и во-вторых	2	2
167	собственном смысле	5	2
168	но все	2	2
169	об этой	3	2
170	заключается в	8	2
171	свою очередь	3	2
172	в пользу	4	2
173	что с	2	2
174	при этом	4	2
175	в самом	7	2
176	есть все	2	2
177	себе и	2	2
178	которые мы	2	2
179	никогда не	2	2
180	в котором	4	2
181	был бы	2	2
182	с той	2	2
183	другой стороны	9	2
184	то и	3	2
185	для этого	5	2
186	как таковая	2	2
187	от того	6	2
188	мы находим	3	2
189	лишь в	6	2
190	должно быть	2	2
191	во всем	3	2
192	как это	2	2
193	сам по	3	2
194	нашего исследования	8	2
195	в них	2	2
196	сравнению с	5	2
197	природе и	2	2
198	в ее	2	2
199	все же	3	2
200	со всей	4	2
201	в качестве	9	2
202	ту или	2	2
203	по сравнению	6	2
204	во всех	3	2
205	вместе с	9	2
206	ее в	2	2
207	мы только	2	2
208	мы хотим	2	2
209	во всей	4	2
210	тех же	2	2
211	того как	2	2
212	мы начинаем	2	2
213	и слово	2	2
214	только что	4	2
215	что этот	2	2
216	во всяком	3	2
217	тем что	6	2
218	всей его	3	2
219	и при	2	2
220	что эта	2	2
221	психической жизни	3	2
222	в которой	3	2
223	не могли	2	2
