N	2gram	Vygotskiy__3	formyVre
1	и в	25	50
2	в этом	14	25
3	в нем	2	24
4	и его	2	16
5	прежде всего	4	15
6	и не	10	14
7	как мы	8	14
8	в его	15	13
9	так и	5	12
10	человека и	5	11
11	может быть	13	11
12	таким образом	17	11
13	мы уже	5	11
14	то же	2	11
15	и как	5	10
16	в том	23	9
17	все эти	7	9
18	в то	4	9
19	не только	6	9
20	с его	2	9
21	в самом	3	8
22	и их	3	8
23	но и	4	8
24	и на	6	8
25	как и	15	8
26	того же	6	8
27	ни в	9	8
28	и во	2	7
29	все же	6	6
30	в частности	4	6
31	с ее	5	6
32	не может	6	6
33	так же	17	6
34	в результате	3	6
35	так как	12	6
36	с этим	4	6
37	и все	4	6
38	в жизни	3	6
39	и того	4	6
40	связи с	9	6
41	то что	15	6
42	как в	9	6
43	между двумя	2	6
44	что в	17	5
45	одного и	4	5
46	не в	6	5
47	значение в	3	5
48	этот процесс	3	5
49	в связи	6	5
50	время как	4	5
51	в основе	16	5
52	точки зрения	6	5
53	всех этих	2	5
54	но все	2	5
55	если бы	5	5
56	отнюдь не	4	5
57	но не	6	5
58	еще не	4	5
59	наряду с	3	5
60	он не	4	5
61	в основном	6	5
62	отношению к	2	5
63	и речи	20	5
64	того чтобы	8	5
65	для того	7	5
66	и у	6	5
67	могут быть	5	5
68	но на	3	4
69	в своем	4	4
70	мы и	2	4
71	в котором	3	4
72	на этой	5	4
73	все это	6	4
74	потому что	6	4
75	между собой	13	4
76	в них	2	4
77	то время	4	4
78	в процессе	27	4
79	том что	20	4
80	и для	2	4
81	и то	2	4
82	только в	10	4
83	и это	4	4
84	в основу	4	3
85	не могут	4	3
86	в этих	2	3
87	в отношении	6	3
88	внутренне не	2	3
89	к тому	4	3
90	связаны с	3	3
91	с тем	16	3
92	при этом	5	3
93	имеет место	3	3
94	в новое	2	3
95	хотя и	2	3
96	один из	6	3
97	со всеми	6	3
98	по отношению	3	3
99	этом отношении	3	3
100	с одной	5	3
101	именно в	5	3
102	и других	2	3
103	друг друга	4	3
104	а в	4	3
105	их в	3	3
106	сказать что	4	3
107	в начале	2	3
108	его в	3	3
109	в одном	2	3
110	но они	2	3
111	а как	2	3
112	к этому	3	3
113	же в	2	3
114	уже говорили	5	3
115	в качестве	12	3
116	мы говорили	4	3
117	и потому	2	3
118	что и	10	3
119	вместе с	14	3
120	между ними	3	3
121	мы не	9	3
122	мы видим	3	3
123	в таком	2	3
124	или в	2	3
125	с другими	2	3
126	во всяком	4	3
127	в себе	2	3
128	входит в	5	3
129	место в	2	2
130	уже в	7	2
131	самого начала	6	2
132	мы будем	2	2
133	же как	6	2
134	никогда не	4	2
135	в течение	2	2
136	с другой	6	2
137	и характер	2	2
138	или иной	3	2
139	для нас	2	2
140	с самого	6	2
141	с их	2	2
142	смысле слова	2	2
143	в свою	3	2
144	для него	5	2
145	одной стороны	5	2
146	к жизни	2	2
147	в целом	13	2
148	с помощью	42	2
149	на основе	22	2
150	того что	10	2
151	и по	5	2
152	в которых	3	2
153	той или	2	2
154	во всем	3	2
155	что мы	7	2
156	мы должны	6	2
157	как он	3	2
158	с ним	4	2
159	человека мы	2	2
160	из нее	2	2
161	не является	8	2
162	сравнению с	3	2
163	к другому	2	2
164	не как	3	2
165	тогда когда	4	2
166	ясно что	2	2
167	по себе	7	2
168	и к	5	2
169	об этом	2	2
170	в другую	2	2
171	в чем	2	2
172	одна из	2	2
173	эта форма	3	2
174	и может	2	2
175	было бы	10	2
176	этот тип	3	2
177	а также	2	2
178	стадии развития	4	2
179	оно не	2	2
180	по сравнению	4	2
181	этого момента	2	2
182	в своей	2	2
183	как бы	10	2
184	в отличие	6	2
185	связь между	4	2
186	этой проблемы	2	2
187	если мы	3	2
188	уже не	2	2
189	и эта	2	2
190	речи в	4	2
191	той же	4	2
192	как она	3	2
193	от этого	6	2
194	тем что	8	2
195	вступает в	2	2
196	на себя	2	2
197	в каком	2	2
198	того и	2	2
199	как оно	3	2
200	слова и	6	2
201	там где	4	2
202	отличие от	6	2
203	с необходимостью	2	2
204	но по	2	2
