N	2gram	Berdyaev_O_1	Formalny
1	т е	4	34
2	и в	19	24
3	в его	7	23
4	прежде всего	9	22
5	и не	13	20
6	так и	2	18
7	не может	4	16
8	в этом	12	15
9	в нем	10	14
10	может быть	11	14
11	в своем	2	11
12	как и	6	11
13	должно быть	2	11
14	в своей	2	11
15	и ее	3	10
16	а не	11	10
17	и его	4	10
18	и потому	2	9
19	все это	6	9
20	в ее	2	8
21	то что	5	8
22	лишь в	7	8
23	и на	2	8
24	не в	11	8
25	и с	2	8
26	и от	3	7
27	до конца	7	7
28	в единстве	2	7
29	не только	11	7
30	но и	13	7
31	и все	10	6
32	было бы	3	6
33	в том	5	6
34	в этой	5	6
35	еще не	3	6
36	как бы	3	6
37	а в	5	6
38	все эти	4	6
39	хотя бы	3	5
40	по себе	2	5
41	в самом	5	5
42	того что	3	5
43	но в	2	5
44	с его	4	4
45	никогда не	9	4
46	и к	2	4
47	учение о	2	4
48	на западе	2	4
49	что в	4	4
50	только и	4	4
51	в которой	2	4
52	в истории	2	4
53	к этой	2	4
54	что он	3	3
55	для него	5	3
56	он не	7	3
57	все же	2	3
58	отношение к	5	3
59	когда он	3	3
60	всего в	2	3
61	в россии	5	3
62	не было	9	3
63	его в	2	3
64	в себе	3	3
65	как к	2	3
66	человек не	7	3
67	в душе	2	2
68	с тем	2	2
69	жизни в	2	2
70	это не	3	2
71	вопрос о	10	2
72	как художник	3	2
73	все в	4	2
74	в самой	9	2
75	к ней	2	2
76	что и	2	2
77	не есть	2	2
78	он в	2	2
79	для всякого	2	2
80	и вот	3	2
81	ко всем	2	2
82	его не	2	2
83	есть лишь	4	2
84	в самую	4	2
85	даже и	2	2
86	в своих	3	2
87	ничего не	2	2
88	с ним	3	2
