N	3gram	Losev_Dial_1	Vladivir
1	в том что	7	10
2	о том что	2	8
3	с точки зрения	12	6
4	не может быть	3	6
5	это значит что	9	6
6	в конце концов	3	5
7	и в этом	3	5
8	более или менее	3	5
9	точно так же	2	4
10	ничего не говорит	4	4
11	то это значит	2	4
12	содержит в себе	3	4
13	в этом смысле	3	3
14	с одной стороны	2	3
15	само по себе	5	3
16	в то же	4	3
17	во всяком случае	2	3
18	то же время	4	2
19	к тому что	2	2
20	не имеет ничего	3	2
21	иметь в виду	3	2
22	сам по себе	6	2
23	ни в каком	8	2
24	и в то	2	2
25	то в чем	2	2
26	одной стороны и	2	2
27	ничего общего с	3	2
28	на то что	4	2
29	с другой стороны	4	2
30	в этом отношении	2	2
31	имеет ничего общего	3	2
