N	2gram	Medvedev_F_3	EvropaiE
1	и в	27	37
2	в отношении	2	32
3	в пределах	8	25
4	точки зрения	16	23
5	что в	8	21
6	не только	9	18
7	с точки	14	17
8	в то	7	16
9	хотя бы	6	15
10	то же	15	15
11	в своем	2	14
12	же время	7	14
13	но и	10	14
14	и не	30	14
15	но в	6	14
16	в этом	18	12
17	в том	7	11
18	в области	2	11
19	так и	21	10
20	отнюдь не	8	9
21	прежде всего	4	9
22	в смысле	4	9
23	не может	24	9
24	т е	32	9
25	в себе	3	9
26	только в	8	9
27	так же	9	9
28	к тому	4	8
29	в ее	4	8
30	было бы	6	8
31	в своей	6	8
32	между тем	7	8
33	как и	14	7
34	нам кажется	2	7
35	того что	3	7
36	с другой	6	7
37	так как	9	7
38	вовсе не	28	6
39	том что	4	6
40	стороны и	2	6
41	может быть	25	6
42	для того	4	6
43	как бы	8	6
44	то что	8	6
45	во всех	3	6
46	того чтобы	5	6
47	и даже	2	6
48	и на	3	6
49	же как	3	5
50	столь же	3	5
51	не в	12	5
52	но не	5	5
53	одной из	2	5
54	но если	2	5
55	со стороны	4	5
56	как мы	8	5
57	в той	3	5
58	от этого	2	5
59	этих областей	2	5
60	в россии	2	5
61	и потому	5	5
62	ни было	5	4
63	независимо от	5	4
64	то ни	4	4
65	как совокупность	2	4
66	или иной	2	4
67	можно сказать	3	4
68	бы то	4	4
69	в самом	11	4
70	то в	2	4
71	в ней	5	4
72	даже в	2	4
73	в процессе	15	4
74	по себе	4	4
75	для нас	3	4
76	не на	3	4
77	мы не	4	4
78	в направлении	5	4
79	и притом	2	4
80	сказать что	3	4
81	в каком	2	4
82	в полной	2	4
83	как это	4	4
84	место в	10	3
85	этом отношении	3	3
86	с тем	7	3
87	никогда не	5	3
88	и со	2	3
89	жизни в	3	3
90	в них	3	3
91	обстоит дело	4	3
92	вообще не	2	3
93	и от	11	3
94	этом смысле	2	3
95	в общем	2	3
96	мы видели	4	3
97	мы можем	4	3
98	очевидно что	2	3
99	того же	3	3
100	связано с	2	3
101	бы ни	4	3
102	ту или	2	3
103	в данной	2	3
104	известной степени	2	3
105	из них	2	3
106	всяком случае	6	3
107	не является	5	3
108	и тем	3	3
109	что и	2	3
110	время в	3	3
111	ее в	3	3
112	бы и	3	3
113	как в	4	3
114	и только	2	3
115	и для	6	3
116	в таком	2	3
117	в которых	3	3
118	в результате	5	3
119	потому что	7	3
120	во всяком	6	3
121	тем что	5	3
122	в данном	6	3
123	россии и	2	3
124	о том	4	3
125	дело в	2	3
126	там где	7	3
127	большинстве случаев	5	3
128	не могут	10	2
129	и более	3	2
130	для них	7	2
131	а не	17	2
132	в этих	3	2
133	в какой	3	2
134	и во	2	2
135	в большинстве	4	2
136	даже что	2	2
137	и все	8	2
138	такое предположение	2	2
139	и теперь	6	2
140	именно потому	2	2
141	главным образом	2	2
142	и эта	3	2
143	и как	4	2
144	это значит	2	2
145	в сторону	2	2
146	такой же	2	2
147	между ними	15	2
148	должна быть	3	2
149	не можем	2	2
150	что это	3	2
151	кажется что	2	2
152	она не	4	2
153	ними и	2	2
154	имеет место	3	2
155	дело идет	3	2
156	в его	7	2
157	притом в	2	2
158	в котором	2	2
159	какой бы	2	2
160	не есть	4	2
161	жизни и	4	2
162	как не	2	2
163	вместе с	6	2
164	данном случае	4	2
165	что же	5	2
166	таким образом	18	2
167	если бы	12	2
168	в идеологическом	5	2
169	и что	3	2
170	или точнее	2	2
171	другой стороны	5	2
172	этот процесс	3	2
173	иначе обстоит	3	2
174	как их	2	2
175	в своих	6	2
176	и с	3	2
177	как совокупности	2	2
178	могут быть	4	2
179	к нулю	2	2
180	в этой	2	2
181	в истории	5	2
182	мы должны	2	2
183	между собой	4	2
184	бы в	6	2
185	тогда когда	4	2
186	в эту	2	2
